N	3gram	Losev_Vesc_1	UchenyiS
1	не может быть	6	4
2	с другой стороны	2	3
3	бы то ни	4	3
4	в то же	1	3
5	то ни было	4	3
6	в самом деле	4	2
7	но даже и	2	2
8	то же самое	1	2
9	до сих пор	1	2
10	в этом отношении	1	2
11	в том что	4	2
12	по крайней мере	4	2
13	и то что	3	2
14	и в частности	1	2
15	тех или иных	1	2
16	еще ничего не	1	2
17	в конце концов	2	2
18	для него не	1	1
19	так или иначе	4	1
20	не в том	1	1
21	все же не	1	1
22	не только к	2	1
23	это было бы	1	1
24	более или менее	1	1
25	по меньшей мере	1	1
26	равно как и	2	1
27	для тех кто	1	1
28	и не только	4	1
29	сам по себе	3	1
30	в той же	1	1
31	само по себе	1	1
32	а не то	2	1
33	с тем что	1	1
34	и что все	1	1
35	в последние годы	2	1
36	можно сказать что	3	1
37	у нас в	2	1
38	на то что	2	1
39	не может обойтись	1	1
40	они находятся в	1	1
41	в ней не	1	1
42	друг с другом	1	1
43	в данном случае	2	1
44	не только в	4	1
45	с одной стороны	3	1
46	и с другой	2	1
47	в отдельности и	2	1
