N	2gram	Tiupa_Anal_2	formyVre
1	и в	16	46
2	в этом	18	22
3	и т	1	14
4	прежде всего	3	14
5	вовсе не	2	13
6	в романе	1	13
7	и его	4	12
8	во всех	4	11
9	не только	16	11
10	только в	4	11
11	как бы	10	10
12	то есть	9	10
13	точки зрения	4	10
14	в том	12	10
15	но в	6	10
16	мы уже	1	9
17	не в	4	9
18	у него	4	9
19	но и	12	9
20	вместе с	2	9
21	и не	12	9
22	и для	2	9
23	то же	4	8
24	смерть и	1	8
25	как и	14	8
26	с точки	2	8
27	потому что	1	8
28	связи с	1	8
29	в его	2	8
30	из них	3	8
31	в связи	1	8
32	в основном	1	8
33	и на	6	7
34	в главе	1	7
35	так сказать	1	7
36	всех этих	1	7
37	так и	15	7
38	в них	1	7
39	в эпизоде	10	7
40	может быть	6	7
41	времени в	4	7
42	в одном	2	7
43	то что	7	7
44	как мы	3	6
45	еще не	2	6
46	и наконец	1	6
47	при этом	10	6
48	человека в	1	6
49	его в	2	6
50	никогда не	3	6
51	те же	2	6
52	и во	2	6
53	так как	1	6
54	здесь в	2	6
55	все это	4	6
56	и все	3	6
57	но не	4	5
58	в своем	4	5
59	все эти	1	5
60	он не	2	5
61	в нем	1	5
62	в то	2	5
63	в частности	16	5
64	в пределах	9	5
65	по существу	2	5
66	что в	2	5
67	отношения к	2	4
68	также и	1	4
69	в мире	6	4
70	и он	2	4
71	как в	4	4
72	уже в	1	4
73	из этих	1	4
74	в себе	7	4
75	том что	12	4
76	в котором	2	4
77	место в	3	4
78	том же	1	4
79	же время	2	4
80	в образе	1	4
81	с ним	2	4
82	и смерть	2	4
83	о том	7	4
84	все его	1	4
85	так что	3	4
86	с другом	1	4
87	и их	2	4
88	а не	10	4
89	отнюдь не	8	4
90	в ряду	1	4
91	друг с	1	4
92	с этой	1	4
93	еще более	2	4
94	же в	1	4
95	почти все	1	3
96	ему в	3	3
97	в виду	1	3
98	того же	4	3
99	слова и	1	3
100	образ смерти	1	3
101	хотя и	4	3
102	как уже	3	3
103	и как	1	3
104	уже не	4	3
105	и по	1	3
106	прежде чем	1	3
107	таким образом	2	3
108	а затем	2	3
109	в совершенно	1	3
110	в их	3	3
111	на границе	1	3
112	же самое	1	3
113	к тому	7	3
114	имеет место	4	3
115	себя и	1	3
116	на основе	2	3
117	роль в	2	3
118	в борьбе	2	3
119	жизнь и	1	3
120	в другом	1	3
121	а также	7	3
122	как у	1	3
123	борьба с	3	3
124	что и	3	3
125	того что	2	3
126	тот же	1	3
127	во времени	2	3
128	все они	1	3
129	в качестве	11	3
130	на протяжении	2	3
131	для него	4	3
132	тем что	3	3
133	что на	3	3
134	и даже	9	3
135	на смерть	1	3
136	о чем	2	3
137	мира в	1	3
138	не является	1	3
139	тем более	1	3
140	в этих	2	3
141	ее в	1	3
142	а в	3	3
143	всего в	2	3
144	к этому	2	3
145	как его	1	2
146	эту жизнь	2	2
147	этого мира	1	2
148	тем же	1	2
149	и до	2	2
150	как история	1	2
151	мы имеем	3	2
152	в сущности	4	2
153	говорить о	6	2
154	они были	1	2
155	он был	2	2
156	в уста	1	2
157	не был	3	2
158	и т.п	8	2
159	совсем не	1	2
160	к ним	1	2
161	и к	5	2
162	детализация и	1	2
163	всего романа	1	2
164	в этой	9	2
165	с одной	5	2
166	особое место	1	2
167	как он	1	2
168	о смерти	1	2
169	картины мира	2	2
170	на этом	4	2
171	лишь в	9	2
172	по себе	2	2
173	далеко не	1	2
174	со своими	1	2
175	которой он	1	2
176	автора и	3	2
177	строго говоря	2	2
178	дается в	1	2
179	но эта	2	2
180	и более	1	2
181	в отношении	1	2
182	вплоть до	1	2
183	она не	2	2
184	на котором	2	2
185	и имеет	1	2
186	этом отношении	3	2
187	могут быть	10	2
188	во все	1	2
189	похож на	1	2
190	при описании	2	2
191	и потому	1	2
192	и о	1	2
193	самим собою	1	2
194	в себя	4	2
195	не мог	3	2
196	особенно в	7	2
197	свиньи и	1	2
198	таков например	1	2
199	можно сказать	4	2
200	каждом из	1	2
201	в сюжете	1	2
202	борьбе с	2	2
203	это не	1	2
204	в литературе	1	2
205	что здесь	1	2
206	один из	2	2
207	мы видим	1	2
208	в поэзии	2	2
