N	3gram	Berdyaev_O_1	Istorich
1	в том что	1	5
2	с тем что	2	3
3	в другом месте	1	2
4	вместо того чтобы	1	2
5	но и в	2	2
6	не может быть	2	2
7	что это за	1	2
8	о том что	1	2
9	на то что	1	2
10	после того как	1	2
11	о том как	1	1
12	том что в	1	1
13	бросается в глаза	1	1
14	должен был бы	1	1
15	да и то	1	1
16	человека а не	1	1
17	сам по себе	1	1
18	он подошел к	1	1
19	что он был	1	1
20	и в его	1	1
21	смысле этого слова	1	1
22	его не было	1	1
23	связана с тем	1	1
24	говорят о том	1	1
25	не думаю чтобы	1	1
26	и когда он	1	1
27	ни с каким	1	1
28	в одно время	1	1
29	что у него	2	1
30	и прежде всего	1	1
31	дома но и	1	1
32	друг с другом	1	1
33	но никогда не	1	1
34	он прежде всего	2	1
