N	2gram	Bakhtin_Pr_3	Morfolog
1	может быть	19	52
2	и т	8	49
3	т д	2	47
4	и пр	1	40
5	таким образом	5	20
6	не может	19	17
7	т е	12	16
8	в этих	1	16
9	с этим	2	14
10	действующих лиц	1	13
11	и в	34	13
12	в этом	16	13
13	так как	4	12
14	связи с	1	11
15	перед нами	1	11
16	прежде всего	15	9
17	так и	6	9
18	то же	14	9
19	этом случае	2	9
20	и не	29	9
21	а не	9	9
22	а затем	1	8
23	что и	5	8
24	с другой	4	8
25	все же	7	7
26	вопрос о	2	7
27	в форме	2	6
28	а в	5	6
29	но не	4	6
30	это не	5	6
31	не могут	1	6
32	в том	3	6
33	во время	2	6
34	подобно тому	2	6
35	не менее	3	5
36	или в	1	5
37	здесь можно	1	5
38	во всех	2	5
39	потому что	12	5
40	не все	1	5
41	мы увидим	2	5
42	один из	2	5
43	этот момент	1	5
44	тому как	2	5
45	то что	11	5
46	далеко не	3	5
47	как бы	27	5
48	как мы	7	4
49	на его	4	4
50	очень часто	2	4
51	как и	18	4
52	так же	8	4
53	случае не	1	4
54	отношению к	6	4
55	вовсе не	11	4
56	точки зрения	8	4
57	там где	7	4
58	на этом	4	4
59	в некоторых	1	4
60	на котором	1	4
61	об этом	1	4
62	тем что	4	4
63	его в	4	4
64	показать что	2	4
65	тем не	2	4
66	что в	7	4
67	хотя и	3	4
68	тех же	1	4
69	с точки	4	4
70	по отношению	5	4
71	как в	4	4
72	в других	1	4
73	что его	3	4
74	его самого	1	4
75	ничего не	4	4
76	то это	1	4
77	другой стороны	3	4
78	героя в	5	4
79	также и	1	4
80	несмотря на	1	4
81	эта функция	1	4
82	оно может	1	4
83	было бы	2	4
84	не только	10	4
85	и как	3	4
86	вступают в	1	3
87	из приведенных	1	3
88	к герою	7	3
89	входит в	2	3
90	требует чтобы	1	3
91	в целом	5	3
92	что они	6	3
93	в один	1	3
94	начинается с	1	3
95	к нему	14	3
96	независимо от	1	3
97	того чтобы	1	3
98	и вне	1	3
99	для героя	1	3
100	в то	12	3
101	но все	5	3
102	и для	8	3
103	ни в	4	3
104	между собой	1	3
105	реагирует на	1	3
106	не является	2	3
107	в начале	4	3
108	к чему	2	3
109	на самом	11	3
110	но и	12	3
111	из которых	1	3
112	не происходит	1	3
113	на него	7	3
114	героя и	9	3
115	мы можем	1	3
116	мы должны	5	3
117	в сущности	11	3
118	на нем	1	3
119	в первом	1	3
120	только что	3	3
121	если бы	4	3
122	друг друга	2	3
123	и другим	1	3
124	с иваном	3	3
125	ивана в	3	3
126	в живых	1	3
127	с собой	1	3
128	он не	15	3
129	в последнем	2	3
130	здесь же	1	3
131	и ее	2	3
132	но в	16	3
133	самом деле	13	3
134	он должен	2	3
135	и по	1	3
136	это уже	2	3
137	из них	5	3
138	в пределах	6	3
139	а то	1	3
140	но это	4	3
141	о герое	1	3
142	том что	3	3
143	все эти	4	2
144	а во	1	2
145	бы они	2	2
146	момент в	1	2
147	лиц в	1	2
148	д он	1	2
149	в другом	8	2
150	о том	2	2
151	можно сказать	1	2
152	что эти	1	2
153	или не	1	2
154	этого не	3	2
155	как например	1	2
156	выдает себя	1	2
157	никто не	1	2
158	есть нечто	1	2
159	время как	1	2
160	большинстве случаев	3	2
161	или просто	1	2
162	случаях когда	1	2
163	в виде	4	2
164	в большинстве	2	2
165	что такое	2	2
166	его и	3	2
167	хотя бы	5	2
168	та же	2	2
169	от него	6	2
170	для него	13	2
171	с тем	5	2
172	то в	2	2
173	самого себя	2	2
174	совсем не	3	2
175	и только	2	2
176	нам еще	1	2
177	оно не	1	2
178	одной из	1	2
179	путь к	1	2
180	он старается	4	2
181	того что	5	2
