N	2gram	Medvedev_F_3	UchenyiS
1	и в	27	14
2	формальный метод	1	11
3	а не	17	10
4	не только	9	10
5	формального метода	2	9
6	прежде всего	4	8
7	и не	30	8
8	не может	24	7
9	в этом	18	7
10	то что	8	7
11	может быть	25	6
12	в искусстве	7	6
13	то же	15	5
14	стилистических приемов	1	5
15	и только	2	5
16	художественное произведение	11	5
17	в художественном	5	5
18	все это	7	5
19	хотя бы	6	5
20	перестает быть	2	5
21	художественного творчества	2	5
22	с другой	6	4
23	но и	10	4
24	в их	1	4
25	в россии	2	4
26	в этой	2	4
27	конечно не	4	4
28	то ни	4	3
29	и то	1	3
30	это не	3	3
31	было бы	6	3
32	как и	14	3
33	для этого	2	3
34	в частности	1	3
35	в своей	6	3
36	или точнее	2	3
37	бы то	4	3
38	очевидно что	2	3
39	к сожалению	1	3
40	и формы	5	3
41	произведения искусства	1	3
42	в то	7	3
43	все же	6	3
44	но в	6	3
45	формы в	3	3
46	истории литературы	6	3
47	пришлось бы	1	3
48	не следует	3	3
49	же время	7	3
50	в области	2	3
51	только к	1	3
52	у нас	3	3
53	другой стороны	5	3
54	для него	1	3
55	не как	2	3
56	ни было	5	3
57	не о	3	3
58	же не	1	2
59	одним из	3	2
60	и с	3	2
61	художественного произведения	7	2
62	и через	1	2
63	художественном произведении	3	2
64	а его	1	2
65	материала и	3	2
66	до сих	1	2
67	самом деле	16	2
68	художественных произведений	1	2
69	форму и	1	2
70	прием и	2	2
71	и прием	4	2
72	противном случае	1	2
73	должна быть	3	2
74	превращается в	2	2
75	мы не	4	2
76	о чем	1	2
77	является в	2	2
78	если бы	12	2
79	что мы	1	2
80	ничего не	2	2
81	как таковой	3	2
82	том что	4	2
83	на первый	1	2
84	сводится к	5	2
85	но даже	1	2
86	мы и	3	2
87	этого термина	1	2
88	его стилистических	1	2
89	литературы и	3	2
90	как мычание	1	2
91	установку на	1	2
92	нас в	1	2
93	в шкловский	3	2
94	но конечно	1	2
95	с его	2	2
96	но не	5	2
97	в сторону	2	2
98	в его	7	2
99	по существу	1	2
100	что и	2	2
101	что материал	3	2
102	по себе	4	2
