N	3gram	Vinokur_Ku_2	Problema
1	о том что	1	9
2	с точки зрения	8	8
3	в том что	10	8
4	в связи с	3	7
5	в конце концов	3	6
6	тем не менее	5	5
7	с другой стороны	7	5
8	по крайней мере	6	4
9	до некоторой степени	2	4
10	что иное как	1	3
11	в настоящее время	1	3
12	в этом смысле	5	3
13	и то что	1	3
14	точно так же	3	3
15	может быть только	2	3
16	вместе с тем	2	3
17	и в частности	1	3
18	то время как	1	3
19	с одной стороны	1	3
20	в то время	1	3
21	можно сказать что	2	3
22	после того как	1	3
23	не что иное	1	3
24	только тогда когда	1	3
25	потому что он	2	2
26	дело в том	1	2
27	но даже и	2	2
28	также и в	1	2
29	до сих пор	1	2
30	также и то	1	2
31	бы то ни	1	2
32	и не в	1	2
33	в данном случае	1	2
34	мы находим и	1	2
35	не может быть	4	2
36	потому что они	1	2
37	во всяком случае	5	2
38	найти и в	1	2
39	и никогда не	1	2
40	но все же	2	2
41	на то что	2	2
42	тех или иных	1	2
43	для того чтобы	8	2
44	хотя и не	1	1
45	то что я	1	1
46	чуть ли не	1	1
47	не говоря уже	2	1
48	на самом деле	2	1
49	в самом деле	7	1
50	под тем же	1	1
51	точки зрения в	3	1
52	то только потому	1	1
53	да и то	1	1
54	потому что не	1	1
55	сам по себе	1	1
56	потому что у	1	1
57	виду не только	1	1
58	мы могли бы	1	1
59	а так как	1	1
60	в этом отношении	3	1
61	в наше время	2	1
62	но это не	1	1
63	можно было бы	9	1
64	с тех пор	1	1
65	несмотря на то	2	1
66	говоря уже о	2	1
67	с этой точки	2	1
68	только потому что	6	1
69	едва ли не	1	1
70	уже о том	1	1
71	не потому что	1	1
72	хотя и с	1	1
73	не только в	4	1
74	то ни было	1	1
75	потому что оно	1	1
76	состоит в том	1	1
77	а также и	1	1
78	и потому что	2	1
79	что он лишен	2	1
80	в виду не	1	1
81	так или иначе	2	1
82	таким же образом	1	1
83	то что вы	1	1
84	хотя бы на	1	1
85	мере в какой	1	1
86	уже не в	1	1
87	и в том	2	1
88	чтобы покончить с	1	1
89	этой точки зрения	2	1
90	то же время	3	1
91	то обстоятельство что	7	1
92	может быть это	1	1
93	то или иное	2	1
94	связи с этим	1	1
95	одно общее замечание	1	1
96	с самого начала	1	1
97	можно ли в	1	1
98	в большинстве случаев	1	1
99	что не все	1	1
100	в то же	3	1
101	он все еще	1	1
102	в том смысле	1	1
103	в результате этого	2	1
104	сама по себе	1	1
105	в предисловии к	1	1
106	но не только	1	1
107	по его мнению	1	1
108	к тому же	1	1
109	том что и	1	1
110	и т д	14	1
