N	2gram	Losev_Prob_1	DiskursI
1	в себе	15	19
2	при этом	6	17
3	в этом	19	16
4	как и	3	16
5	и в	32	16
6	в качестве	2	16
7	может быть	14	16
8	и не	31	15
9	а не	15	14
10	то есть	33	12
11	но в	14	11
12	но и	9	11
13	со стороны	1	10
14	не только	17	10
15	том что	12	10
16	так и	12	9
17	не может	8	9
18	такого рода	7	9
19	как в	4	8
20	в том	9	8
21	а также	4	8
22	но не	9	7
23	в данном	9	7
24	в нем	13	7
25	ни в	7	7
26	не менее	19	7
27	при всей	1	7
28	прежде всего	10	7
29	то же	10	6
30	еще не	9	6
31	с его	2	6
32	данном случае	8	6
33	себя в	1	6
34	отнюдь не	10	6
35	все же	1	6
36	в своей	8	6
37	тем самым	4	6
38	по своей	1	6
39	и на	8	5
40	в своем	5	5
41	в противоположность	1	5
42	в то	6	5
43	с другой	3	5
44	что в	12	5
45	для него	2	5
46	то что	42	5
47	ни к	1	5
48	я и	2	4
49	и то	6	4
50	в этой	10	4
51	человека в	1	4
52	в основе	1	4
53	потому что	16	4
54	этом отношении	1	4
55	о том	11	4
56	в пределах	1	4
57	одного из	1	4
58	времени в	1	4
59	известного рода	3	4
60	одно из	2	4
61	не сводится	1	4
62	как бы	14	4
63	ни для	1	4
64	не является	5	4
65	точки зрения	3	4
66	в период	1	4
67	к его	2	4
68	к этому	1	4
69	также и	11	3
70	например в	2	3
71	и ее	8	3
72	перед нами	5	3
73	и как	6	3
74	все эти	8	3
75	всей своей	1	3
76	из этих	2	3
77	он не	3	3
78	и может	2	3
79	в другом	1	3
80	его в	6	3
81	это не	6	3
82	одного и	2	3
83	в этих	3	3
84	в котором	5	3
85	не в	4	3
86	могут быть	2	3
87	той или	5	3
88	мысль о	1	3
89	в его	6	3
90	но она	3	3
91	только в	7	3
92	и его	3	3
93	уже не	3	3
94	из них	3	3
95	в них	7	3
96	или иной	5	3
97	здесь в	3	3
98	не было	4	3
99	не знает	1	3
100	мира в	1	3
101	как будто	3	3
102	можно сказать	5	3
103	но это	8	3
104	и того	2	3
105	и все	7	3
106	жизни и	1	3
107	как на	1	3
108	же как	2	2
109	того же	3	2
110	о любви	2	2
111	и это	9	2
112	по преимуществу	2	2
113	той же	1	2
114	потом и	1	2
115	место в	1	2
116	говорить о	6	2
117	к своему	1	2
118	мы имеем	2	2
119	не нужно	3	2
120	не требует	1	2
121	тут же	1	2
122	первый взгляд	1	2
123	отношения между	1	2
124	не более	1	2
125	в записках	1	2
126	должна быть	1	2
127	в первую	1	2
128	не к	1	2
129	у пушкина	2	2
130	подобно тому	2	2
131	что ни	2	2
132	и возможность	1	2
133	является не	2	2
134	одно и	1	2
135	содержит в	7	2
136	же касается	3	2
137	и с	2	2
138	входит в	4	2
139	на почве	1	2
140	но уже	5	2
141	или из	3	2
142	должно быть	2	2
143	все это	7	2
144	несет в	1	2
145	на первый	2	2
146	этом случае	2	2
147	с точки	3	2
148	пока еще	3	2
149	их в	4	2
150	речь пойдет	1	2
151	некоторого рода	5	2
152	дело в	3	2
153	никогда не	7	2
154	того и	1	2
155	и другого	1	2
156	сводится к	1	2
157	что на	1	2
158	в области	2	2
159	в специальном	1	2
160	указать на	1	2
161	для себя	3	2
162	с ее	1	2
163	здесь не	7	2
164	не с	1	2
165	в результате	2	2
166	основе своей	1	2
167	первую очередь	1	2
168	между тем	2	2
169	эти характеристики	1	2
170	в языке	1	2
171	романа и	1	2
172	которая в	1	2
173	есть в	5	2
174	не о	2	2
175	момент в	2	2
176	на примере	1	2
177	именно в	4	2
178	далеко не	5	2
179	что будет	2	2
180	не на	3	2
181	может иметь	2	2
182	вместе с	2	2
183	направленность на	1	2
184	или по	1	2
185	о чем	6	2
186	или иного	2	2
187	тому как	2	2
188	что же	9	2
189	а потом	2	2
190	и для	4	2
191	гораздо менее	1	2
192	а в	4	2
193	может и	3	2
194	другой стороны	3	2
195	что он	7	2
196	значение не	2	2
197	это в	1	2
198	себя как	1	1
199	как нечто	8	1
200	для этих	2	1
201	является для	1	1
202	одним из	1	1
203	чтобы не	1	1
204	художественного произведения	1	1
