N	2gram	Vinokur_St_3	VrazhdaK
1	в году	5	18
2	не только	12	9
3	в этом	24	8
4	и в	25	8
5	и что	3	8
6	но и	9	7
7	и все	1	7
8	года в	2	7
9	то что	12	7
10	что в	19	7
11	все же	4	6
12	но в	5	6
13	в нем	1	6
14	как и	4	6
15	в котором	5	6
16	и с	4	6
17	в начале	4	6
18	то же	5	5
19	об этом	5	5
20	в то	7	5
21	же время	3	5
22	между тем	6	5
23	у него	9	5
24	не было	4	5
25	в россии	6	5
26	и не	10	5
27	г а	3	5
28	х годов	2	4
29	в ней	4	4
30	что он	19	4
31	в истории	1	4
32	целый ряд	1	4
33	это не	7	4
34	несмотря на	3	4
35	все это	8	4
36	в виду	2	4
37	во многом	2	4
38	с ним	1	4
39	о том	8	4
40	для нас	1	4
41	уже в	3	4
42	может быть	19	4
43	как бы	6	4
44	в своих	8	4
45	так же	1	4
46	речь идет	2	3
47	одним из	1	3
48	он был	3	3
49	в чем	4	3
50	с его	3	3
51	в своем	1	3
52	и как	1	3
53	раз в	1	3
54	на то	5	3
55	его в	1	3
56	он не	5	3
57	том что	15	3
58	в черновиках	1	3
59	но он	3	3
60	что есть	1	3
61	в русской	6	3
62	и его	3	3
63	связи с	3	3
64	и о	1	3
65	что у	2	3
66	и во	2	3
67	русской литературе	1	3
68	в его	12	3
69	в том	20	3
70	давно уже	1	3
71	и у	2	3
72	в конце	6	3
73	тем что	19	3
74	в связи	3	3
75	в те	1	3
76	эти слова	1	3
77	наряду с	1	3
78	я хотел	1	3
79	т е	8	3
80	к этому	3	3
81	отношения к	1	2
82	и то	1	2
83	и он	1	2
84	но как	2	2
85	ответ на	5	2
86	в известном	1	2
87	в той	1	2
88	при создании	1	2
89	в этой	14	2
90	о которой	2	2
91	таким образом	10	2
92	на кавказ	1	2
93	этот человек	2	2
94	в них	5	2
95	рядом с	1	2
96	а с	2	2
97	мы знаем	1	2
98	не мог	2	2
99	в эту	4	2
100	во время	3	2
101	точки зрения	7	2
102	в своей	4	2
103	и ее	2	2
104	с точки	4	2
105	место в	6	2
106	не менее	2	2
107	том же	1	2
108	одна из	2	2
109	никогда не	2	2
110	п в	1	2
111	и далее	3	2
112	его с	1	2
113	на это	2	2
114	и это	5	2
115	году в	1	2
116	на основе	2	2
117	в в	3	2
118	россии в	1	2
119	так в	1	2
120	еще не	2	2
121	он писал	2	2
122	а также	4	2
123	тем более	3	2
124	по мнению	3	2
125	с нею	1	2
126	уже не	3	2
127	при помощи	2	2
128	из них	1	2
129	для него	3	2
130	отношение к	4	2
131	как раз	3	2
132	с которым	3	2
133	о чем	1	2
134	эти годы	2	2
