N	3gram	Medvedev_F_2	Tvorches
1	и т д	5	11
2	то же время	5	7
3	в то же	5	7
4	до сих пор	1	3
5	не может быть	10	3
6	в самом деле	5	2
7	влечет за собой	1	2
8	в одной из	1	2
9	и не может	3	2
10	в таком случае	1	2
11	и в то	3	2
12	в отличие от	2	2
13	на этот вопрос	1	2
14	по крайней мере	1	2
15	именно в этом	1	2
16	все же не	1	2
17	во всяком случае	5	2
18	могут быть поняты	1	2
19	с другой стороны	3	2
20	так и в	3	2
21	и т п	9	2
22	в том что	2	2
23	особое место в	1	1
24	в ранний период	1	1
25	их мышления и	1	1
26	в чем не	1	1
27	как и для	1	1
28	можно говорить лишь	1	1
29	если же это	1	1
30	и др однако	1	1
31	сами по себе	2	1
32	является одним из	1	1
33	и в дальнейшем	2	1
34	что в нем	2	1
35	в этот период	1	1
36	то или иное	1	1
37	так сказать в	1	1
38	в том смысле	3	1
39	в применении к	2	1
40	только то что	1	1
41	но в то	1	1
42	тем что он	1	1
43	но при этом	1	1
44	и в этом	5	1
45	не могут быть	4	1
46	в свою очередь	1	1
47	в связи с	10	1
48	в виду что	1	1
49	у нас не	1	1
50	того или иного	4	1
51	ни в чем	2	1
52	мы не можем	1	1
53	том смысле что	2	1
54	это и есть	1	1
55	ничего общего с	1	1
56	с самого начала	2	1
57	прежде всего возникает	1	1
58	мы знаем что	1	1
59	или во всяком	1	1
60	является в высшей	1	1
61	и прежде всего	2	1
62	таким образом сюжет	1	1
63	в предисловии к	2	1
64	в его статье	1	1
65	на то чтобы	1	1
66	в высшей степени	4	1
67	как и в	1	1
68	мы говорим о	2	1
