N	2gram	Trubetskoy_1	OGranits
1	и в	23	13
2	и его	1	12
3	прежде всего	3	9
4	может быть	16	8
5	не может	17	8
6	и не	8	8
7	в его	5	7
8	и их	5	7
9	и пр	1	7
10	точки зрения	13	7
11	социального общения	1	6
12	только в	6	6
13	как бы	10	6
14	не только	7	6
15	то что	18	6
16	мы должны	4	6
17	таким образом	31	6
18	и т.д	4	5
19	все же	13	5
20	и наконец	3	5
21	с точки	8	5
22	в процессе	2	5
23	хотя бы	4	5
24	и эта	1	5
25	мы не	1	4
26	социальной группы	1	4
27	но мы	1	4
28	тех пор	2	4
29	еще и	1	4
30	но в	4	4
31	до тех	2	4
32	вопроса о	1	4
33	мы можем	6	4
34	то же	4	4
35	лишь в	5	4
36	в сознании	6	4
37	в своей	1	4
38	было бы	3	4
39	все это	11	4
40	вполне понятно	1	4
41	в каждом	1	4
42	и то	4	3
43	самом деле	12	3
44	так и	10	3
45	говорить о	2	3
46	в их	4	3
47	по отношению	9	3
48	общего с	2	3
49	с этим	11	3
50	в которой	5	3
51	ни один	3	3
52	в себе	5	3
53	к одному	1	3
54	так как	7	3
55	одно и	1	3
56	здесь мы	1	3
57	но и	9	3
58	как и	9	3
59	и уже	2	3
60	точку зрения	2	3
61	что же	2	3
62	не в	8	3
63	да и	1	3
64	но для	2	3
65	и для	6	3
66	никогда не	4	3
67	и все	7	3
68	отношению к	9	3
69	что в	8	3
70	ничего общего	3	3
71	и наиболее	1	2
72	смысле слова	1	2
73	для себя	2	2
74	данном случае	3	2
75	представим себе	1	2
76	зависимости от	1	2
77	и может	3	2
78	роль в	1	2
79	конечно в	2	2
80	мы уже	4	2
81	те же	2	2
82	есть не	1	2
83	не исчерпывается	1	2
84	если бы	8	2
85	иное как	1	2
86	с самого	1	2
87	в ней	3	2
88	ее в	1	2
89	помимо этого	1	2
90	между тем	12	2
91	в общем	6	2
92	во всей	1	2
93	что они	2	2
94	к сожалению	1	2
95	и следовательно	1	2
96	как в	1	2
97	в данном	3	2
98	в этом	12	2
99	но так	2	2
100	в том	30	2
101	мы видим	1	2
102	тот же	3	2
103	с ними	2	2
104	от этого	1	2
105	и отчасти	1	2
106	в этот	1	2
107	в целом	5	2
108	и тем	1	2
109	все эти	19	2
110	с одной	3	2
111	уже в	1	2
112	кажется что	1	2
113	в нем	3	2
114	при этом	9	2
115	школы и	1	2
116	для него	2	2
117	в другом	2	2
118	вовсе не	2	2
119	в зависимости	1	2
120	тем что	1	2
121	в них	2	2
122	в области	4	2
123	с другой	6	2
124	а как	1	2
125	в самом	8	2
126	входит в	1	2
127	мы считаем	1	2
128	одной стороны	2	2
129	а не	1	2
130	другой стороны	5	2
131	в руках	1	2
132	между собою	5	2
133	несмотря на	6	2
134	в связи	3	2
135	том что	19	2
136	и истории	5	2
137	и при	6	2
138	и ее	2	2
139	так же	8	2
140	в отношении	1	2
141	и помимо	1	2
142	в течение	4	2
143	в тех	3	2
144	с этой	3	2
145	художественное произведение	1	2
146	не менее	7	2
147	что эта	4	2
148	самого начала	1	2
149	не имеет	1	2
150	особенностей в	1	2
151	пути к	1	2
152	от всех	1	2
153	бы в	3	2
154	во всем	3	2
155	а в	3	2
156	в целях	1	2
157	нет ничего	1	2
158	общей истории	1	2
159	и к	5	2
160	имеет место	2	2
161	могут быть	1	2
162	в своих	2	2
163	к тому	8	2
164	и это	3	1
165	оно может	1	1
166	одним из	4	1
167	также и	2	1
168	же как	3	1
169	вне этого	1	1
170	в виду	2	1
171	того же	9	1
172	на нем	1	1
173	как известно	3	1
174	что до	1	1
175	науки о	1	1
176	это и	1	1
177	элемент его	1	1
178	среде и	1	1
179	последнее время	1	1
180	в себя	2	1
181	ту же	2	1
182	и до	3	1
183	или иная	1	1
184	можно лишь	2	1
185	ведь и	1	1
186	на том	2	1
187	можно было	1	1
188	в борьбе	1	1
189	утверждаем что	1	1
190	или их	1	1
191	к тем	2	1
192	вопрос о	3	1
193	на место	1	1
194	быть может	1	1
195	для этого	7	1
196	из одного	2	1
197	нам удалось	1	1
198	в определенной	1	1
199	мы попытались	1	1
200	на себя	1	1
201	с ее	2	1
202	сводится к	2	1
203	из того	4	1
204	но даже	3	1
205	социальных связей	1	1
206	то это	1	1
207	не совсем	1	1
208	другом месте	1	1
209	в мире	6	1
210	с большим	1	1
211	собою и	1	1
212	элементов входящих	1	1
213	другими словами	2	1
214	своей истории	1	1
215	и что	8	1
216	произведение и	1	1
217	еще не	5	1
218	они считают	1	1
219	в широком	1	1
220	столь же	5	1
221	время в	1	1
222	в различных	1	1
223	не могу	1	1
224	же самые	1	1
225	тем как	1	1
226	жизни он	1	1
227	к нему	2	1
228	на самом	7	1
229	совсем не	1	1
230	но не	2	1
231	а у	1	1
232	с момента	2	1
233	вся эта	1	1
234	него все	1	1
235	борьбе с	1	1
236	отношение к	4	1
237	к телу	1	1
238	нет и	1	1
239	в другой	1	1
240	их целей	1	1
241	на то	9	1
242	в истории	3	1
243	в своем	10	1
244	как из	1	1
245	по своей	7	1
246	ряд вопросов	1	1
247	что касается	6	1
248	один из	1	1
249	тех случаях	1	1
250	у в	2	1
251	эту точку	1	1
252	и как	1	1
253	его к	1	1
254	будут с	1	1
255	этот вопрос	2	1
256	что он	7	1
257	более или	7	1
258	в значительной	1	1
