N	2gram	Tiupa_Disk_1	slovoVRo
1	и в	16	41
2	в нем	9	30
3	то есть	20	26
4	могут быть	4	19
5	во всех	5	17
6	не только	28	16
7	и не	11	16
8	точки зрения	3	16
9	но и	14	16
10	а не	22	15
11	то же	7	14
12	и на	5	14
13	в то	3	14
14	и его	2	14
15	в пределах	2	14
16	может быть	17	14
17	и др	2	14
18	не может	9	14
19	слова и	1	13
20	в сущности	2	13
21	в его	7	13
22	в этом	15	12
23	до конца	1	12
24	же время	4	12
25	языка и	2	12
26	как бы	5	12
27	так и	8	11
28	в большинстве	1	10
29	в той	1	10
30	себя в	2	9
31	таким образом	3	9
32	той или	3	9
33	или иной	5	9
34	точка зрения	2	8
35	как в	10	8
36	но в	8	8
37	на его	4	8
38	с точки	1	8
39	как мы	2	8
40	в особенности	4	8
41	или в	2	8
42	слова в	2	8
43	прежде всего	11	8
44	отношение к	4	7
45	все же	3	7
46	в слове	1	7
47	в своей	5	7
48	не в	7	7
49	чужой речи	1	7
50	зрения на	3	7
51	всех его	1	7
52	романного жанра	1	7
53	во всяком	2	7
54	того же	3	6
55	при этом	13	6
56	это не	3	6
57	в них	4	6
58	оно не	2	6
59	только в	7	6
60	большинстве случаев	1	6
61	и даже	3	6
62	по своим	4	6
63	а в	5	6
64	отношении к	1	6
65	чужих высказываний	1	5
66	и к	4	5
67	в самом	3	5
68	он в	1	5
69	так сказать	2	5
70	с другими	1	5
71	далеко не	10	5
72	всяком случае	1	5
73	в основе	7	5
74	не на	1	5
75	к нему	1	5
76	как его	2	5
77	с другой	10	5
78	на своем	1	5
79	в языковом	1	4
80	одним из	2	4
81	по преимуществу	1	4
82	меньшей степени	1	4
83	еще не	14	4
84	с его	4	4
85	за пределы	2	4
86	перед нами	3	4
87	в которой	1	4
88	всех этих	1	4
89	не как	4	4
90	дистанции между	1	4
91	в каждом	2	4
92	лишь в	4	4
93	на почве	1	4
94	как и	16	4
95	автора и	1	4
96	в их	5	4
97	к предмету	1	4
98	в процессе	5	4
99	лежит в	1	4
100	с ее	2	4
101	жанра в	4	4
102	о нем	2	4
103	большей или	2	4
104	один из	3	4
105	с одной	9	4
106	или меньшей	2	4
107	одной стороны	9	4
108	и все	2	4
109	и потому	3	4
110	и от	1	4
111	в смысле	1	4
112	здесь в	2	4
113	известной степени	2	4
114	и часто	1	4
115	быть и	1	4
116	другой стороны	3	4
117	также и	3	3
118	в первом	3	3
119	своего исторического	1	3
120	как таковые	1	3
121	данном случае	2	3
122	в своем	6	3
123	не требует	1	3
124	более или	2	3
125	бы и	1	3
126	из этих	1	3
127	в себе	7	3
