N	2gram	Medvedev_F_3	PoTuStor
1	может быть	25	17
2	и в	27	16
3	и пр	15	12
4	в этом	18	9
5	таким образом	18	9
6	и только	2	9
7	мы можем	4	9
8	прежде всего	4	9
9	и с	3	8
10	точки зрения	16	8
11	и его	19	8
12	не может	24	8
13	совершенно не	7	8
14	с его	2	7
15	не только	9	7
16	сказать что	3	7
17	я и	1	6
18	самом деле	16	6
19	конечно не	4	6
20	при этом	8	6
21	с точки	14	6
22	и это	2	6
23	для него	1	6
24	еще не	6	5
25	все эти	6	5
26	только для	1	5
27	ни в	8	5
28	нуждается в	3	5
29	в него	3	5
30	как бы	8	5
31	на самом	14	4
32	и ее	6	4
33	и на	3	4
34	отнюдь не	8	4
35	но в	6	4
36	в этой	2	4
37	в нем	15	4
38	и может	1	4
39	его в	7	4
40	художественного творчества	2	4
41	все это	7	4
42	самого начала	1	4
43	как мы	8	4
44	с ее	2	4
45	с самого	1	4
46	так и	21	4
47	но мы	1	4
48	можно сказать	3	4
49	в его	7	4
50	а потому	1	4
51	только в	8	4
52	для всех	1	4
53	и их	5	4
54	так как	9	4
55	и даже	2	4
56	но и	10	4
57	и не	30	4
58	и все	8	4
59	хотя бы	6	4
60	отношения к	2	3
61	тех же	1	3
62	во всех	3	3
63	в общем	2	3
64	и как	4	3
65	и художественного	1	3
66	учение о	2	3
67	с их	1	3
68	и теперь	6	3
69	мы полагаем	1	3
70	их в	3	3
71	на этом	2	3
72	этом смысле	2	3
73	том что	4	3
74	никаких оснований	3	3
75	сих пор	1	3
76	в одном	1	3
77	и притом	2	3
78	в основе	3	3
79	до сих	1	3
80	те же	3	3
81	мира и	1	3
82	с другими	1	3
83	в том	7	3
84	в большинстве	4	3
85	только на	4	3
86	большинстве случаев	5	3
87	мы знаем	4	3
88	всяком случае	6	3
89	полагаем что	1	3
90	даже не	1	3
91	в области	2	3
92	и др	2	3
93	пр и	1	3
94	но оно	2	3
95	вместе с	6	3
96	и потому	5	3
97	как это	4	3
98	могут быть	4	3
99	в основном	2	3
100	что в	8	3
101	в этих	3	3
102	а в	1	3
103	то что	8	3
104	между ними	15	3
105	жизни и	4	3
106	во всяком	6	3
107	ту же	2	2
108	нем нет	1	2
109	же как	3	2
110	нам кажется	2	2
111	определить как	1	2
112	в самом	11	2
113	и этот	1	2
114	мы уже	3	2
115	мы не	4	2
116	и о	1	2
117	говорить о	2	2
118	того же	3	2
119	между собой	4	2
120	из этих	2	2
121	совсем не	5	2
122	друг на	1	2
123	нет и	3	2
124	за пределы	2	2
125	с этим	1	2
126	что это	3	2
127	и через	1	2
128	но ведь	4	2
