N	3gram	Vinokur_St_2	Analitik
1	в сочетании с	2	7
2	о том что	11	6
3	в том что	16	6
4	в данном случае	1	5
5	по отношению к	1	4
6	и в этом	2	4
7	в этом случае	1	4
8	к тому же	2	4
9	на себя внимание	2	3
10	в этом отношении	9	3
11	обращает на себя	3	3
12	тем не менее	2	3
13	в обоих случаях	1	2
14	в этом смысле	1	2
15	в ответ на	1	2
16	с точки зрения	2	2
17	в то же	1	2
18	в значительной степени	2	2
19	в отличие от	2	2
20	с другой стороны	3	2
21	то же время	1	2
22	не только не	2	2
23	на то что	2	2
24	а между тем	1	1
25	еще и до	1	1
26	должна была бы	1	1
27	одним и тем	1	1
28	между прочим и	1	1
29	более или менее	2	1
30	его собственному признанию	1	1
31	внимание на то	1	1
32	то что с	1	1
33	сами по себе	2	1
34	из того же	1	1
35	на этот вопрос	1	1
36	как она была	1	1
37	не хотелось бы	1	1
38	а как бы	1	1
39	той точки зрения	1	1
40	и тем же	1	1
41	ответ на вопрос	1	1
42	и то же	1	1
43	очень близко к	1	1
44	в известном смысле	1	1
45	в этом месте	2	1
46	так или иначе	1	1
47	в свою очередь	1	1
48	одни и те	1	1
49	в связи с	1	1
50	так и на	1	1
51	одно и то	1	1
52	а то что	1	1
53	в первую очередь	1	1
54	в свое время	1	1
55	том смысле что	1	1
56	заключается в том	1	1
57	в самом деле	2	1
58	речь идет о	3	1
59	во второй половине	1	1
60	не столько с	1	1
61	и те же	1	1
62	в том-то и	1	1
63	в том смысле	2	1
64	к тому что	5	1
65	в отношении к	1	1
66	по его собственному	1	1
67	дело не в	1	1
68	он не только	1	1
69	точно так же	1	1
