N	2gram	Losev_Vesc_1	Vladivir
1	и в	21	31
2	не только	36	24
3	но и	18	19
4	то что	27	18
5	и не	29	17
6	и даже	6	15
7	у него	2	15
8	и с	8	14
9	что в	9	14
10	в этом	4	14
11	том что	8	14
12	в его	2	12
13	по поводу	1	12
14	но в	5	12
15	что он	1	12
16	потому что	16	11
17	в том	8	11
18	между прочим	3	11
19	философии и	1	11
20	с его	1	11
21	о том	6	11
22	так что	5	10
23	и то	10	10
24	также и	6	10
25	в конце	2	9
26	в течение	1	9
27	а в	4	9
28	с а	4	9
29	никогда не	2	9
30	как мы	4	9
31	только в	14	9
32	даже и	4	9
33	в дальнейшем	1	8
34	в то	3	8
35	в те	1	8
36	так как	7	8
37	и по	1	8
38	еще и	8	7
39	кроме того	4	7
40	в эти	1	7
41	как раз	9	7
42	как это	2	7
43	об этом	3	7
44	для него	4	7
45	тут же	2	7
46	и его	2	7
47	сказать что	17	7
48	мы уже	3	7
49	уже в	1	7
50	о нем	1	7
51	е в	7	7
52	можно сказать	6	6
53	того же	5	6
54	не может	17	6
55	в котором	3	6
56	на этот	1	6
57	так и	3	6
58	то он	1	6
59	свое время	2	6
60	то же	6	6
61	и к	1	6
62	в качестве	1	6
63	у нас	7	6
64	и потому	5	6
65	это было	1	6
66	иной раз	1	6
67	и что	15	6
68	может быть	16	6
69	к этому	1	6
70	он и	1	6
71	со своим	7	5
72	в свое	2	5
73	но он	2	5
74	что же	8	5
75	жизни и	2	5
76	на то	4	5
77	не было	1	5
78	вовсе не	10	5
79	с ним	8	5
80	не в	5	5
81	и если	2	5
82	и от	3	5
83	а с	3	5
84	когда он	1	5
85	что и	3	5
86	в своих	1	5
87	а также	1	5
88	все это	5	5
89	главным образом	1	4
90	в себе	14	4
91	а а	1	4
92	для нас	2	4
93	мы и	1	4
94	и все	5	4
95	в этой	3	4
96	к нему	1	4
97	в нем	2	4
98	в своей	5	4
99	по своей	2	4
100	к ней	2	4
101	хотя и	4	4
102	во всем	1	4
103	из его	2	4
104	мысли и	3	4
105	для меня	2	4
106	что у	5	4
107	дело в	4	4
108	да и	3	4
109	один из	3	4
110	в истории	1	4
111	в особенности	1	4
112	ни с	6	4
113	в которой	1	4
114	в россии	2	4
115	несмотря на	1	4
116	я не	4	4
117	говорит что	1	4
118	и у	3	4
119	себя в	10	4
120	никак не	3	4
121	как и	8	4
122	и как	8	4
123	в своем	6	4
124	все эти	3	3
125	то мы	2	3
126	не мог	1	3
127	в в	2	3
128	но она	3	3
129	все же	4	3
130	и вот	2	3
131	конце концов	2	3
132	что они	6	3
133	с в	2	3
134	таким образом	8	3
135	в виде	1	3
136	в жизни	3	3
137	это конечно	1	3
138	и так	1	3
139	и здесь	4	3
140	и он	1	3
141	но не	5	3
142	но только	3	3
143	вместе с	1	3
144	здесь мы	1	3
145	отношение к	1	3
146	свидетельствует о	3	3
147	и притом	3	3
148	о которой	2	3
149	к тому	3	3
150	и всегда	1	3
151	но этот	1	3
152	тот же	3	3
153	в отношении	4	3
154	но на	2	3
155	и всякой	1	3
156	ничего не	3	3
157	же т	3	3
158	это можно	2	3
159	уже не	9	3
160	или менее	1	3
161	жизнь и	1	3
162	более или	1	3
163	другой стороны	2	3
164	к его	1	3
165	только к	2	3
166	из своего	1	3
167	в науке	1	3
168	едва ли	1	3
169	с другой	6	3
170	если не	3	3
171	в общем	1	3
172	но что	2	3
173	собственно говоря	4	3
174	раз и	1	3
175	него не	1	3
176	на себя	1	3
177	только на	3	3
178	со своими	1	3
179	отнюдь не	5	3
180	но это	10	3
181	почти не	1	2
182	которой мы	1	2
183	нисколько не	4	2
184	еще не	8	2
185	во всяком	3	2
186	его на	1	2
187	это мы	1	2
188	из этого	1	2
189	и а	2	2
190	необходимо сказать	1	2
191	знания и	1	2
192	от нее	2	2
193	о котором	1	2
194	и ни	1	2
195	и который	1	2
196	для своего	1	2
197	даже не	7	2
198	при этом	1	2
199	воли и	1	2
200	и для	9	2
201	для себя	5	2
202	т д	19	2
203	она была	2	2
204	у меня	3	2
205	для тех	3	2
206	не менее	3	2
207	точки зрения	5	2
208	было сказано	1	2
209	но мы	1	2
210	и это	14	2
211	хотя бы	6	2
212	тем самым	1	2
213	которая как	1	2
214	дело не	2	2
215	то и	4	2
216	того чтобы	3	2
217	что я	24	2
218	что на	2	2
219	с тем	5	2
220	с и	1	2
221	и я	1	2
222	не существовало	1	2
223	на что	1	2
224	в чем	6	2
225	а именно	1	2
226	совершенно не	5	2
227	того что	8	2
228	то как	2	2
229	и т	19	2
230	нет и	1	2
231	и можно	1	2
232	только что	2	2
