N	2gram	Voloshinov_1	Vvedenie
1	и в	16	32
2	в том	3	31
3	в этом	9	30
4	том что	3	26
5	может быть	17	26
6	не только	7	22
7	для того	1	21
8	того чтобы	1	20
9	таким образом	9	19
10	то что	3	16
11	так как	4	15
12	не может	8	14
13	в самом	2	13
14	в нем	4	13
15	о том	2	13
16	со стороны	1	13
17	в общем	3	12
18	в его	4	12
19	только в	4	12
20	и не	4	12
21	как на	1	12
22	как мы	4	11
23	в данном	1	11
24	что такое	5	11
25	что в	3	10
26	то же	2	9
27	и как	3	9
28	но в	4	9
29	этом смысле	3	9
30	науки о	1	8
31	не менее	2	8
32	с другой	1	8
33	самом деле	6	7
34	вопрос о	1	7
35	но не	1	7
36	все же	1	7
37	было бы	2	7
38	точки зрения	8	7
39	уже и	1	7
40	в применении	1	7
41	можно было	1	7
42	дело с	1	7
43	прежде всего	9	7
44	только как	3	7
45	и это	6	6
46	из этих	2	6
47	как он	1	6
48	его в	4	6
49	с тем	1	6
50	как и	2	6
51	вовсе не	1	6
52	в качестве	1	6
53	не могут	2	6
54	один из	2	6
55	и его	8	6
56	и даже	4	6
57	до сих	3	6
58	но и	4	6
59	применении к	1	6
60	сих пор	3	6
61	все это	4	6
62	хотя бы	4	6
63	иное как	1	5
64	с их	3	5
65	приходим к	1	5
66	на почве	1	5
67	данном случае	1	5
68	в них	2	5
69	но если	1	5
70	сказать что	7	5
71	могут быть	3	5
72	уже в	1	5
73	не есть	2	5
74	что не	2	5
75	на этот	1	5
76	а не	1	5
77	по своему	2	5
78	в течение	1	5
79	как бы	5	5
80	есть и	2	5
81	вместе с	3	5
82	и то	1	4
83	как это	3	4
84	той же	1	4
85	мы имеем	1	4
86	что иное	1	4
87	от этого	1	4
88	уже не	1	4
89	но ведь	2	4
90	истории и	1	4
91	в своей	2	4
92	по сравнению	3	4
93	по крайней	3	4
94	не имеет	1	4
95	в разных	1	4
96	это только	1	4
97	на вопрос	1	4
98	и т.д	1	4
99	времени и	1	4
100	внимание на	1	4
101	и что	1	4
102	крайней мере	3	4
103	и история	1	4
104	еще не	5	4
105	к делу	1	4
106	что он	2	4
107	и ее	4	4
108	с одной	1	4
109	всяком случае	3	4
110	как раз	1	4
111	этом отношении	1	4
112	даже и	1	4
113	науки в	1	4
114	одной стороны	1	4
115	сравнению с	3	4
116	с этой	2	4
117	и для	2	4
118	особого рода	1	4
119	только что	1	4
120	а в	3	4
