N	3gram	Tiupa_Teor_1	SlovoVZh
1	по отношению к	4	11
2	не может быть	4	7
3	в нашем примере	1	7
4	можно сказать что	2	5
5	дело в том	1	4
6	в том что	8	4
7	тем не менее	3	3
8	бы то ни	1	3
9	может быть и	2	3
10	то ни было	1	3
11	в художественном произведении	1	3
12	и то же	1	2
13	имеем в виду	3	2
14	с другой стороны	5	2
15	то же самое	1	2
16	с точки зрения	3	2
17	и для других	1	2
18	до известной степени	2	2
19	одно и то	1	2
20	в отношении к	1	2
21	в данном случае	5	2
22	с одной стороны	2	2
23	тех или иных	3	1
24	но прежде всего	1	1
25	том что в	1	1
26	а между тем	1	1
27	имеем дело с	1	1
28	в нашем случае	2	1
29	мы имеем дело	2	1
30	бы они ни	1	1
31	более или менее	2	1
32	в этом смысле	2	1
33	как это делает	1	1
34	в то время	1	1
35	искусства может быть	1	1
36	и в пространстве	1	1
37	художественное произведение взятое	1	1
38	при этом особенно	1	1
39	ни в коем	2	1
40	как это бывает	1	1
41	в свою очередь	2	1
42	они не входят	1	1
43	о том что	1	1
44	только то что	1	1
45	лингвистической точки зрения	1	1
46	никогда не бывает	1	1
47	в конечном счете	6	1
48	внутренней и внешней	2	1
49	в большинстве своем	1	1
50	то же время	5	1
51	подобно тому как	1	1
52	между тем это	1	1
53	в русской литературе	2	1
54	и здесь мы	1	1
55	точки зрения не	1	1
56	в основе своей	1	1
57	мы имеем в	3	1
58	в противном случае	1	1
59	они ни были	1	1
60	со всех сторон	1	1
61	по крайней мере	1	1
62	в то же	5	1
63	жизни за пределами	1	1
64	случае мы имеем	1	1
65	в коем случае	2	1
66	в значительной степени	1	1
67	сама по себе	1	1
68	во внутренней речи	1	1
69	так же как	1	1
70	не совпадает с	1	1
71	в виду не	3	1
72	внутренней речи а	1	1
73	как и в	2	1
74	позицию по отношению	1	1
75	но в то	1	1
