N	3gram	Tiupa_Anal_1	formyVre
1	то же время	6	9
2	и т п	3	8
3	в то же	8	6
4	и того же	2	5
5	одного и того	2	5
6	в связи с	1	5
7	для того чтобы	3	5
8	в том числе	3	4
9	по отношению к	5	3
10	до сих пор	1	3
11	в этом отношении	2	3
12	одно и то	1	3
13	не может быть	16	3
14	и то же	1	3
15	и в сущности	1	2
16	равно как и	1	2
17	также и в	1	2
18	в соответствии с	1	2
19	как раз и	1	2
20	как если бы	1	2
21	с точки зрения	4	2
22	не было и	1	2
23	в отличие от	6	2
24	но и в	2	2
25	том числе и	1	2
26	с самим собой	1	2
27	вместе с тем	1	2
28	и в частности	1	2
29	не только в	1	2
30	с одной стороны	3	2
31	по природе своей	2	2
32	в какой-то степени	1	2
33	в широком смысле	2	2
34	внешнее и внутреннее	1	2
35	той или иной	6	2
36	в том что	9	2
37	как и в	1	2
38	к тому же	4	2
39	по своей природе	1	1
40	да и в	1	1
41	связей и отношений	1	1
42	или хотя бы	1	1
43	в той или	3	1
44	в данный момент	1	1
45	а вовсе не	1	1
46	прежде всего в	1	1
47	имеем в виду	1	1
48	в самом деле	2	1
49	в том же	1	1
50	же время он	1	1
51	по себе они	1	1
52	в зависимости от	1	1
53	сами по себе	2	1
54	в той же	1	1
55	может иметь место	1	1
56	как мы увидим	1	1
57	отнюдь не предполагает	2	1
58	нет ничего что	1	1
59	включает в себя	1	1
60	ничего что не	1	1
61	и тогда когда	1	1
62	в данном случае	2	1
63	в особенности же	1	1
64	но в то	2	1
65	смысле этого слова	1	1
66	я и другого	2	1
67	все без исключения	1	1
68	не могут быть	2	1
69	и как бы	1	1
70	же время оно	1	1
71	в нашем случае	3	1
72	отца к сыну	1	1
73	его то есть	1	1
74	во всяком случае	1	1
75	было и не	1	1
76	и все же	2	1
77	от отца к	1	1
78	место в событии	1	1
79	в свою очередь	1	1
80	в этом ряду	2	1
81	о том что	3	1
82	никогда не бывает	1	1
83	и в самом	1	1
84	мы увидим далее	1	1
85	но отнюдь не	1	1
86	во времени и	3	1
87	или во всяком	1	1
88	мы имеем в	1	1
89	тогда когда оно	1	1
90	время жизни героев	1	1
91	друг с другом	1	1
92	дело не только	1	1
93	времени и пространстве	4	1
94	того чтобы быть	1	1
95	здесь как и	1	1
