N	3gram	Tiupa_Narr_1	Narrotol
1	в том что	5	8
2	с одной стороны	1	7
3	о том что	2	6
4	по отношению к	3	6
5	в том числе	1	6
6	в отличие от	2	5
7	не может быть	4	5
8	времени и пространстве	6	5
9	том числе и	1	4
10	в данном случае	8	4
11	к тому же	5	4
12	с другой стороны	1	4
13	той или иной	4	4
14	но все же	1	4
15	можно сказать что	2	4
16	во времени и	6	4
17	состоит в том	2	3
18	на себя внимание	3	3
19	надежда на будущее	1	3
20	вдруг за границу	1	3
21	бы то ни	1	3
22	в этом отношении	3	3
23	как будто он	1	3
24	и племянницы в	3	3
25	обращает на себя	3	3
26	то ни было	1	3
27	захотелось вдруг за	1	3
28	тем не менее	3	3
29	матери и племянницы	3	3
30	и тем самым	4	3
31	то же время	4	3
32	в свою очередь	2	3
33	в то же	4	3
34	жизнь бы отдал	1	3
35	его событийной полноте	1	2
36	всеми кроме матери	1	2
37	низких потолков и	1	2
38	что иное как	1	2
39	богу не молился	1	2
40	присутствия в мире	2	2
41	приехав к себе	1	2
42	в той или	1	2
43	эпизоде первого цикла	2	2
44	мы имеем дело	2	2
45	будущее какая была	1	2
46	а не в	1	2
47	не будет продолжаться	1	2
48	более или менее	1	2
49	волнует все та	1	2
50	форме несобственно-прямой речи	2	2
51	подобно тому как	3	2
52	таким каким он	2	2
53	четверг служил он	1	2
54	он обедню в	1	2
55	так и не	2	2
56	полю быстро весело	2	2
57	в рассказе о	2	2
58	все та же	1	2
59	художественного высказывания в	1	2
60	с точки зрения	1	2
61	бог знает куда	1	2
62	было без четверти	1	2
63	сами по себе	2	2
64	идет по полю	2	2
65	на будущее какая	1	2
66	же надежда на	1	2
67	свидетель и судия	3	2
68	не отличается от	1	2
69	перед нами не	2	2
70	точно так же	1	2
71	разделся и лег	1	2
72	не то что	1	2
73	обедню в соборе	1	2
74	лег даже богу	1	2
75	в значительной степени	1	2
76	будто он прямо	1	2
77	когда служба кончилась	1	2
78	та же надежда	1	2
79	оказывается всего лишь	1	2
80	быстро весело постукивая	2	2
81	в первом случае	3	2
82	приказал долго жить	1	2
83	не только в	6	2
84	в повествуемом мире	1	2
85	и про чертог	2	2
86	в четверг служил	1	2
87	по полю быстро	2	2
88	в известном смысле	2	2
89	протяжении этого эпизода	2	2
90	незначительнее всех что	1	2
91	на протяжении этого	2	2
92	как и на	1	2
93	в связи с	2	2
94	о приезде матери	1	2
95	теперь как птица	3	2
96	при всей своей	1	2
97	служил он обедню	1	2
98	весело постукивая палочкой	2	2
99	даже богу не	1	2
100	высказывания в частности	1	2
101	в его событийной	1	2
102	а во втором	2	2
103	встречается в качестве	1	2
104	в третьем эпизоде	2	2
105	в конечном счете	1	2
106	без четверти двенадцать	1	2
107	когда он укрывался	1	2
108	речь идет о	3	2
109	и лег даже	1	2
110	по сути дела	1	2
111	свободен теперь как	3	2
112	ничего не понимал	1	2
113	не сводится к	2	2
114	четверти двенадцать приехав	1	2
115	прямо родился монахом	1	2
116	он прямо родился	1	2
117	служба кончилась было	1	2
118	в тексте архиерея	2	2
119	он укрывался одеялом	1	2
120	на другой день	3	2
121	двенадцать приехав к	1	2
122	бы отдал но	1	2
123	кончилась было без	1	2
124	как организующий принцип	1	2
125	вообще чувствовала себя	1	1
126	собор когда служба	1	1
127	аксиологических расхождений между	1	1
128	возраст пока еще	1	1
129	умирающий герой рассказа	1	1
130	сисой эпизод образован	1	1
131	искренне удовлетворение как	1	1
132	пение монахов о	1	1
133	а таким каким	1	1
134	четкая граница повествовательного	1	1
135	идет быстро весело	1	1
136	подлинное имя которого	1	1
137	не выделенная графически	1	1
138	эпизоде последней главы	1	1
139	нежна и чутка	1	1
140	понимает смысла тех	1	1
141	архиереях и пережил	1	1
142	с отцом сисоем	1	1
143	эпизода усиливается явлением	1	1
144	нежданного явления девочки	1	1
145	архиерей садился в	1	1
146	нарастание семантического параллелизма	1	1
147	нового эпизода достаточно	1	1
148	семантическая опустошенность этих	1	1
149	собравшихся в церкви	1	1
150	рациональной намеренности этого	1	1
151	этого эпизода карета	1	1
152	в организации кадров	1	1
153	братьев и сестер	1	1
154	текста выделенный в	1	1
155	и когда преосвященный	1	1
156	лица и детских	1	1
157	даже чудотворное рождение	1	1
158	строго отграниченная система	1	1
159	но и третий	1	1
160	этот итеративный по	1	1
161	своего дядю преосвященного	1	1
162	фактами и не	1	1
163	то в его	1	1
164	безотносительными рядоположными фактами	1	1
165	ему владыка преосвященнейший	1	1
166	и того же	1	1
167	празднества после смерти	1	1
168	всю ночь а	1	1
169	россию после восьми	1	1
170	павлушей их сближает	1	1
171	ментальному взору читателя	1	1
172	эффект уподобления чуду	1	1
173	как птица это	1	1
174	круг начальные эпизоды	1	1
175	отнюдь не разрушают	1	1
176	в эпизоде то	1	1
177	вторая дюжина с	1	1
178	о смерти очередного	1	1
179	роли преосвященного петра	1	1
180	окончательно ослабевает утрачивает	1	1
181	же переносом во	1	1
182	то катя не	1	1
183	тексте архиерея стилистическая	1	1
184	действий героя явственно	1	1
185	эпизодов вновь как	1	1
186	эпизоде герою сообщают	1	1
187	смертью архиерея обратно	1	1
188	реверсивного преображения служит	1	1
189	эпизод в полном	1	1
190	в присутствии преосвященного	1	1
191	чудотворной иконой мотив	1	1
