N	2gram	Propp_Morf_1	EvropaiE
1	и в	13	37
2	в пределах	3	25
3	точки зрения	2	23
4	что в	8	21
5	не только	4	18
6	с точки	2	17
7	в то	3	16
8	то же	7	15
9	хотя бы	4	15
10	но в	2	14
11	в качестве	5	14
12	но и	4	14
13	и не	12	14
14	в этом	14	12
15	в области	1	11
16	в том	6	11
17	так и	6	10
18	в себе	1	9
19	только в	2	9
20	прежде всего	9	9
21	все более	1	9
22	не может	14	9
23	так же	3	9
24	т е	21	9
25	было бы	3	8
26	в своей	1	8
27	к тому	4	8
28	между тем	5	8
29	с одной	1	8
30	одной стороны	1	8
31	также и	4	7
32	а также	4	7
33	того что	3	7
34	так как	16	7
35	с другой	8	7
36	как и	3	7
37	по своему	2	7
38	между прочим	1	7
39	может быть	52	6
40	и на	1	6
41	во всех	4	6
42	на то	2	6
43	том что	4	6
44	того чтобы	3	6
45	вслед за	5	6
46	вовсе не	4	6
47	для того	2	6
48	и даже	1	6
49	как бы	3	6
50	с этой	1	6
51	то что	8	6
52	но не	4	5
53	не в	3	5
54	в россии	2	5
55	и по	2	5
56	но если	7	5
57	как мы	6	5
58	одной из	1	5
59	в виде	2	5
60	со стороны	3	5
61	в частности	2	5
62	в течение	1	5
63	в той	1	5
64	то в	3	4
65	мы не	8	4
66	вопрос о	7	4
67	независимо от	3	4
68	во многих	1	4
69	то ни	3	4
70	того или	1	4
71	несмотря на	4	4
72	чем в	1	4
73	лежат в	1	4
74	даже в	1	4
75	не имеет	2	4
76	и притом	1	4
77	иными словами	1	4
78	к ней	1	4
79	бы то	3	4
80	можно сказать	2	4
81	ни было	2	4
82	не на	2	4
83	как это	3	4
84	для нас	2	4
85	сказать что	2	4
86	в каком	2	4
87	новой зеландии	1	3
88	и со	1	3
89	как в	3	3
90	и к	4	3
91	представляет собой	17	3
92	но на	1	3
93	вообще не	1	3
94	мы можем	2	3
95	не будет	1	3
96	не дает	1	3
97	большинстве случаев	3	3
98	и тем	2	3
99	в них	1	3
100	с тем	2	3
101	и некоторые	1	3
102	она в	2	3
103	в которых	2	3
104	их отношении	1	3
105	можно ли	1	3
106	дело в	1	3
107	нельзя ли	1	3
108	потому что	3	3
109	с другом	1	3
110	всех случаях	1	3
111	тем в	1	3
112	можно было	2	3
113	о том	2	3
114	как было	1	3
115	что и	7	3
116	всяком случае	2	3
117	в данной	1	3
118	из них	3	3
119	тем что	4	3
120	этом отношении	1	3
121	там где	5	3
122	в данном	1	3
123	друг с	1	3
124	является ли	1	3
125	не является	3	3
126	известной степени	1	3
127	и для	2	3
128	в результате	7	3
129	не более	1	3
130	обстоит дело	1	3
131	на своем	1	3
132	это так	2	3
133	ее в	1	3
134	как на	1	3
135	в таком	1	3
136	во всяком	2	3
137	и то	1	2
138	что эти	2	2
139	ведь и	1	2
140	должна быть	1	2
141	и этот	1	2
142	силы как	1	2
143	которое в	1	2
144	между собой	4	2
145	он сам	1	2
146	произошло в	1	2
147	но как	2	2
148	как их	2	2
149	более чем	1	2
150	с этим	11	2
151	помнить что	1	2
152	хотя и	3	2
153	целый ряд	3	2
154	тому или	1	2
155	и как	5	2
156	что это	1	2
157	в этой	2	2
158	главным образом	4	2
159	он не	3	2
160	прочим и	1	2
161	в силу	1	2
162	таким образом	21	2
163	это значит	1	2
164	и с	1	2
165	с другими	1	2
166	все другие	1	2
167	например с	2	2
168	и рядом	1	2
169	далеко не	5	2
170	дело идет	1	2
171	видим как	1	2
172	такой же	1	2
173	в этих	13	2
174	или точнее	1	2
175	и более	1	2
176	она не	2	2
177	ними и	1	2
178	вопрос не	2	2
179	как будто	2	2
180	не могут	4	2
181	могут быть	16	2
182	случаях когда	2	2
183	пределах этих	1	2
184	утверждать что	3	2
185	как не	1	2
186	данном случае	1	2
187	нужно заметить	1	2
188	мог бы	1	2
189	если бы	2	2
190	и что	2	2
191	кажется что	1	2
192	к нему	3	2
193	во втором	3	2
194	в его	1	2
195	во всей	1	2
196	мы должны	3	2
197	но с	1	2
198	этот вопрос	2	2
199	в какой	3	2
200	не можем	1	2
201	море и	1	2
202	в большинстве	3	2
203	если в	5	2
204	при помощи	9	2
205	в одном	1	2
206	заметить что	8	2
207	в других	3	2
208	другой и	1	2
209	а именно	1	2
210	как же	2	2
211	в некоторых	3	2
212	на основании	1	2
213	на этот	1	2
214	а не	11	2
215	не означает	1	2
216	нужно иметь	1	2
217	можно утверждать	1	2
218	относятся к	2	2
219	или по	2	2
220	не дают	1	2
221	наряду с	5	2
222	что же	2	2
223	совершенно очевидно	1	2
224	и таким	2	2
225	с большой	1	2
226	или в	4	2
227	то не	1	2
228	и все	1	2
229	и наконец	1	2
230	же в	2	2
231	в другой	1	2
232	мы видим	13	2
233	а в	7	2
234	не есть	1	2
235	имеет в	1	2
236	между ними	1	2
237	другой стороны	4	2
238	нужно помнить	1	1
239	ту же	2	1
240	вопрос мы	1	1
241	и т	41	1
242	отдельных случаев	1	1
243	например в	2	1
244	до него	1	1
245	связана с	3	1
246	в тех	6	1
247	не делает	1	1
248	получает в	1	1
249	некоторые из	1	1
250	тех же	4	1
251	многих отношениях	1	1
252	которую они	1	1
253	и до	1	1
254	противном случае	1	1
255	на западе	1	1
256	всем ее	1	1
257	или ее	1	1
258	все ли	2	1
259	или наоборот	1	1
260	большую роль	1	1
261	ответить на	1	1
262	есть нечто	3	1
263	время как	3	1
264	говорить о	3	1
265	а для	1	1
266	мы получаем	2	1
