N	3gram	Bakhtin_Fr_1	KFilosof
1	по отношению к	1	21
2	не может быть	1	11
3	с точки зрения	3	10
4	в его целом	1	9
5	может быть только	1	6
6	на самом деле	2	3
7	имеем в виду	1	2
8	на первом плане	1	2
9	то или иное	1	2
10	во всех этих	2	2
11	то же время	1	2
12	могла бы быть	1	2
13	той или иной	5	2
14	в то же	1	2
15	в том что	6	2
16	но прежде всего	1	1
17	это уже не	3	1
18	литературе о нем	1	1
19	нет и не	1	1
20	здесь одновременно и	1	1
21	и ни к	1	1
22	его жизни в	1	1
23	даны здесь в	1	1
24	и может быть	1	1
25	и новое и	1	1
26	в настоящее время	1	1
27	в средние века	4	1
28	средних веков и	2	1
29	но все это	1	1
30	с ним в	1	1
31	в литературе о	1	1
32	его просто не	1	1
33	жизни и культуры	1	1
34	но это не	1	1
35	в основе своей	2	1
36	в нем в	2	1
37	может быть правильно	1	1
38	нет места для	1	1
39	это и не	1	1
40	все это в	1	1
41	мы дадим здесь	1	1
42	для нас своим	1	1
43	только в единстве	1	1
44	остановимся еще на	1	1
45	не потому что	1	1
46	но в то	1	1
47	лежит в основе	1	1
48	в себя и	1	1
49	в ней в	1	1
50	в известном смысле	1	1
51	дело в том	2	1
52	во всяком случае	1	1
53	и т.п но	1	1
54	для того чтобы	1	1
55	средневековых мистерий в	1	1
56	и пр и	1	1
57	мир в его	2	1
58	в нем нет	1	1
59	все это только	1	1
60	в значительной степени	2	1
61	никогда не может	1	1
62	жизни и смерти	1	1
63	до конца и	1	1
64	включает в себя	1	1
65	но нет и	1	1
66	и не знает	1	1
67	и все остальные	1	1
68	не может стать	1	1
69	в виду его	1	1
70	как бы ни	2	1
71	во второй половине	2	1
72	в большинстве случаев	2	1
73	что тем самым	1	1
74	и в нем	1	1
75	во всех его	2	1
