N	3gram	Ircho_Kome_2	OGranits
1	с точки зрения	1	5
2	не может быть	1	4
3	до тех пор	3	4
4	тех пор пока	1	3
5	по отношению к	3	3
6	в самом деле	1	2
7	с одной стороны	2	2
8	с другой стороны	1	2
9	того или иного	1	2
10	с самого начала	1	2
11	в том что	5	2
12	греции и в	1	1
13	только потому что	2	1
14	само собой разумеется	1	1
15	в чем же	1	1
16	более или менее	1	1
17	еще тем что	1	1
18	в отличие от	2	1
19	не было бы	1	1
20	то что в	1	1
21	можно было бы	2	1
22	вместе с ними	1	1
23	для того чтобы	4	1
24	если говорить о	1	1
25	тем не менее	1	1
26	и к тому	1	1
27	втором году жизни	1	1
28	в связи с	3	1
29	чуть ли не	2	1
30	само по себе	1	1
31	так и для	1	1
32	и особенно его	1	1
33	в тех случаях	1	1
34	но столь же	1	1
35	только в связи	1	1
36	то же время	3	1
37	с этим же	1	1
38	хотя бы в	1	1
39	но не менее	1	1
40	тех случаях когда	1	1
41	в то же	3	1
42	к тому что	2	1
43	своего времени в	1	1
