N	2gram	Berdyaev_M_2	Narrotol
1	не только	18	32
2	может быть	21	25
3	но и	15	23
4	и не	18	20
5	и в	46	19
6	в том	3	18
7	в этом	20	17
8	не в	9	14
9	том что	4	14
10	а не	13	12
11	своего рода	1	12
12	а в	2	11
13	то что	5	11
14	не может	15	10
15	точки зрения	2	10
16	так и	4	9
17	в его	5	9
18	в мире	7	9
19	в себе	10	8
20	с другой	1	8
21	как и	13	7
22	к тому	5	7
23	такого рода	2	7
24	по отношению	2	7
25	а также	1	7
26	как в	7	7
27	на протяжении	1	6
28	отношению к	2	6
29	в той	1	6
30	но в	10	6
31	о том	3	6
32	то в	2	6
33	что он	7	6
34	с его	4	6
35	к нему	2	5
36	по себе	2	5
37	мира в	1	5
38	между двумя	1	5
39	и его	5	5
40	не все	1	5
41	уже не	4	5
42	в этой	7	5
43	себя в	4	5
44	в основе	2	5
45	к себе	2	5
46	или иной	2	5
47	и как	1	5
48	не мог	3	4
49	и с	3	4
50	все те	1	4
51	отличается от	1	4
52	прежде всего	12	4
53	вслед за	1	4
54	хотя бы	7	4
55	те же	5	4
56	но все	1	4
57	же не	1	4
58	то же	5	4
59	что не	2	4
60	да и	2	4
61	в церкви	2	4
62	в пространстве	1	4
63	только в	3	4
64	и тем	1	4
65	у него	22	4
66	связи с	2	4
67	было бы	1	4
68	за границей	1	4
69	как бы	8	4
70	сказать что	3	4
71	той или	1	4
72	в нем	22	4
73	во втором	1	4
74	может не	1	3
75	это и	3	3
76	жизни и	6	3
77	не есть	13	3
78	что они	3	3
79	не будет	3	3
80	в прошлом	1	3
81	и самого	3	3
82	если в	1	3
83	и он	11	3
84	по своей	3	3
85	жизни в	3	3
86	что в	4	3
87	в ее	1	3
88	между тем	2	3
89	никогда не	18	3
90	хотя и	2	3
91	не с	1	3
92	мог бы	1	3
93	в сущности	2	3
94	что это	6	3
95	ни в	3	3
96	один из	5	3
97	тем что	3	3
98	не о	2	3
99	а с	1	3
100	же как	3	3
101	не существует	3	3
102	когда он	1	3
103	этом отношении	1	3
104	и на	3	3
105	он не	10	3
106	в ней	11	3
107	на себя	1	3
108	уже в	2	3
109	как будто	2	3
110	в свою	4	3
111	всего лишь	1	2
112	все эти	1	2
113	жизни а	2	2
114	приводит к	1	2
115	в значительной	1	2
116	оно не	2	2
117	должна быть	1	2
118	от всех	1	2
119	говорить о	1	2
120	она определяется	1	2
121	не всегда	2	2
122	что нет	3	2
123	и тот	2	2
124	так же	6	2
125	и для	7	2
126	для кого-то	1	2
127	и ее	1	2
128	личности в	2	2
129	не было	11	2
130	и все	5	2
131	есть в	3	2
132	наконец в	1	2
133	в культуре	1	2
134	независимо от	1	2
135	к которому	3	2
136	иное как	3	2
137	нет у	3	2
138	бы не	2	2
139	они в	1	2
140	та же	10	2
141	есть всегда	1	2
142	было в	3	2
143	к самому	2	2
144	его в	3	2
145	и только	1	2
146	отношение к	8	2
147	для него	18	2
148	между ними	1	2
149	отношения к	2	2
150	это все	2	2
151	первые два	1	2
152	нет и	1	2
153	значительной степени	1	2
154	не от	2	2
155	что иное	3	2
156	с точки	1	2
157	он сам	6	2
158	они не	4	2
159	с человеком	1	2
160	что у	4	2
161	что на	1	2
162	мира и	1	2
163	во второй	1	2
164	и потому	7	2
165	ничего не	2	2
166	как к	2	2
167	о чем	1	2
168	его личности	1	2
169	в пределах	1	2
170	этого слова	1	2
171	к другому	3	2
172	приходит к	2	2
173	не что	3	2
174	себя и	3	2
175	она не	8	2
176	роль в	1	2
177	у нее	1	2
178	не случайно	2	2
179	но без	1	2
180	подобно тому	2	2
181	всех его	1	2
182	не имеет	4	2
183	в какой	1	2
184	самом деле	1	2
185	это не	5	2
186	другом и	1	2
187	все та	1	2
188	не то	1	2
189	тому как	2	2
190	в будущем	1	2
191	можно было	2	2
192	человека в	14	2
193	быть может	2	2
194	в своем	8	2
195	со словами	1	2
196	он уже	2	2
197	что случилось	1	1
198	и там	6	1
199	в чистом	1	1
200	образа и	2	1
201	при такой	1	1
202	была в	1	1
203	и здесь	6	1
204	это за	1	1
205	на его	2	1
206	не знает	9	1
207	но она	2	1
208	в свое	1	1
209	это лишь	2	1
210	в другом	1	1
211	входит в	1	1
212	достоевского и	2	1
213	прошел через	1	1
214	личность но	1	1
215	так называемого	1	1
216	место в	2	1
217	к единому	1	1
218	но он	11	1
219	в вечности	1	1
220	на природу	2	1
221	свет в	1	1
222	от этого	2	1
223	в плане	1	1
224	и который	1	1
225	устремлена к	1	1
226	к концу	1	1
227	с которым	3	1
228	состояние и	1	1
229	для себя	1	1
230	мнения не	1	1
231	с прошлым	1	1
232	человеческого существа	2	1
233	как отец	1	1
234	кто не	1	1
235	к этим	1	1
236	людей уже	1	1
237	для всего	1	1
238	не могли	1	1
239	но по	1	1
240	представляется не	1	1
241	в смысл	2	1
242	и чрезвычайно	1	1
243	чтобы сделать	1	1
244	не оставляет	1	1
245	чувствовала себя	1	1
246	связь с	1	1
247	не по	1	1
248	христа в	1	1
249	обнаруживается в	1	1
250	сих пор	3	1
251	из опыта	1	1
252	с ним	3	1
253	процесса не	1	1
254	той мере	1	1
255	видит в	1	1
256	и во	3	1
257	человеческая жизнь	2	1
258	мы не	1	1
259	не так	3	1
260	в конце	5	1
261	до сих	3	1
262	человек не	7	1
263	не сразу	1	1
264	во всех	2	1
265	он существует	1	1
266	характерно для	1	1
267	об этом	1	1
268	бы он	1	1
269	к высшему	1	1
270	как то	2	1
271	со всеми	1	1
272	известного рода	1	1
273	до известной	1	1
274	мире не	1	1
275	совсем не	5	1
276	к собственной	1	1
277	там и	6	1
278	отношением к	2	1
279	его и	1	1
280	в мировом	1	1
281	принадлежат к	3	1
282	от тех	1	1
283	на что	1	1
284	есть не	5	1
285	не знают	1	1
286	например о	1	1
287	нем самом	1	1
288	и перед	3	1
289	из жизни	1	1
290	с этой	1	1
291	того что	6	1
292	потому что	12	1
293	церкви и	1	1
294	а лишь	2	1
295	культуры в	1	1
296	мир в	1	1
297	на путь	4	1
298	как не	1	1
299	для такого	1	1
300	своего другого	1	1
301	что ни	1	1
302	было не	2	1
303	мысли о	1	1
304	человеческого сознания	1	1
305	национальной и	1	1
306	мира с	1	1
307	как теперь	1	1
308	сознания в	1	1
309	может существовать	1	1
310	он свободен	1	1
311	в россии	3	1
312	жить в	1	1
313	две стороны	1	1
314	разных местах	1	1
315	с природой	1	1
316	в новом	1	1
317	и сам	1	1
318	жизни не	2	1
319	и прежде	1	1
320	от начала	1	1
321	и более	1	1
322	и ему	1	1
323	он может	1	1
324	себе а	1	1
325	в уста	1	1
326	культуры с	1	1
327	на самом	1	1
328	они и	4	1
329	остается как	1	1
330	есть прежде	5	1
331	никто не	1	1
332	все время	2	1
333	в целом	1	1
334	что если	1	1
335	у нас	11	1
336	искать в	1	1
337	словами о	1	1
338	есть то	1	1
339	у всех	2	1
340	человек и	2	1
341	а за	2	1
342	лишь в	2	1
343	тот же	2	1
344	что существует	1	1
345	что было	3	1
346	в чем	3	1
347	бытия и	1	1
348	и от	3	1
349	к ней	2	1
350	от его	2	1
351	она неизбежно	1	1
352	которого нет	1	1
353	х годов	1	1
354	последствия в	1	1
355	но на	2	1
356	того же	1	1
357	не дает	1	1
358	человека к	8	1
359	о любви	1	1
360	мы увидим	2	1
361	к своему	2	1
362	тотчас же	1	1
363	мира но	1	1
364	он думает	1	1
365	определяется не	1	1
366	всю свою	1	1
367	и народ	1	1
368	начала и	1	1
369	за всех	1	1
370	и быть	1	1
371	мыслится как	1	1
372	и отсутствие	1	1
373	христе и	1	1
374	на мир	1	1
375	лишь для	1	1
376	и над	1	1
377	жизни с	1	1
378	который имел	1	1
379	нас нет	1	1
380	направленной на	2	1
381	человеческой жизни	2	1
382	и за	2	1
383	конца в	1	1
384	любви и	3	1
385	что все	5	1
386	по поводу	1	1
387	ни один	1	1
388	по своему	1	1
389	в них	3	1
390	а о	1	1
391	человека как	1	1
392	сам по	2	1
393	жизни то	1	1
394	только потому	1	1
395	в котором	1	1
396	в церковь	1	1
397	из нее	1	1
398	голос самого	1	1
399	с таким	2	1
400	формы в	1	1
401	мере в	1	1
402	от того	3	1
403	и делает	1	1
404	в действительности	2	1
405	в самом	5	1
406	есть начало	1	1
407	что и	4	1
408	не могут	1	1
409	живет в	1	1
410	распадается на	1	1
411	равно что	2	1
412	о других	1	1
413	в меру	1	1
414	же о	1	1
415	истории не	1	1
416	другого в	2	1
417	есть уже	4	1
418	на этом	2	1
419	хоть и	1	1
420	с отцом	1	1
421	нельзя было	2	1
422	как у	2	1
423	их в	1	1
424	на земле	8	1
425	нет ничего	3	1
426	на них	1	1
427	отношений между	1	1
428	быть и	2	1
429	всякий раз	1	1
430	которая его	1	1
431	когда в	1	1
432	он видит	1	1
433	нас в	2	1
434	также и	4	1
435	в судьбе	2	1
436	и к	7	1
437	в развитии	1	1
438	признать что	1	1
439	страдает от	1	1
440	христианской культуры	1	1
441	все равно	3	1
442	того кому	1	1
443	не бывает	3	1
444	и у	1	1
445	и всю	1	1
446	а от	2	1
447	было для	2	1
448	которая не	1	1
449	перед ним	4	1
450	и есть	8	1
451	с такой	1	1
452	а может	1	1
453	в финале	1	1
454	в которых	1	1
455	представляется нам	1	1
456	и то	1	1
457	которых он	1	1
458	своей природе	1	1
459	и уже	1	1
460	в самой	1	1
461	если все	1	1
462	никогда и	1	1
463	не быть	1	1
464	все еще	1	1
465	жизни героя	1	1
466	а еще	1	1
467	чтобы заставить	1	1
468	легенда о	1	1
469	ни на	1	1
470	если бы	3	1
471	и эта	2	1
472	мысль о	2	1
473	ни одного	2	1
474	как о	1	1
475	и тогда	3	1
476	к одному	1	1
477	могли бы	1	1
478	протяжении всего	1	1
479	но также	1	1
480	на большую	1	1
481	он стоит	1	1
482	в другое	1	1
483	но это	8	1
484	человека есть	3	1
485	в русской	6	1
486	тьмы и	1	1
