N	2gram	Medvedev_V_1	Hudozhes
1	в качестве	11	19
2	то есть	1	18
3	и не	19	16
4	в том	15	15
5	и в	26	15
6	не только	25	15
7	в частности	11	13
8	может быть	22	13
9	и его	6	12
10	а в	3	12
11	в себе	6	11
12	в этом	26	11
13	но не	2	11
14	отношению к	7	10
15	так и	5	10
16	но и	10	10
17	то же	10	10
18	по отношению	7	10
19	а не	7	10
20	как бы	5	10
21	точки зрения	3	9
22	в его	14	9
23	сводится к	3	8
24	в искусстве	6	7
25	в то	6	7
26	с другой	11	7
27	но в	2	7
28	или иной	2	7
29	приводит к	5	6
30	же время	5	6
31	не может	17	6
32	что в	10	6
33	не в	6	6
34	в ее	4	6
35	отношение к	1	6
36	в основе	1	6
37	с его	3	6
38	том что	8	6
39	с ее	1	5
40	можно сказать	4	5
41	в нем	6	5
42	художественного творчества	18	5
43	в их	5	5
44	ни в	1	5
45	того что	3	5
46	между ними	3	5
47	то что	6	5
48	героя и	1	5
49	уже не	1	5
50	или менее	6	5
51	другой стороны	8	5
52	могут быть	5	5
53	в самом	4	5
54	художественной деятельности	2	5
55	а также	1	5
56	только в	7	5
57	более или	6	5
58	той или	1	5
59	в форме	3	4
60	еще не	2	4
61	во времени	1	4
62	в другом	2	4
63	входит в	1	4
64	хотя и	2	4
65	говорить о	2	4
66	прежде всего	13	4
67	личности в	1	4
68	как это	12	4
69	в своей	4	4
70	а только	1	4
71	например в	3	4
72	для него	8	4
73	между тем	5	4
74	к тому	4	4
75	сознания в	1	4
76	в этих	1	4
77	сказать что	5	4
78	в слове	3	4
79	не столько	2	4
80	в ходе	1	4
81	он не	2	4
82	и то	1	4
83	мы имеем	3	4
84	и как	3	4
85	всего лишь	3	3
86	в стихотворении	1	3
87	говорит и	8	3
88	одно и	1	3
89	как и	7	3
90	в которой	2	3
91	но он	1	3
92	в противоположность	3	3
93	искусства это	1	3
94	и для	2	3
95	и ее	4	3
96	не менее	2	3
97	таким образом	31	3
98	как раз	3	3
99	в художественном	10	3
100	того или	2	3
101	его в	3	3
102	читателя зрителя	1	3
103	этом смысле	1	3
104	потому что	1	3
105	в таком	1	3
106	что он	4	3
107	произведения как	5	3
108	в той	1	3
109	это не	7	3
110	и к	3	3
111	в целом	4	3
112	к его	2	3
113	конечном счете	5	3
114	лишь в	2	3
115	смешивать с	1	3
116	творческого акта	1	3
117	в конечном	7	3
118	в воображении	2	3
119	художественного целого	1	3
