N	2gram	Vinokur_Ku_3	ViktorSh
1	и в	23	2
2	том что	11	2
3	в том	22	2
4	и только	3	1
5	крайней мере	1	1
6	тем более	5	1
7	не стоило	1	1
8	в другом	1	1
9	хотя бы	9	1
10	и не	10	1
11	связаны и	1	1
12	все время	1	1
13	и его	1	1
14	потому что	12	1
15	не даром	1	1
16	я не	5	1
17	более чем	2	1
18	сводится к	1	1
19	и то	1	1
20	же с	1	1
21	хочу сказать	1	1
22	впрочем не	1	1
23	а отсюда	1	1
24	поэтического творчества	1	1
25	самом деле	14	1
26	другом месте	1	1
27	к созданию	1	1
28	все это	2	1
29	совершенно ясно	2	1
30	по поводу	3	1
31	именно в	3	1
32	главным образом	2	1
33	по своим	1	1
34	в теории	1	1
35	статей в	1	1
36	в их	6	1
37	как же	3	1
38	собственно и	1	1
39	с большой	1	1
40	в частности	2	1
41	так в	2	1
42	речи и	1	1
43	стоит на	1	1
44	столь же	4	1
45	время в	3	1
46	же все	1	1
47	говоря о	1	1
48	в которых	3	1
49	деле как	1	1
50	в самом	13	1
51	стоило бы	1	1
52	дело именно	1	1
53	что имеется	1	1
54	только в	6	1
55	то же	6	1
56	ясно что	4	1
57	так как	9	1
58	далеко не	5	1
59	и составляет	1	1
60	что слово	3	1
61	бы уже	2	1
62	не будем	5	1
63	другое дело	1	1
64	но это	5	1
65	что язык	1	1
66	без знания	1	1
67	в этом	16	1
68	имеется в	1	1
69	по крайней	1	1
70	от общего	1	1
71	а только	1	1
72	по существу	3	1
73	то я	1	1
74	к этому	1	1
