N	2gram	Tiupa_Hudo_1	SlovoVZh
1	не может	7	16
2	может быть	14	14
3	точки зрения	10	14
4	как бы	9	13
5	и его	12	13
6	таким образом	3	12
7	и в	19	12
8	по отношению	9	11
9	в нашем	2	11
10	отношению к	9	11
11	и не	15	10
12	если бы	3	9
13	так как	1	9
14	прежде всего	4	8
15	художественного произведения	3	7
16	нашем примере	1	7
17	сказать что	4	7
18	в том	18	6
19	только в	5	6
20	при этом	13	6
21	в нем	5	6
22	слова и	2	6
23	и героя	1	6
24	то же	10	5
25	в виду	5	5
26	можно сказать	5	5
27	отнюдь не	2	5
28	как в	2	5
29	но в	7	5
30	и др	2	5
31	в жизни	2	5
32	героя и	5	5
33	а не	9	5
34	художественной формы	1	5
35	как и	2	5
36	том что	8	5
37	к предмету	1	5
38	никогда не	2	5
39	то что	4	5
40	к нему	3	4
41	за пределы	2	4
42	к автору	1	4
43	в литературе	1	4
44	в этом	11	4
45	в самом	5	4
46	уже не	4	4
47	не только	16	4
48	ни было	1	4
49	отношение к	5	4
50	так и	11	4
51	с другой	7	4
52	что не	1	4
53	высказывания как	1	4
54	не в	7	4
55	его в	2	4
56	дело в	1	4
57	и является	1	4
58	и к	3	4
59	жизни и	1	4
60	и на	2	4
61	художественном произведении	1	3
62	здесь не	2	3
63	в котором	1	3
64	в пределах	3	3
65	еще не	3	3
66	с героем	1	3
67	о том	2	3
68	бы то	1	3
69	но и	10	3
70	между тем	4	3
71	нуждается в	1	3
72	того что	4	3
73	в художественном	4	3
74	быть и	2	3
75	имеет в	1	3
76	и ее	3	3
77	все эти	2	3
78	в себе	9	3
79	в поэзии	1	3
80	слово в	1	3
81	к герою	2	3
82	для него	4	3
83	он должен	3	3
84	внутренней речи	14	3
85	и по	2	3
86	то ни	1	3
87	точек зрения	1	3
88	ни в	5	3
89	и пр	1	3
90	в них	2	3
91	автору и	1	3
92	в своей	5	3
93	художественного творчества	4	3
94	так же	2	3
95	в такой	1	3
96	тем не	3	3
97	этой точки	1	3
98	как к	2	3
99	и более	2	3
100	из этого	2	3
101	по себе	2	3
102	художественное произведение	1	3
103	не менее	3	3
104	все это	2	3
105	но для	1	3
106	и для	2	3
107	сколько бы	1	3
108	с ним	2	3
109	отношении к	2	3
110	в каком	2	3
111	значения и	2	2
112	и то	4	2
113	как это	5	2
114	они ни	1	2
115	в себя	2	2
116	действия и	1	2
117	и совершенно	1	2
118	едва ли	1	2
119	те же	1	2
120	мы имеем	6	2
121	совпадает с	2	2
122	истории литературы	2	2
123	и здесь	1	2
124	искусства и	1	2
125	возможна только	1	2
126	настоящее время	1	2
127	с его	6	2
128	но мы	1	2
129	и что	3	2
130	между собой	2	2
131	в чем	2	2
132	жизни если	1	2
133	тем как	1	2
134	в данном	4	2
135	для других	1	2
136	в его	9	2
137	что и	2	2
138	подчеркнуть что	1	2
139	в форме	4	2
140	в своем	2	2
141	жизненной ситуации	1	2
142	в формах	2	2
143	как уже	2	2
144	дело с	1	2
145	в какой	2	2
146	и потому	2	2
147	сливается с	1	2
148	в настоящее	1	2
149	бы не	1	2
150	с одной	2	2
151	тому же	1	2
152	и те	1	2
