N	3gram	Vygotskiy__4	formyVre
1	то же время	1	9
2	как мы уже	1	8
3	и т п	3	8
4	и как раз	1	6
5	в то же	1	6
6	и в то	1	5
7	для того чтобы	19	5
8	как раз в	4	4
9	по отношению к	1	3
10	до сих пор	3	3
11	мы уже говорили	1	3
12	не может быть	1	3
13	в то время	2	3
14	и в сущности	1	2
15	прямо сказать что	1	2
16	дело в том	1	2
17	равно как и	1	2
18	также и в	1	2
19	же как и	1	2
20	с точки зрения	4	2
21	но по существу	1	2
22	вместе с тем	2	2
23	и у него	1	2
24	что в таком	1	2
25	и в частности	2	2
26	то время как	2	2
27	так же как	3	2
28	не только в	1	2
29	с одной стороны	3	2
30	не для того	3	2
31	друг к другу	1	2
32	в точном смысле	1	2
33	все то что	11	2
34	а также и	1	2
35	в нем нет	2	2
36	с самого начала	5	2
37	в этом романе	1	2
38	в том что	12	2
39	к тому же	2	2
40	и может быть	4	1
41	в своих руках	1	1
42	раз в том	1	1
43	или хотя бы	1	1
44	мы и в	1	1
45	и все остальное	1	1
46	прежде всего на	1	1
47	в самом деле	7	1
48	в средние века	1	1
49	потому что не	1	1
50	сами по себе	3	1
51	надо сказать что	3	1
52	человека мы будем	1	1
53	в той же	1	1
54	но он не	1	1
55	с тем что	1	1
56	что в нем	5	1
57	свой жизненный путь	1	1
58	совершенно ясно что	3	1
59	с тем и	1	1
60	а как раз	2	1
61	во всей ее	2	1
62	он имел в	1	1
63	со всех сторон	1	1
64	у него нет	1	1
65	так как он	1	1
66	в пределах каждой	1	1
67	в это время	2	1
68	в первый раз	3	1
69	представляет из себя	1	1
70	тот факт что	1	1
71	смысле этого слова	3	1
72	и в этом	3	1
73	ясно что в	1	1
74	если мы проследим	1	1
75	во всяком случае	3	1
76	и в самой	1	1
77	раз в ту	1	1
78	во всех этих	2	1
79	уже одно это	1	1
80	имел в виду	1	1
81	в свою очередь	1	1
82	всего того что	1	1
83	что все то	1	1
84	о том что	10	1
85	то есть в	1	1
86	к выводу что	1	1
87	и в самом	2	1
88	но в этом	1	1
89	мы будем говорить	1	1
90	или во всяком	1	1
91	так же мало	1	1
92	сама по себе	3	1
93	друг с другом	4	1
94	мы уже знаем	2	1
95	героя и его	1	1
96	в жизни и	1	1
97	что дело здесь	1	1
