N	2gram	Medvedev_F_1	Marksizm
1	может быть	14	28
2	и пр	17	25
3	и в	24	19
4	как бы	6	19
5	и не	20	19
6	в процессе	9	18
7	не может	16	18
8	точки зрения	16	17
9	то же	10	16
10	и его	10	16
11	как мы	5	15
12	в этом	15	15
13	языка и	1	15
14	так сказать	3	14
15	таким образом	13	14
16	лишь в	8	14
17	не только	7	13
18	с точки	13	13
19	связи с	3	13
20	в нем	14	11
21	если бы	4	11
22	вовсе не	10	11
23	не в	8	10
24	так и	18	10
25	но и	7	10
26	в пределах	6	10
27	том что	1	10
28	самом деле	6	9
29	при этом	5	9
30	как и	11	9
31	как целое	1	9
32	для него	3	9
33	в основе	3	9
34	а не	10	9
35	на почве	13	9
36	с его	4	8
37	по отношению	4	8
38	в то	9	8
39	же время	8	8
40	только в	2	8
41	слова в	1	8
42	отнюдь не	6	8
43	не является	1	8
44	отношению к	4	8
45	на самом	7	7
46	внутренней речи	1	7
47	его в	3	7
48	и более	2	7
49	одна из	2	7
50	никогда не	4	7
51	в том	6	7
52	в языке	1	7
53	прежде всего	22	7
54	в связи	4	7
55	и для	1	7
56	но в	5	7
57	мы уже	1	6
58	и значение	1	6
59	социальной группы	4	6
60	во всех	5	6
61	и как	3	6
62	в самом	5	6
63	если мы	2	6
64	ни в	2	6
65	в смысле	1	6
66	того чтобы	1	6
67	к тому	3	6
68	быть и	4	6
69	между тем	2	6
70	более того	3	6
71	с помощью	3	6
72	и все	6	6
73	хотя бы	5	6
74	ни было	2	6
75	в свою	8	6
76	смысле слова	1	5
77	и на	8	5
78	все же	3	5
79	то ни	3	5
80	на этой	1	5
81	лишь на	1	5
82	в данном	1	5
83	в их	11	5
84	самого начала	1	5
85	свою очередь	6	5
86	с самого	1	5
87	и здесь	6	5
88	к нему	1	5
89	в его	23	5
90	мы ни	2	5
91	в форме	1	5
92	в большинстве	3	5
93	большинстве случаев	2	5
94	отношении к	2	5
95	или иной	1	5
96	значения в	1	5
97	в той	1	5
98	этого слова	3	5
99	в контексте	1	5
100	тем более	1	5
101	совершенно не	1	5
102	к этому	1	5
103	так же	4	5
104	все те	1	4
105	должна быть	7	4
106	а как	2	4
107	и ее	10	4
108	бы то	3	4
109	как если	2	4
110	вполне понятно	2	4
111	конечно не	4	4
112	является лишь	4	4
113	только на	5	4
114	в себе	3	4
115	на то	1	4
116	в единстве	7	4
117	значение в	3	4
118	в данной	1	4
119	это не	2	4
120	было бы	6	4
121	и тем	1	4
122	ведь если	1	4
123	в слове	1	4
124	мы видели	2	4
125	тому что	1	4
126	в отношении	3	4
127	ничего не	2	4
128	данной социальной	1	4
129	точном смысле	1	4
130	в точном	1	4
131	выражения и	1	4
132	из одного	1	4
