N	3gram	Tiupa_Anal_1	Problemy
1	с точки зрения	4	9
2	до сих пор	1	8
3	не может быть	16	8
4	и не может	4	7
5	по отношению к	5	5
6	то же время	6	5
7	в то же	8	5
8	друг с другом	1	5
9	в самом деле	2	4
10	в том числе	3	4
11	более или менее	1	3
12	как раз и	1	3
13	в отличие от	6	3
14	как мы увидим	1	3
15	том числе и	1	3
16	сам по себе	1	3
17	имеем в виду	1	3
18	с другой стороны	2	3
19	мы имеем в	1	3
20	как и в	1	3
21	и в сущности	1	2
22	нет и не	2	2
23	по своей природе	1	2
24	на себя внимание	1	2
25	большей или меньшей	4	2
26	в этом смысле	1	2
27	сами по себе	2	2
28	но и в	2	2
29	того и другого	2	2
30	в том что	9	2
31	как если бы	1	2
32	в большей или	1	2
33	или меньшей степени	1	2
34	но в то	2	2
35	о том что	3	2
36	в свое время	2	2
37	от автора и	1	2
38	той или иной	6	2
39	и не в	4	2
40	с самим собой	1	2
41	но прежде всего	1	1
42	если в самом	1	1
43	а не к	1	1
44	обойтись без другого	1	1
45	в той или	3	1
46	в художественном творчестве	1	1
47	по своей жанровой	1	1
48	всякое высказывание в	1	1
49	а вовсе не	1	1
50	прежде всего в	1	1
51	в этом последнем	1	1
52	также и в	1	1
53	том что он	2	1
54	в том же	1	1
55	то есть предполагает	1	1
56	на том или	1	1
57	не было и	1	1
58	в той же	1	1
59	между тем как	1	1
60	так как если	1	1
61	на самом же	1	1
62	нет ничего что	1	1
63	и т.п если	1	1
64	вследствие чего она	1	1
65	произведение может быть	1	1
66	одно и то	1	1
67	с другим чужим	1	1
68	влияние на все	1	1
69	других людей в	1	1
70	отношение между ними	1	1
71	в том или	2	1
72	может служить и	1	1
73	одному из этих	1	1
74	в данном случае	2	1
75	не в его	1	1
76	к своему собственному	1	1
77	время оно и	1	1
78	с одной стороны	3	1
79	и то же	1	1
80	в xx веке	1	1
81	то что мы	1	1
82	же время оно	1	1
83	с ним как	1	1
84	все же не	1	1
85	это возможно в	1	1
86	в связи с	1	1
87	ни на что	1	1
88	к тому же	4	1
89	собственном смысле слова	1	1
90	во всяком случае	1	1
91	приходится прибегать к	1	1
92	к себе внимание	1	1
93	перед нами два	1	1
94	в произведении и	1	1
95	самом же деле	1	1
96	было и не	1	1
97	самом деле в	1	1
98	в широком смысле	2	1
99	как бы не	1	1
100	при этом можно	1	1
101	и вместе с	1	1
102	в собственном смысле	1	1
103	не только в	1	1
104	выходит за пределы	1	1
105	даже не столько	1	1
106	высказывания то есть	2	1
107	никогда не бывает	1	1
108	к тому что	1	1
109	явления то есть	1	1
110	не о том	2	1
111	дело не в	1	1
112	в душевной жизни	1	1
113	в процессе его	1	1
114	слова о нем	1	1
115	конечно далеко не	1	1
116	в рассказе и	1	1
