N	2gram	Berdyaev_N_1	Istorich
1	и в	16	28
2	может быть	7	25
3	а не	17	15
4	не может	16	15
5	никогда не	6	14
6	мы должны	1	13
7	не только	5	12
8	что в	9	12
9	только в	1	11
10	мы не	2	10
11	и что	2	10
12	что он	1	10
13	но и	3	10
14	прежде всего	4	10
15	не в	6	9
16	так и	2	9
17	о том	4	9
18	то что	4	9
19	в том	8	9
20	и не	11	9
21	в этом	7	8
22	но в	2	8
23	не всегда	1	8
24	в ней	5	7
25	это не	4	7
26	еще не	3	7
27	что мы	1	7
28	так же	2	7
29	том что	2	7
30	было бы	1	7
31	в этих	1	7
32	а в	2	7
33	в этой	1	6
34	не менее	4	6
35	к тому	3	6
36	так как	1	6
37	с другой	3	6
38	вместе с	2	6
39	должна быть	3	5
40	вопрос о	3	5
41	в своем	1	5
42	что она	2	5
43	в силу	1	5
44	по существу	2	5
45	их в	1	5
46	можно было	2	5
47	в его	1	5
48	но не	2	5
49	до сих	1	5
50	к которому	1	5
51	сих пор	1	5
52	не знает	6	5
53	сказать что	3	5
54	другой стороны	2	5
55	и даже	2	4
56	и для	4	4
57	и на	2	4
58	с этим	2	4
59	все эти	2	4
60	но все	1	4
61	и с	2	4
62	с тем	3	4
63	как и	7	4
64	в основе	3	4
65	должны быть	1	4
66	раньше чем	1	4
67	с одной	2	4
68	потому что	4	4
69	в большинстве	1	4
70	большинстве случаев	1	4
71	к ним	3	4
72	и пр	3	4
73	превращается в	1	4
74	социальной жизни	1	4
75	установить что	1	4
76	одной стороны	2	4
77	могут быть	2	4
78	как будто	2	4
79	все это	5	4
80	хотя бы	2	4
81	но это	6	4
82	но оно	1	4
83	они не	1	4
84	время как	2	3
85	я не	2	3
86	то это	1	3
87	к чему	1	3
88	это конечно	1	3
89	из них	1	3
90	не с	1	3
91	во время	1	3
92	в котором	1	3
93	по себе	1	3
94	в то	2	3
95	есть только	1	3
96	должен быть	5	3
97	в образе	1	3
98	для этого	2	3
99	и должно	2	3
100	в которую	1	3
101	ли он	1	3
102	во всем	1	3
103	и его	1	3
104	уже не	2	3
105	и их	1	3
106	то время	1	3
107	которые могут	1	3
108	тем что	1	3
109	эти формы	3	3
110	как это	2	3
111	наряду с	3	3
112	будто бы	1	3
113	и народы	1	2
114	же как	2	2
115	и потому	4	2
116	оно может	1	2
117	в зависимости	1	2
118	из всех	1	2
119	большую роль	4	2
120	когда мы	2	2
121	зависимости от	1	2
122	это время	1	2
123	на них	1	2
124	во всех	3	2
125	то он	1	2
126	значение и	1	2
127	отличие от	1	2
128	как в	3	2
129	от этого	1	2
130	он в	1	2
131	тоже не	1	2
132	в себе	2	2
133	в нем	5	2
134	он не	8	2
135	том чтобы	2	2
136	а по	1	2
137	и мы	4	2
138	совсем нет	1	2
139	нет в	1	2
140	должно быть	4	2
141	но если	1	2
142	что такое	3	2
143	в такой	1	2
144	в отличие	1	2
145	только для	1	2
146	в эпоху	9	2
147	есть еще	1	2
148	что этот	1	2
149	одна из	2	2
150	по своей	1	2
151	не по	1	2
152	не могут	1	2
153	в области	1	2
154	не есть	3	2
155	отказаться от	1	2
156	на это	1	2
157	в ее	3	2
158	приводит к	1	2
159	и когда	1	2
160	на нее	1	2
161	еще в	1	2
162	мы в	1	2
163	с ним	1	2
164	в глубине	1	2
165	и только	1	2
166	и она	1	2
167	их не	1	2
168	себя в	2	2
169	для всех	1	2
170	уже оказывается	1	2
171	что не	1	2
172	связано с	1	2
173	не на	1	2
174	не означает	3	2
175	зависит от	2	2
176	вступает в	1	2
177	xix века	5	2
178	конечно не	3	2
179	не существует	3	2
180	и от	2	2
181	ни к	2	2
182	это было	3	2
183	можно назвать	2	2
184	которых не	2	1
185	также что	1	1
186	ограничен и	1	1
187	обращена к	1	1
188	что образ	1	1
189	связана с	2	1
190	он может	1	1
191	это и	2	1
192	жизни мы	1	1
193	в средние	3	1
194	и есть	10	1
195	он находится	1	1
196	ведь и	2	1
197	и этот	1	1
198	мы уже	1	1
199	это делали	1	1
200	говорить о	1	1
201	в дальний	1	1
202	на себя	1	1
203	эпохи в	1	1
204	что религия	1	1
205	стоят на	2	1
206	совсем не	12	1
207	древнего египта	1	1
208	в истории	3	1
209	было думать	1	1
210	он часто	1	1
211	помнить что	2	1
212	глядит из	1	1
213	и к	5	1
214	в этот	1	1
