1	в данном случае	3	5
2	с другой стороны	4	5
3	не может быть	4	4
4	тем не менее	2	3
5	в виду не	1	3
6	мы имеем в	2	3
7	в том числе	1	2
8	к тому что	1	2
9	не могут быть	1	2
10	тогда как в	1	2
11	не могло быть	1	2
12	может быть и	1	2
13	можно сказать что	1	2
14	и тем самым	1	2
15	как и в	1	2
16	таким же образом	1	1
17	ни к каким	1	1
18	о том что	2	1
19	содержит в себе	2	1
20	указывает на его	1	1
21	таким образом и	1	1
22	что иное как	3	1
23	в одном случае	3	1
24	в иных случаях	1	1
25	в основе своей	1	1
26	то же самое	2	1
27	не что иное	3	1
28	одно и то	1	1
29	между собой и	1	1
30	по большей части	1	1
31	не говорит что	1	1
32	то что они	1	1
33	между ним и	1	1
34	а в другом	1	1
35	мы видим в	1	1
36	точно так же	5	1
37	есть не что	1	1
38	а в его	1	1
39	в связи с	2	1
40	в то время	1	1
41	его с собой	1	1
42	подобно тому как	1	1
43	в этих случаях	7	1
44	но он не	1	1
45	об этом так	1	1
46	в большинстве случаев	1	1
47	здесь мы имеем	1	1
48	при всей своей	1	1
49	в таких случаях	2	1
50	так же как	12	1
51	и то же	1	1
