N	2gram	Losev_Prob_1	Sotsiolo
1	все это	7	7
2	в том	9	5
3	в этом	19	5
4	и только	4	3
5	как же	3	3
6	для нас	5	3
7	не только	17	3
8	и в	32	3
9	но ведь	3	3
10	не в	4	3
11	в его	6	3
12	за пределы	6	2
13	но и	9	2
14	конце концов	4	2
15	было бы	8	2
16	в смысле	1	2
17	должна быть	1	2
18	только в	7	2
19	дело не	1	2
20	далеко не	5	2
21	в результате	2	2
22	тем более	5	2
23	том что	12	2
24	как будто	3	2
25	то что	42	2
26	и что	9	2
27	литературы и	4	2
28	еще не	9	2
29	только как	1	2
30	ведь это	2	2
31	таким образом	6	2
32	в конце	6	2
33	что в	12	2
34	может быть	14	2
35	как бы	14	2
36	и заключается	2	2
37	по существу	2	2
38	то же	10	2
39	не из	1	1
40	быть для	2	1
41	крайней мере	2	1
42	в свои	1	1
43	тотчас же	1	1
44	что все	3	1
45	я и	2	1
46	по себе	15	1
47	даже в	1	1
48	сама по	4	1
49	не должна	1	1
50	сказать и	3	1
51	в этой	10	1
52	тому что	4	1
53	отнюдь не	10	1
54	эти два	1	1
55	выходит за	1	1
56	даже не	1	1
57	этой области	2	1
58	которая должна	1	1
59	изучения и	1	1
60	с другой	3	1
61	его в	6	1
62	дает нам	1	1
63	только для	3	1
64	ровно ничего	4	1
65	с ним	3	1
66	это не	6	1
67	на этот	3	1
68	именно в	4	1
69	в чем	3	1
70	все же	1	1
71	один из	4	1
72	и есть	6	1
73	перед нами	5	1
74	в то	6	1
75	кто не	1	1
76	хотелось бы	1	1
77	тем же	1	1
78	даже больше	1	1
79	еще и	5	1
80	только то	4	1
81	том как	2	1
82	тем что	7	1
83	вопросом о	1	1
84	и как	6	1
85	в процессе	1	1
86	что эти	1	1
87	на ней	1	1
88	что он	7	1
89	прежде всего	10	1
90	бы он	1	1
91	в них	7	1
92	так и	12	1
93	не было	4	1
94	но только	2	1
95	и не	31	1
96	в любой	1	1
97	это вовсе	2	1
98	из себя	1	1
99	никогда не	7	1
100	не место	1	1
101	мы не	2	1
102	со своими	1	1
103	ничего не	10	1
104	как то	1	1
105	между собою	7	1
106	мы еще	1	1
107	не мешает	2	1
108	и о	8	1
109	все эти	8	1
110	это же	1	1
111	как художественный	1	1
112	именно на	3	1
113	как и	3	1
114	для этого	3	1
115	этом не	1	1
116	в настоящее	3	1
117	она должна	1	1
118	мы должны	5	1
119	первый план	1	1
120	остается в	1	1
121	в таких	2	1
122	их на	1	1
123	в сущности	2	1
124	но она	3	1
125	вот в	2	1
126	образом в	1	1
127	конечно не	1	1
128	в связи	4	1
129	на первый	2	1
130	и его	3	1
131	в этих	3	1
132	место в	1	1
133	связи с	5	1
134	или не	3	1
135	хотя бы	3	1
136	вступает в	1	1
137	не может	8	1
138	в своей	8	1
139	только тогда	1	1
140	и должно	2	1
141	а в	4	1
142	еще недостаточно	1	1
143	что она	5	1
144	можно будет	2	1
145	о том	11	1
146	не дает	1	1
147	именно и	1	1
148	в области	2	1
149	и потому	2	1
150	настоящее время	3	1
151	больше того	1	1
152	свои права	1	1
153	в него	2	1
154	но именно	3	1
155	в котором	5	1
156	никак не	4	1
157	из тех	1	1
158	литературе и	4	1
159	на что	2	1
160	представляется нам	1	1
161	единства и	1	1
162	всяком случае	3	1
163	нет а	1	1
164	материализма для	1	1
165	где же	1	1
166	не выходит	1	1
167	когда мы	8	1
168	в силу	1	1
169	слишком много	1	1
170	он говорит	1	1
171	ни на	4	1
172	его построения	1	1
173	что это	3	1
174	у которых	1	1
175	вовсе не	35	1
176	новое и	1	1
177	ни были	1	1
178	же самое	9	1
179	а между	1	1
180	далеки от	1	1
181	но не	9	1
182	в систему	1	1
183	в виде	15	1
184	этого и	1	1
185	в данном	9	1
186	между тем	2	1
187	но как	6	1
188	что на	1	1
189	это происходит	1	1
190	по крайней	2	1
191	понимать что	2	1
192	и никак	1	1
193	том и	1	1
194	во всяком	7	1
195	и будет	1	1
196	что данный	1	1
197	бы они	1	1
198	перейти к	4	1
199	в каждом	1	1
200	и понятие	2	1
201	это значит	1	1
