N	3gram	Bakhtin_Fr_6	Formalny
1	с точки зрения	2	13
2	в настоящее время	1	10
3	то же время	5	8
4	в то же	5	8
5	более или менее	1	6
6	до сих пор	3	6
7	не может быть	1	5
8	по отношению к	1	4
9	одной стороны и	2	4
10	с одной стороны	4	4
11	и до конца	1	3
12	было бы нелепо	1	3
13	в лучшем случае	1	3
14	настоящее время в	1	3
15	смысле этого слова	1	3
16	в нем и	1	2
17	как и все	1	2
18	в зависимости от	1	2
19	в строгом смысле	1	2
20	как мы увидим	2	2
21	в большинстве случаев	4	2
22	мы полагаем что	1	2
23	но в то	1	2
24	начала и до	1	2
25	в связи с	1	2
26	в целом ряде	1	2
27	влияние и на	2	2
28	до настоящего времени	1	2
29	с начала и	1	2
30	вполне понятно что	2	1
31	в точке пересечения	1	1
32	в этой роли	2	1
33	в изобразительных искусствах	3	1
34	в чем же	1	1
35	как один из	2	1
36	а не из	1	1
37	в том что	2	1
38	в одном отношении	1	1
39	он должен быть	1	1
40	но и в	2	1
41	нелепо думать что	1	1
42	на самом же	1	1
43	в этом отношении	3	1
44	вместо того чтобы	3	1
45	несмотря на их	1	1
46	на первом плане	1	1
47	и в истории	1	1
48	со всех сторон	1	1
49	вместе с тем	1	1
50	в предыдущей главе	2	1
51	мы видим что	1	1
52	мы увидим дальше	1	1
53	в данном случае	2	1
54	во внешнем мире	1	1
55	а также и	2	1
56	тем более не	1	1
57	как в своем	1	1
58	и как бы	1	1
59	и потому не	1	1
60	такого подхода к	1	1
61	а не как	1	1
62	это конечно не	1	1
63	так и от	1	1
64	но и с	2	1
65	что касается до	1	1
66	с другой стороны	2	1
67	самом же деле	1	1
68	все то что	4	1
69	самом деле в	1	1
70	между тем как	1	1
71	как и всякий	1	1
72	не могла не	1	1
73	в широком смысле	1	1
74	в той же	4	1
75	в первой главе	1	1
76	прежде всего мы	2	1
77	бы нелепо думать	1	1
78	та или иная	1	1
79	и в европейском	1	1
80	всего того что	1	1
81	не только с	2	1
82	и до сих	1	1
83	нужно сказать что	2	1
84	таким образом не	1	1
85	во всех ее	1	1
86	но все же	1	1
87	мы видели только	1	1
88	бы при этом	1	1
89	заключается в том	1	1
90	его с другими	1	1
91	в предисловии к	1	1
92	в литературе и	2	1
93	и до настоящего	1	1
94	что связано с	1	1
95	что и в	1	1
96	тело никогда не	1	1
