N	2gram	Tiupa_Disk_1	Narrotol
1	не только	28	26
2	а не	22	17
3	представляет собой	17	16
4	тогда как	19	15
5	но и	14	15
6	при этом	13	14
7	в том	23	14
8	в качестве	34	14
9	и не	11	14
10	в этом	15	13
11	и в	16	13
12	том что	19	13
13	состоит в	9	12
14	такого рода	4	12
15	только в	7	11
16	в частности	9	11
17	с собачкой	1	10
18	может быть	17	10
19	в данном	5	10
20	своего рода	8	9
21	сводится к	5	9
22	так и	8	9
23	то есть	20	9
24	к тому	5	9
25	а в	5	9
26	в себе	7	8
27	то что	5	8
28	нарративного дискурса	3	8
29	не в	7	8
30	коммуникативного события	14	8
31	в тексте	2	8
32	картина мира	3	8
33	не может	9	8
34	иначе говоря	2	7
35	к себе	2	7
36	не сводится	3	7
37	события рассказывания	3	7
38	нарративной интриги	1	7
39	в рамках	5	6
40	в своем	6	6
41	все же	3	6
42	и к	4	6
43	но в	8	6
44	всего лишь	1	6
45	в жизни	1	6
46	никогда не	2	6
47	данном случае	2	6
48	коммуникативное событие	5	6
49	и т.п	12	6
50	можно сказать	5	6
51	а также	8	6
52	в его	7	6
53	вслед за	1	6
54	того что	3	6
55	со стороны	7	6
56	прежде всего	11	6
57	как бы	5	6
58	нарративная интрига	2	6
59	жизни в	2	6
60	героя в	2	6
61	я не	1	5
62	отличие от	5	5
63	что он	4	5
64	как в	10	5
65	хотя и	2	5
66	в нем	9	5
67	тем не	1	5
68	он не	1	5
69	таким образом	3	5
70	на протяжении	2	5
71	по мысли	3	5
72	и тем	2	5
73	далеко не	10	5
74	точки зрения	3	5
75	в котором	5	5
76	не столько	1	5
77	тем самым	1	5
78	в то	3	5
79	на него	1	5
80	о том	8	5
81	в форме	2	5
82	с одной	9	5
83	по отношению	9	5
84	с другой	10	5
85	одной стороны	9	5
86	в той	1	5
87	в отличие	5	5
88	я в	1	5
89	отношению к	9	5
90	то же	7	4
91	в ее	3	4
92	в этой	2	4
93	отнюдь не	8	4
94	о жизни	1	4
95	перед нами	3	4
96	что это	1	4
97	тому же	5	4
98	в силу	5	4
99	уже не	4	4
100	событийной цепи	1	4
101	в мире	1	4
102	об этом	2	4
103	в своей	5	4
104	не к	1	4
105	в конце	1	4
106	не менее	2	4
107	при всей	3	4
108	но при	3	4
109	в себя	5	4
110	времени и	3	4
111	если бы	1	4
112	и т.д	4	4
113	в другом	2	4
114	истории в	1	4
115	уже говорилось	1	4
116	в какой	2	4
117	рассказывания в	3	4
118	свидетельствует о	2	4
119	для него	4	4
120	следует признать	2	4
121	в рассказе	2	4
122	повествуемого мира	1	4
123	как и	16	4
124	мира в	3	4
125	как это	1	4
126	в литературе	2	4
127	не является	4	4
128	и все	2	4
129	что в	4	4
130	для себя	4	3
131	самом деле	1	3
132	едва ли	2	3
133	а как	1	3
134	мы имеем	2	3
135	с его	4	3
136	как правило	4	3
137	но не	11	3
138	что они	1	3
139	как к	2	3
140	в целом	4	3
141	в известном	1	3
142	и его	2	3
143	так сказать	2	3
144	не следует	2	3
145	внутренней речи	2	3
146	в коммуникативном	1	3
147	и по	2	3
148	конечном счете	1	3
149	самим собой	1	3
150	того или	2	3
151	при встрече	2	3
152	соответствии с	2	3
153	в слове	1	3
154	характер и	2	3
155	которой он	1	3
156	и того	3	3
157	пока еще	6	3
158	же время	4	3
159	по своей	11	3
160	этом отношении	1	3
161	той или	3	3
162	на том	2	3
163	и сам	1	3
164	строго говоря	2	3
165	между собой	2	3
166	о котором	2	3
167	о ней	1	3
168	о нем	2	3
169	внимание на	4	3
170	в конечном	1	3
171	по слову	3	3
172	существенную роль	3	3
173	это не	3	3
174	известном смысле	1	3
175	один из	3	3
176	с ними	1	3
177	и представляет	2	3
178	между тем	4	3
179	личной тайны	1	3
180	то и	1	3
181	или даже	2	3
182	как раз	1	3
183	и даже	3	3
184	или иной	5	3
185	в соответствии	2	3
186	такой модальности	1	3
187	да и	1	3
188	с этой	1	3
189	лицо и	1	3
190	а к	1	3
191	опыта в	2	3
192	сказать что	3	3
193	к его	2	3
194	или иного	1	3
195	нарративного высказывания	2	3
196	в таком	1	3
197	в чужой	1	2
198	в нарративном	4	2
199	к другому	2	2
200	вольф шмид	1	2
201	современной нарратологии	1	2
202	мы не	1	2
203	в составе	5	2
204	ему в	2	2
205	в каждой	3	2
206	самого рассказывания	3	2
207	еще не	14	2
208	он сам	1	2
209	столь же	3	2
210	в чем	1	2
211	иного рода	1	2
212	на самом	1	2
213	присутствует в	1	2
214	xix столетия	1	2
215	гуманитарных науках	1	2
216	себе и	1	2
217	событие рассказывания	1	2
218	и читатель	1	2
219	как уже	3	2
220	однако на	2	2
221	не являются	1	2
222	со своей	1	2
223	в самом	3	2
224	от нормы	1	2
225	в нашем	1	2
226	из этих	1	2
227	и пространства	1	2
228	не уступает	1	2
229	нарративный дискурс	3	2
230	роль в	7	2
231	событийный статус	2	2
232	на то	1	2
233	в случае	1	2
234	вследствие этого	3	2
235	что она	1	2
236	в принципе	2	2
237	мы его	1	2
238	не будет	1	2
239	поскольку все	1	2
240	той же	1	2
241	себя не	1	2
242	зрения на	3	2
243	личного опыта	1	2
244	художественного письма	7	2
245	было бы	1	2
246	со своими	1	2
247	несмотря на	1	2
248	ведет к	3	2
249	является его	1	2
250	бы на	1	2
251	сводятся к	1	2
252	памяти в	1	2
253	высказывания как	1	2
254	с точки	1	2
255	и что	2	2
256	и слушающих	2	2
257	от его	1	2
258	в памяти	1	2
259	и более	1	2
260	однако в	3	2
261	нарратора это	1	2
262	в культуре	2	2
263	что с	2	2
264	не имеет	1	2
265	текста и	2	2
266	в процессе	5	2
267	говорить о	1	2
268	картины мира	1	2
269	не могло	2	2
270	имеем дело	2	2
271	в новейшее	1	2
272	своей природе	2	2
273	а ван	2	2
274	потому что	4	2
275	не вполне	1	2
276	в области	1	2
277	личности в	1	2
278	дискурса в	2	2
