N	2gram	Trubetskoy_1	Narrotol
1	не только	9	31
2	но и	10	27
3	и не	19	23
4	при этом	5	19
5	может быть	9	15
6	в качестве	3	14
7	в частности	2	14
8	как и	4	13
9	а не	2	13
10	а в	5	13
11	в этом	17	12
12	только в	5	12
13	и в	14	11
14	в данном	7	11
15	тогда как	2	10
16	состоит в	2	10
17	то есть	1	9
18	то что	13	9
19	то же	11	8
20	иначе говоря	1	8
21	не может	22	8
22	данном случае	3	8
23	в том	17	8
24	уже не	2	8
25	со стороны	4	8
26	но в	2	7
27	том что	9	7
28	если бы	6	7
29	у него	2	7
30	в самом	3	6
31	не в	4	6
32	в этой	4	6
33	в себе	9	6
34	тому же	1	6
35	об этом	1	6
36	к тому	7	6
37	и т.д	4	6
38	одного из	1	6
39	в его	4	6
40	как бы	4	6
41	один из	1	6
42	или в	3	6
43	жизни и	4	6
44	и на	5	5
45	той или	3	5
46	перед нами	1	5
47	так и	1	5
48	точки зрения	11	5
49	в своей	5	5
50	тем самым	2	5
51	потому что	5	5
52	можно сказать	1	5
53	точка зрения	1	5
54	столь же	1	5
55	то в	3	4
56	на себя	2	4
57	еще не	3	4
58	но не	4	4
59	все же	4	4
60	из этих	3	4
61	в нем	5	4
62	в принципе	1	4
63	в мире	4	4
64	из них	3	4
65	по себе	2	4
66	и тем	2	4
67	в то	10	4
68	одна из	3	4
69	не по	1	4
70	того чтобы	8	4
71	никогда не	5	4
72	в сознании	3	4
73	что на	1	4
74	к себе	2	4
75	в ней	2	4
76	что у	1	4
77	о том	7	4
78	же время	10	4
79	а во	1	4
80	к нему	2	4
81	того что	3	4
82	для него	6	4
83	или иной	5	4
84	прежде всего	8	4
85	этом и	2	4
86	однако и	1	4
87	или не	1	4
88	и состоит	2	4
89	речь идет	2	3
90	также и	1	3
91	и то	4	3
92	самом деле	7	3
93	идет о	1	3
94	мы не	1	3
95	он сам	3	3
96	но как	1	3
97	в своем	6	3
98	и как	3	3
99	к чему	2	3
100	он не	5	3
101	для того	6	3
102	и с	7	3
103	в глазах	2	3
104	это не	1	3
105	в жизни	1	3
106	не всегда	1	3
107	стало быть	1	3
108	тем не	1	3
109	их в	2	3
110	не менее	1	3
111	как будто	2	3
112	этом отношении	1	3
113	за ними	1	3
114	и о	2	3
115	но при	1	3
116	сводится к	3	3
117	его жизни	1	3
118	лишь в	3	3
119	между тем	5	3
120	что он	6	3
121	в состав	1	3
122	по отношению	2	3
123	могло бы	1	3
124	именно в	3	3
125	не было	3	3
126	как это	1	3
127	быть не	1	3
128	в начале	2	3
129	но для	2	3
130	не является	1	3
131	и все	1	3
132	отношению к	1	3
133	что в	4	3
134	а о	1	2
135	в сфере	1	2
136	тем же	1	2
137	в зависимости	1	2
138	и для	6	2
139	в сущности	1	2
140	столько же	1	2
141	между собой	5	2
142	если в	6	2
143	отнюдь не	7	2
144	что касается	1	2
145	в смысл	1	2
146	роль в	1	2
147	на то	5	2
148	не могла	1	2
149	и вот	2	2
150	заключает в	1	2
151	человека в	1	2
152	таким каким	1	2
153	не будет	7	2
154	а по	1	2
155	входит в	1	2
156	для них	3	2
157	все равно	1	2
158	этого не	2	2
159	а за	1	2
160	жизни но	1	2
161	и тогда	2	2
162	и того	1	2
163	в этих	2	2
164	сих пор	5	2
165	из нас	1	2
166	она не	2	2
167	дело в	1	2
168	и сама	1	2
169	не могло	1	2
170	казалось бы	1	2
171	и является	2	2
172	связи с	3	2
173	же самое	1	2
174	как мы	1	2
175	у себя	1	2
176	с ее	1	2
177	свою очередь	1	2
178	и физически	1	2
179	что может	3	2
180	с ним	2	2
181	то они	1	2
182	никак не	1	2
183	до сих	5	2
184	с другой	1	2
185	и только	5	2
186	от этих	1	2
187	с ними	1	2
188	всяком случае	6	2
189	они могут	1	2
190	себя в	4	2
191	только на	2	2
192	до конца	1	2
193	его и	2	2
194	в конце	3	2
195	к ним	1	2
196	не о	2	2
197	друг друга	3	2
198	мы можем	2	2
199	при отсутствии	2	2
200	нами не	1	2
201	и даже	2	2
202	в области	2	2
203	о своей	1	2
204	в результате	2	2
205	на ее	1	2
206	что не	1	2
207	и стал	1	2
208	а на	1	2
209	зависит от	2	2
210	человеческой жизни	1	2
211	только от	1	2
212	если не	2	2
213	вместе с	4	2
214	к его	1	2
215	по своим	1	2
216	ни от	2	2
217	по своему	1	2
218	да и	3	2
219	быть и	2	2
220	в связи	1	2
221	и от	2	2
222	она может	3	2
223	не подлежит	2	2
224	которая в	1	2
225	тот кто	1	2
226	хотя бы	5	2
227	к ее	1	2
228	жизни в	5	2
229	в свою	1	2
230	все что	4	2
231	в таком	2	2
232	во всяком	9	2
233	говоря о	2	1
234	из церкви	1	1
235	и т	3	1
236	для образования	1	1
237	же как	1	1
238	бы именно	1	1
239	не знаем	1	1
240	связи между	1	1
241	на самом	6	1
242	это и	1	1
243	причем все	1	1
244	и есть	2	1
245	ему что	1	1
246	но главное	1	1
247	выражается в	1	1
248	за границей	1	1
249	мы уже	2	1
250	из всех	2	1
251	он как	1	1
252	то и	1	1
253	в каждый	1	1
254	привести к	1	1
255	от церкви	3	1
256	событий и	1	1
257	но даже	2	1
258	из которых	5	1
259	он был	1	1
260	иное как	1	1
261	бы то	4	1
262	в различных	1	1
263	природы и	1	1
264	при жизни	1	1
265	а только	1	1
266	тех же	1	1
267	значение и	1	1
268	и требующий	1	1
269	с этим	2	1
270	что ее	1	1
271	еще и	1	1
272	в полном	1	1
273	когда он	1	1
274	целый ряд	2	1
275	и наконец	2	1
276	от ее	1	1
277	и к	6	1
278	он на	1	1
279	это то	1	1
280	со своей	1	1
281	еще на	1	1
282	в которой	1	1
283	что это	3	1
284	ни один	1	1
285	бы не	1	1
286	во многих	2	1
287	за освобождение	1	1
288	ни одна	3	1
289	к своей	1	1
290	приводит к	4	1
291	что к	1	1
292	и тот	2	1
293	но ведь	1	1
294	претендовать на	1	1
295	но на	1	1
296	главным образом	3	1
297	одному из	2	1
298	чтобы они	1	1
299	зрения здесь	1	1
300	в силу	2	1
301	в корне	4	1
302	на земле	4	1
303	друг с	14	1
304	базируются на	1	1
305	и по	3	1
306	людей и	2	1
307	так например	1	1
308	таким образом	11	1
309	но все	1	1
310	значительной степени	1	1
311	в одну	1	1
312	то ни	4	1
313	могла бы	1	1
314	уже знаем	1	1
315	том случае	4	1
316	или целиком	1	1
317	говорить не	1	1
318	его в	4	1
319	с другими	1	1
320	он есть	1	1
321	всю свою	2	1
322	придает ему	1	1
323	на основании	2	1
324	в ее	1	1
325	с тем	6	1
326	обозначить как	1	1
327	без этой	1	1
328	в церкви	1	1
329	в один	1	1
330	нисколько не	2	1
331	или менее	4	1
332	во время	2	1
333	в котором	2	1
334	с точки	9	1
335	в их	4	1
336	что вся	1	1
337	надежда на	1	1
338	оказывается что	1	1
339	в которых	1	1
340	должны были	1	1
341	нельзя было	1	1
342	национальной и	1	1
343	точку зрения	4	1
344	теми же	1	1
345	жизни является	1	1
346	по крайней	1	1
347	ни было	1	1
348	необходимо чтобы	1	1
349	для нее	2	1
350	любовь к	2	1
351	даже в	1	1
352	что эта	1	1
353	тому что	2	1
354	своих интересов	1	1
355	любви и	1	1
356	можно ли	3	1
357	так как	4	1
358	его личности	1	1
359	до известной	1	1
360	хотелось бы	1	1
361	для каждого	1	1
362	освободиться от	1	1
363	которые не	1	1
364	было не	1	1
365	чтобы стать	1	1
366	этот тип	1	1
367	вся его	1	1
368	преимущественно в	1	1
369	для всех	6	1
370	смысл бытия	1	1
371	невозможно но	1	1
372	ними не	1	1
373	по своей	1	1
374	во всем	4	1
375	как не	1	1
376	только с	2	1
377	однако это	1	1
378	с другом	14	1
379	церкви в	1	1
380	могут быть	1	1
381	однако для	1	1
382	отличается от	2	1
383	понять что	2	1
384	указывает на	2	1
385	если же	2	1
386	должен быть	1	1
387	от друга	2	1
388	только то	1	1
389	верит в	1	1
390	и когда	1	1
391	в другом	3	1
392	из двух	1	1
393	не за	1	1
394	ясно что	2	1
395	мог бы	1	1
396	них глаза	1	1
397	из одного	1	1
398	и вся	1	1
399	ее и	1	1
400	для нас	2	1
401	в значительной	3	1
402	подлежит сомнению	1	1
403	под именем	1	1
404	не умеет	1	1
405	они вели	2	1
406	во всех	5	1
407	а потому	5	1
408	всех членов	1	1
409	что и	3	1
410	неизбежно будет	1	1
411	крайней мере	1	1
412	чем и	1	1
413	себя однако	1	1
414	к ней	1	1
415	в преодолении	1	1
416	и мы	1	1
417	оно и	1	1
418	одной из	3	1
419	зрения в	1	1
420	в разные	1	1
421	даже если	2	1
422	и оценку	1	1
423	бы ни	2	1
424	их не	2	1
425	к одному	1	1
426	того же	1	1
427	в россию	2	1
428	и у	1	1
429	вопроса о	1	1
430	людей то	1	1
431	русского языка	1	1
432	в данной	1	1
433	но совершенно	2	1
434	участие в	2	1
435	расхождений между	1	1
436	а то	1	1
437	или даже	1	1
438	представить себе	2	1
439	богу не	1	1
440	бытия и	1	1
441	случае не	1	1
442	тем что	3	1
443	не просто	2	1
444	на том	3	1
445	следует признать	1	1
446	друг от	2	1
447	народов и	2	1
448	это будет	1	1
449	в последние	5	1
450	на будущее	1	1
451	сделать не	1	1
452	даже не	2	1
453	следует подчеркнуть	1	1
454	не поддается	1	1
455	говорить и	1	1
456	если только	2	1
457	которых мы	1	1
458	для этого	3	1
459	на чем	1	1
460	а с	2	1
461	последние дни	5	1
462	называет себя	1	1
463	что для	3	1
464	связано с	1	1
465	на этот	1	1
466	на которых	1	1
467	а главное	1	1
468	не верит	1	1
469	не на	1	1
470	понятие о	1	1
471	со своими	1	1
472	которой он	4	1
473	ближе к	1	1
474	сумеет ли	1	1
475	связь с	1	1
476	о себе	1	1
477	так же	2	1
478	и потому	3	1
479	без помощи	1	1
480	надо было	1	1
481	этих случаях	1	1
482	это его	1	1
483	начале этой	1	1
484	не можем	2	1
485	материал для	1	1
486	своей жизни	1	1
487	но это	2	1
488	при условии	3	1
489	все это	6	1
490	числе и	1	1
491	церквей которая	1	1
492	что позволяет	1	1
493	отношениях к	1	1
494	одного и	1	1
495	известной степени	1	1
496	которых он	1	1
497	являются не	1	1
498	при таком	1	1
499	о котором	3	1
500	человек и	1	1
501	к постижению	1	1
502	тем более	1	1
503	все они	3	1
504	отношении к	2	1
505	сомнению и	1	1
506	на роль	1	1
507	не замечают	1	1
508	была бы	1	1
509	совершенно не	2	1
510	то хотя	1	1
511	элементов из	1	1
512	более или	4	1
513	себе но	1	1
514	к этой	4	1
515	случае если	3	1
516	вся эта	2	1
517	от которой	1	1
518	к этому	1	1
519	точно так	2	1
520	том числе	1	1
521	они не	1	1
