N	2gram	Bakhtin_Pr_1	Freidism
1	таким образом	10	24
2	и не	42	23
3	не может	27	20
4	точки зрения	8	19
5	прежде всего	13	18
6	в этом	15	15
7	в его	43	15
8	и пр	2	15
9	с помощью	7	14
10	в душе	1	13
11	мы можем	6	13
12	может быть	26	13
13	и его	16	12
14	все эти	5	11
15	как и	7	11
16	с точки	6	11
17	как бы	22	11
18	то что	8	11
19	самом деле	6	10
20	но в	4	10
21	его в	9	10
22	жизни человека	1	10
23	с ним	5	10
24	как мы	7	10
25	так и	5	10
26	и потому	4	10
27	с его	2	9
28	во всех	11	9
29	по отношению	21	9
30	и в	38	9
31	то же	5	8
32	не только	9	8
33	он не	3	8
34	в своей	7	8
35	еще не	7	8
36	что он	2	8
37	только в	13	8
38	все это	3	8
39	и все	3	8
40	отношению к	19	8
41	все что	3	8
42	в самом	7	7
43	мы уже	1	7
44	отношение к	10	7
45	и наконец	6	7
46	чувств и	1	7
47	ни в	11	7
48	к нему	10	7
49	сказать что	4	7
50	в ней	4	6
51	за пределы	12	6
52	все те	1	6
53	и с	17	6
54	на протяжении	1	6
55	и ее	2	6
56	того что	2	6
57	для него	1	6
58	вовсе не	2	6
59	никогда не	5	6
60	хотя бы	4	6
61	совершенно не	7	6
62	культурного творчества	3	5
63	на самом	4	5
64	и на	3	5
65	в чем	2	5
66	и к	3	5
67	в этой	1	5
68	не в	7	5
69	мы должны	2	5
70	в то	4	5
71	сознанием и	1	5
72	могут быть	5	5
73	в себя	2	5
74	в индивидуальную	1	5
75	можно сказать	2	5
76	для того	2	5
77	во внешнем	1	5
78	в большинстве	5	5
79	большинстве случаев	5	5
80	и прежде	5	5
81	а в	6	5
82	но и	9	5
83	связь с	3	5
84	в свою	2	5
85	что в	7	5
86	смысле слова	2	4
87	и за	1	4
88	в которой	1	4
89	говорить о	3	4
90	я не	2	4
91	но не	12	4
92	все же	6	4
93	не было	2	4
94	в пределах	6	4
95	в нем	15	4
96	всех этих	1	4
97	на этом	2	4
98	то ни	3	4
99	при этом	5	4
100	с другими	3	4
101	нигде не	1	4
102	не менее	4	4
103	в основе	5	4
104	же время	3	4
105	таким путем	1	4
106	и для	11	4
107	к тому	1	4
108	того чтобы	2	4
109	данном случае	4	4
110	характер и	1	4
111	это только	1	4
112	другими словами	2	4
113	организма и	2	4
114	с ними	4	4
115	конечно не	5	4
116	уже не	1	4
117	не дает	2	4
118	в котором	2	4
119	и др	8	4
120	себя и	3	4
121	в данном	4	4
122	и о	5	4
123	в более	4	4
124	в следующей	1	4
125	в этих	2	4
126	этот вопрос	1	4
127	между ними	4	4
128	в таком	3	4
129	в объективном	1	3
130	человека и	1	3
131	и есть	2	3
132	подхода к	2	3
133	на себя	1	3
134	а только	2	3
135	конечном счете	4	3
136	в общем	1	3
137	в материальном	1	3
138	как в	4	3
139	и как	8	3
140	следующей главе	1	3
141	в себе	4	3
142	и те	2	3
143	но ведь	1	3
144	в узком	1	3
145	и вот	1	3
146	всех своих	2	3
147	что все	2	3
148	и может	1	3
149	где оно	2	3
150	зрения на	1	3
151	может стать	3	3
152	эти высказывания	1	3
153	было бы	8	3
154	мы имеем	2	3
155	нисколько не	1	3
156	мысли и	1	3
157	войти в	2	3
158	случае не	2	3
159	можем сказать	2	3
160	тому что	1	3
161	этой области	2	3
162	в психике	6	3
163	одна из	2	3
164	на него	3	3
165	чем не	2	3
166	представления и	1	3
167	в сознании	1	3
168	к себе	2	3
169	не могут	2	3
170	она не	2	3
171	с ее	1	3
172	свою очередь	1	3
173	и этим	6	3
174	приводит к	3	3
175	если бы	3	3
176	и что	2	3
177	бы то	3	3
178	и содержание	3	3
179	которого оно	1	3
180	в конечном	4	3
181	во втором	1	3
182	на другие	1	3
183	со всеми	3	3
184	человека с	1	3
185	себя в	2	3
186	об его	1	3
187	в них	5	3
188	на этот	1	3
189	вместе с	1	3
190	по своему	1	3
191	слова и	3	3
192	и от	3	3
193	но это	3	3
194	не является	3	3
195	узком смысле	2	3
196	это как	1	3
197	не знает	3	3
198	от всех	4	3
199	жизни и	1	3
200	в искусстве	12	3
201	по поводу	2	3
202	входит все	1	2
203	ли мы	3	2
204	отношения к	6	2
205	все снова	1	2
206	не остается	2	2
207	тех же	1	2
208	это и	1	2
209	в первом	1	2
210	уже указывали	1	2
211	высшей степени	5	2
212	ее целом	1	2
213	нам в	1	2
214	во внутреннем	1	2
215	не совсем	1	2
216	как не	1	2
217	без труда	1	2
218	сказать и	3	2
219	в ее	4	2
220	но как	2	2
221	себе и	1	2
222	отличие от	5	2
223	или иное	2	2
224	из важнейших	3	2
225	большое значение	1	2
226	значение для	3	2
227	относится к	4	2
228	дает нам	2	2
229	в своем	5	2
230	помощью которого	1	2
231	не приходится	1	2
232	что это	2	2
233	в нашем	4	2
234	есть та	1	2
235	физиологических и	1	2
236	в одну	1	2
237	в совершенно	1	2
238	это было	1	2
239	это не	5	2
240	на почве	3	2
241	в свой	1	2
242	этого не	1	2
243	самое приходится	1	2
244	и уже	1	2
245	так называемый	2	2
246	выйти за	1	2
247	и становится	7	2
248	том что	3	2
249	на один	1	2
250	но если	1	2
251	и при	2	2
252	лежат в	1	2
253	мы конечно	1	2
254	в их	10	2
255	в отличие	5	2
256	его отношение	1	2
257	сих пор	1	2
258	иным как	1	2
259	силу и	1	2
260	как это	2	2
261	таких случаях	1	2
262	его целом	5	2
263	в таких	2	2
264	что с	1	2
265	но для	1	2
266	правда в	1	2
267	в процессе	1	2
268	не нуждается	2	2
269	в самых	1	2
270	тем не	3	2
271	и теперь	1	2
272	только с	1	2
273	этом отношении	2	2
274	в области	11	2
275	в момент	1	2
276	все то	3	2
277	здесь оно	1	2
278	отличается от	2	2
279	должны быть	4	2
280	что оно	2	2
281	это содержание	1	2
282	социальные и	1	2
283	и снова	1	2
284	оно не	3	2
285	приходится сказать	1	2
286	оно может	2	2
287	то или	2	2
288	из всего	1	2
289	в виду	4	2
290	на основе	6	2
291	нами выше	2	2
292	можно сделать	2	2
293	и вообще	2	2
294	выводу что	1	2
295	в другом	2	2
296	до сих	1	2
297	необходим для	1	2
298	этих двух	1	2
299	нуждается в	2	2
300	что и	2	2
301	во всей	1	2
302	что бы	1	2
303	всего этого	1	2
304	человека как	2	2
305	в него	2	2
306	мир в	2	2
307	быть и	1	2
308	на которой	1	2
309	и психики	1	2
310	в какой	2	2
311	для нее	8	2
312	с одной	3	2
313	для всех	1	2
314	не можем	2	2
315	и у	2	2
316	только на	1	2
317	ни было	3	2
318	желания и	1	2
319	в нашей	2	2
320	из них	1	2
321	его и	1	2
322	потому и	1	2
323	точка зрения	3	2
324	содержание и	2	2
325	с этими	1	2
326	рядом с	5	2
327	и даже	3	2
328	в высшей	5	2
329	с другой	7	2
330	человека в	2	2
331	здесь в	2	2
332	до конца	1	2
333	связано с	1	2
334	одной стороны	3	2
335	которых мы	4	2
336	более того	4	2
337	а не	5	2
338	все последующие	1	2
339	художественной формы	9	2
340	что мы	1	2
341	так же	1	2
342	и всей	1	2
343	со всею	1	2
344	для понимания	2	2
345	же самое	2	2
346	это уже	1	2
347	и часто	1	2
348	не существует	1	2
349	формы и	5	2
350	для нас	1	2
351	ибо не	1	2
352	все они	5	2
353	да и	3	2
354	и начинается	1	2
355	к его	2	2
356	всех других	1	2
357	есть и	1	2
358	и другие	2	2
359	в своих	2	2
360	снова и	1	2
361	к этому	2	2
362	они не	3	2
363	и методы	1	1
364	можно говорить	2	1
365	и т	14	1
366	относится и	2	1
367	чувствовать себя	1	1
368	всех видах	1	1
369	а из	1	1
370	выражения в	1	1
371	других областей	1	1
372	и должны	2	1
373	показать что	2	1
374	так при	2	1
375	определить как	2	1
376	не имеют	2	1
377	оно было	2	1
378	целому ряду	1	1
379	обойтись без	1	1
380	их и	2	1
381	а как	3	1
382	со всех	2	1
383	и другими	3	1
384	слагается из	1	1
385	нуждаются в	1	1
386	которую мы	3	1
387	они выходят	1	1
388	вопрос о	1	1
389	в основных	1	1
390	определенности не	2	1
391	но она	2	1
392	жизни как	1	1
393	конечно и	4	1
394	в целом	3	1
395	что можно	1	1
396	в каждой	1	1
397	всех сторон	2	1
398	и самого	1	1
399	значение чем	1	1
400	оценок и	2	1
401	что по	1	1
402	к целому	1	1
403	время в	1	1
404	без всякого	1	1
405	природы и	3	1
406	объект не	4	1
407	но конечно	4	1
408	психических образований	1	1
409	и всего	1	1
410	имеют дела	1	1
411	отказ от	1	1
412	коем случае	2	1
413	к которой	1	1
414	социального события	1	1
415	иметь дело	2	1
416	иногда и	3	1
417	нет и	3	1
418	в свои	1	1
419	контексте в	1	1
420	только путем	1	1
421	конечно совершенно	1	1
422	которые не	1	1
423	во что	1	1
424	определения и	1	1
425	в истории	2	1
426	всего от	1	1
427	независимо от	13	1
428	от содержания	2	1
429	пути в	1	1
430	это ни	1	1
431	нас за	3	1
432	как уже	1	1
433	в противоположность	1	1
434	при чтении	1	1
435	психологии и	1	1
436	но эта	1	1
437	лежит на	1	1
438	бы и	1	1
439	образом и	1	1
440	можно не	1	1
441	бы не	2	1
442	степени и	2	1
443	представления не	1	1
444	более широкие	1	1
445	объекта в	5	1
446	только один	1	1
447	их чисто	1	1
448	о других	1	1
449	как он	1	1
450	высказывания не	1	1
451	на то	2	1
452	если он	1	1
453	в наших	1	1
454	а вовсе	1	1
455	вообще не	7	1
456	к искусству	1	1
457	быть поняты	2	1
458	т д	1	1
459	единство в	1	1
460	и социальной	1	1
461	они служат	1	1
462	не теряет	1	1
463	теперь еще	1	1
464	его от	1	1
465	его можно	1	1
466	но всегда	1	1
467	к выводу	1	1
468	в нее	1	1
469	всех отношениях	1	1
470	не следует	2	1
471	объект и	4	1
472	какое же	1	1
473	может возникнуть	1	1
474	из всех	1	1
475	художественный образ	1	1
476	входит в	8	1
477	мы указывали	1	1
478	и которые	2	1
479	из разновидностей	1	1
480	форму и	2	1
481	этом смысле	3	1
482	и тем	3	1
483	материальной организации	1	1
484	не чем	1	1
485	для них	1	1
486	о которых	2	1
487	далеко не	5	1
488	предметной дифференцированности	1	1
489	их взаимоотношения	1	1
490	место и	2	1
491	не всегда	6	1
492	ему нечего	1	1
493	переходим к	2	1
494	двух направлениях	1	1
495	рода и	1	1
496	никакого смысла	1	1
497	вместо слова	1	1
498	чем в	2	1
499	восприятие конечно	1	1
500	обратимся к	1	1
501	в один	1	1
502	не больше	3	1
503	здесь она	1	1
504	человека конечно	1	1
505	момента в	2	1
506	на первый	2	1
507	с воспоминанием	1	1
508	нужно только	1	1
509	оказываются только	1	1
510	и правильно	1	1
511	художественного творчества	12	1
512	он должен	2	1
513	и без	1	1
514	где мы	1	1
515	что вся	1	1
516	мы называем	1	1
517	как совокупность	1	1
518	чело век	1	1
519	не к	6	1
520	себе а	1	1
521	нашу работу	1	1
522	должны мы	1	1
523	слова мы	1	1
524	нему и	2	1
525	себе самой	1	1
526	является только	1	1
527	на первой	1	1
528	душу и	1	1
529	совершенно новое	1	1
530	в одном	1	1
531	которые в	1	1
532	творчества и	5	1
533	и эти	1	1
534	есть именно	1	1
535	так называемое	1	1
536	однако в	1	1
537	культурной жизни	1	1
538	так называемого	1	1
539	и форма	1	1
540	и необходимость	1	1
541	раз и	2	1
542	иной раз	1	1
543	может обойтись	1	1
544	можно ли	1	1
545	целом а	1	1
546	до известной	1	1
547	это чувство	1	1
548	а иногда	2	1
549	человека но	1	1
550	и должно	3	1
551	отметить что	7	1
552	в содержании	1	1
553	областях культурного	1	1
554	друг друга	1	1
555	словами о	1	1
556	материала в	10	1
557	и отдельных	2	1
558	образом в	1	1
559	же значение	1	1
560	из других	1	1
561	с этическими	2	1
562	не имели	1	1
563	в коем	2	1
564	дело в	2	1
565	в форму	2	1
566	или как	3	1
567	явление в	1	1
568	положение вещей	2	1
569	того в	1	1
570	материале и	1	1
571	правда это	1	1
572	и является	1	1
573	тела и	1	1
574	ли это	1	1
575	значения или	1	1
576	и со	1	1
577	от их	1	1
578	и здесь	2	1
579	представляется нам	2	1
580	приходится уже	1	1
581	мы все	1	1
582	под словом	1	1
583	его с	1	1
584	той или	2	1
585	она же	1	1
586	по сравнению	1	1
587	как некое	1	1
588	о том	4	1
589	и это	3	1
590	приходит к	1	1
591	метода но	1	1
592	свободно и	1	1
593	точками зрения	1	1
594	ни стало	1	1
595	действия и	1	1
596	этический и	1	1
597	то время	1	1
598	в дальнейшем	3	1
599	дано в	3	1
600	материала для	2	1
601	с самими	1	1
602	как с	1	1
603	в произведение	1	1
604	высказывание всегда	1	1
605	художественное творчество	7	1
606	в мире	3	1
607	по аналогии	1	1
608	на нее	1	1
609	не с	4	1
610	ясно что	3	1
611	его совершенно	1	1
612	не критически	2	1
613	мог бы	1	1
614	в результате	1	1
615	можно только	6	1
616	этот объект	2	1
617	мы в	3	1
618	и социальные	1	1
619	формы то	1	1
620	остановимся на	1	1
621	по теории	1	1
622	собою но	1	1
623	ничего не	6	1
624	даже совершенно	1	1
625	утверждает и	1	1
626	о ней	1	1
627	познания и	30	1
628	часто и	1	1
629	в задачу	1	1
630	то есть	46	1
631	а также	1	1
632	высказывание вообще	1	1
633	и выглядит	1	1
634	нашей работы	1	1
635	делает возможным	2	1
636	основе своей	3	1
637	в сфере	1	1
638	чем она	1	1
639	аналогии с	1	1
640	события в	1	1
641	затем в	1	1
642	и во	2	1
643	борьба с	1	1
644	не выходит	1	1
645	в которую	1	1
