N	2gram	Tiupa_Disk_1	EvropaiC
1	таким образом	3	32
2	в том	23	31
3	и в	16	24
4	том что	19	20
5	не может	9	18
6	то что	5	17
7	может быть	17	15
8	все же	3	15
9	точки зрения	3	13
10	самом деле	1	12
11	в своем	6	12
12	до сих	1	12
13	в этом	15	12
14	сих пор	1	12
15	с этим	3	11
16	между тем	4	11
17	во всех	5	10
18	по отношению	9	10
19	так и	8	10
20	как бы	5	10
21	отношению к	9	10
22	культуры в	1	10
23	того же	3	9
24	на то	1	9
25	при этом	13	9
26	как и	16	9
27	в результате	1	9
28	что в	4	9
29	в самом	3	8
30	чем у	1	8
31	с точки	1	8
32	не в	7	8
33	если бы	1	8
34	и все	2	8
35	на самом	1	7
36	из этих	1	7
37	в силу	5	7
38	о которых	1	7
39	или менее	2	7
40	не менее	2	7
41	по своей	11	7
42	к тому	5	7
43	развития культуры	1	7
44	о том	8	7
45	и что	2	7
46	что он	4	7
47	но и	14	7
48	и не	11	7
49	более или	2	7
50	о котором	2	7
51	еще не	14	6
52	и на	5	6
53	тогда как	19	6
54	что касается	2	6
55	в этой	2	6
56	в мире	1	6
57	несмотря на	1	6
58	и при	1	6
59	что и	3	6
60	того что	3	6
61	только в	7	6
62	мы можем	1	6
63	к чужой	1	6
64	с другой	10	6
65	вместе с	1	6
66	отличается от	2	6
67	у них	1	6
68	между двумя	1	5
69	столь же	3	5
70	как к	2	5
71	и к	4	5
72	но в	8	5
73	в которой	1	5
74	что это	1	5
75	в целом	4	5
76	в себе	7	5
77	тому же	5	5
78	не только	28	5
79	но все	1	5
80	не будет	1	5
81	на все	1	5
82	лишь в	4	5
83	и без	2	5
84	что с	2	5
85	в то	3	5
86	как будто	1	5
87	в его	7	5
88	потому что	4	5
89	и их	1	5
90	именно в	3	5
91	далеко не	10	5
92	ничем не	1	5
93	другой стороны	3	5
94	по своему	3	5
95	быть и	1	5
96	и от	1	5
97	случае если	1	5
98	к этому	2	5
99	одним из	2	4
100	и то	1	4
101	то же	7	4
102	из того	1	4
103	между собой	2	4
104	что его	1	4
105	отношение к	4	4
106	хотя и	2	4
107	он не	1	4
108	всех этих	1	4
109	том случае	1	4
110	из них	3	4
111	иначе говоря	2	4
112	в их	5	4
113	тем не	1	4
114	поэтому что	1	4
115	связи с	4	4
116	многие из	1	4
117	никогда не	2	4
118	и т.д	4	4
119	все прочие	1	4
120	отличалась от	1	4
121	в народе	1	4
122	от современной	1	4
123	не есть	2	4
124	в виде	1	4
125	а потому	1	4
126	в конце	1	4
127	в области	1	4
128	а с	5	4
129	его собственной	1	4
130	не могут	1	4
131	этом случае	1	4
132	мы должны	1	4
133	хотя бы	3	4
134	в таком	1	4
135	как известно	1	3
136	вопрос о	1	3
137	но по	1	3
138	не вполне	1	3
139	в данном	5	3
140	очевидно что	1	3
141	в истории	4	3
142	целый ряд	2	3
143	в нашем	1	3
144	в тех	2	3
145	в нем	9	3
146	на земле	1	3
147	и по	2	3
148	и может	1	3
149	заключается в	3	3
150	это не	3	3
151	на почве	1	3
152	в жизни	1	3
153	с тем	1	3
154	и того	3	3
155	одного и	2	3
156	в этих	1	3
157	таким же	1	3
158	представление о	1	3
159	образом в	1	3
160	во всем	1	3
161	от того	1	3
162	должны быть	3	3
163	и это	1	3
164	данном случае	2	3
165	и вообще	2	3
166	с одной	9	3
167	то они	1	3
168	различия между	3	3
169	в начале	2	3
170	различия в	1	3
171	при помощи	1	3
172	и других	1	3
173	может служить	1	3
174	каждый из	1	3
175	отличие от	5	3
176	прежде всего	11	3
177	в связи	1	3
178	и потому	3	3
179	целом ряде	1	3
180	случаях когда	1	3
181	не то	1	3
182	тем более	1	3
183	а в	5	3
184	от своей	1	2
185	в котором	5	2
186	и до	1	2
187	со своей	1	2
188	также и	3	2
189	и состоит	1	2
190	в сущности	2	2
191	с ее	2	2
192	и ее	2	2
193	мы и	1	2
194	свою очередь	3	2
195	что оба	1	2
196	во всяком	2	2
197	к такому	2	2
198	но как	2	2
199	в сторону	4	2
200	что они	1	2
201	есть в	2	2
202	и те	1	2
203	вследствие этого	3	2
204	этот процесс	1	2
205	что она	1	2
206	не следует	2	2
207	том чтобы	2	2
208	которые уже	1	2
209	же касается	2	2
210	то есть	20	2
211	же образом	1	2
212	в них	4	2
213	со своими	1	2
214	мы видели	1	2
215	потому и	1	2
216	в на	1	2
217	что до	1	2
218	в которых	4	2
219	образом и	1	2
220	и более	1	2
221	том и	1	2
222	то с	2	2
223	тем самым	1	2
224	на него	1	2
225	в процессе	5	2
226	в основе	7	2
227	говорить о	1	2
228	мы все	1	2
229	этих двух	1	2
230	на этом	2	2
231	что на	1	2
232	всех прочих	1	2
233	имеет место	3	2
234	если же	1	2
235	о них	1	2
236	как мы	2	2
237	как не	3	2
238	рассматривать как	2	2
239	только при	1	2
240	чтобы быть	1	2
241	в себя	5	2
242	культуры для	1	2
243	на том	2	2
244	и сам	1	2
245	те же	1	2
246	из одного	1	2
247	в виду	2	2
248	а к	1	2
249	сводится к	5	2
250	в другом	2	2
251	же время	4	2
252	к нему	1	2
253	во втором	4	2
254	них в	2	2
255	было бы	1	2
256	то и	1	2
257	со временем	1	2
258	к своим	1	2
259	это обстоятельство	1	2
260	для него	4	2
261	всяком случае	1	2
262	к ним	3	2
263	при отсутствии	1	2
264	к той	3	2
265	должны рассматриваться	1	2
266	не было	7	2
267	однако это	2	2
268	представляет собою	1	2
269	себя и	1	2
270	одной стороны	9	2
271	одну из	2	2
272	отнюдь не	8	2
273	при более	1	2
274	ближе к	1	2
275	в одно	1	2
276	в частности	9	2
277	независимо от	1	2
278	но не	11	2
279	что же	2	2
280	этого слова	1	2
281	только то	1	2
282	с этой	1	2
283	и тому	1	2
284	приобщения к	1	2
285	но для	1	2
