N	3gram	Ircho_Kome_2	VerxiiNi
1	вместе с тем	4	8
2	с одной стороны	2	7
3	с точки зрения	1	6
4	во всяком случае	2	6
5	более или менее	1	5
6	в том числе	3	5
7	до сих пор	2	5
8	друг с другом	2	5
9	для того чтобы	4	5
10	о том что	4	4
11	том числе и	1	4
12	но все же	1	4
13	к тому же	10	4
14	так или иначе	3	3
15	точно так же	1	3
16	в связи с	3	3
17	тем не менее	1	3
18	в том что	5	3
19	может быть даже	1	2
20	как бы то	1	2
21	то ни было	2	2
22	по сравнению с	1	2
23	то что он	2	2
24	бы то ни	2	2
25	то же время	3	2
26	с самого начала	1	2
27	той или иной	1	2
28	в то же	3	2
29	на пути к	2	2
30	в так называемой	1	1
31	найти его в	1	1
32	пути к достижению	1	1
33	в силу этого	2	1
34	это не означает	1	1
35	чуть ли не	2	1
36	по отношению к	3	1
37	одной из этих	1	1
38	в самом деле	1	1
39	в соответствии с	1	1
40	обстоит дело с	1	1
41	же время он	1	1
42	можем составить себе	1	1
43	и в то	1	1
44	в первую очередь	3	1
45	а вместе с	1	1
46	целый ряд черт	1	1
47	мы можем составить	1	1
48	всяком случае еще	1	1
49	в этой области	1	1
50	но не следует	1	1
51	с тем какое	1	1
52	в первом случае	1	1
53	как видно из	1	1
54	на этот раз	4	1
55	на задний план	1	1
56	и одной из	1	1
57	в отличие от	2	1
58	одно из двух	1	1
59	потому что в	1	1
60	с другой стороны	1	1
61	речь идет о	2	1
62	сих пор не	1	1
63	у него в	1	1
64	не может быть	1	1
65	в то время	3	1
66	всяком случае в	1	1
67	так и в	1	1
68	в свою очередь	1	1
69	во всех других	1	1
70	именно в эту	1	1
71	же что и	1	1
72	после того как	2	1
73	что и в	2	1
