N	2gram	Propp_Russ_1	ViktorSh
1	и в	36	2
2	том что	19	2
3	в том	17	2
4	под влиянием	1	1
5	и том	1	1
6	и не	6	1
7	и его	1	1
8	потому что	10	1
9	же с	1	1
10	веселовского в	1	1
11	самом деле	1	1
12	пишет чем	1	1
13	все это	6	1
14	по поводу	1	1
15	главным образом	2	1
16	в их	4	1
17	дело в	1	1
18	в частности	2	1
19	так в	4	1
20	образом из	1	1
21	же все	1	1
22	говоря о	1	1
23	в которых	5	1
24	деле как	1	1
25	для них	3	1
26	зависят от	1	1
27	только в	4	1
28	то же	3	1
29	на заре	1	1
30	говорится в	1	1
31	так как	15	1
32	далеко не	3	1
33	не будем	3	1
34	же месте	1	1
35	но это	4	1
36	в этом	12	1
37	одном и	1	1
38	они на	1	1
39	имеется в	1	1
40	от общего	1	1
41	а только	1	1
42	по существу	4	1
43	к этому	4	1
44	две большие	1	1
45	том же	2	1
