N	3gram	Vinokur_Vv_1	slovoVRo
1	и т п	5	33
2	не может быть	8	15
3	в отличие от	3	12
4	в этом случае	6	6
5	в значительной степени	1	6
6	с одной стороны	4	5
7	той или иной	1	5
8	по отношению к	4	4
9	в зависимости от	1	4
10	то же время	5	4
11	но все же	3	4
12	в то же	5	4
13	в том что	12	4
14	с точки зрения	2	3
15	сама по себе	3	3
16	в этом отношении	3	3
17	в собственном смысле	2	3
18	но в то	3	3
19	между языком и	1	3
20	одной стороны и	3	3
21	в свою очередь	1	2
22	а также и	2	2
23	не только о	1	2
24	и в особенности	4	2
25	до сих пор	5	2
26	хотя бы и	2	2
27	может быть и	2	2
28	не только в	4	2
29	тот факт что	1	2
30	не могут быть	2	2
31	во всяком случае	3	2
32	как уже сказано	1	2
33	один из важнейших	1	2
34	в связи с	2	2
35	как мы уже	1	2
36	для того чтобы	21	2
37	во всех его	1	2
38	и т д	37	2
39	в точном смысле	1	2
40	но независимо от	1	1
41	и не в	1	1
42	мы говорим о	1	1
43	имеет дело с	2	1
44	в чем же	3	1
45	между тем именно	1	1
46	все зависит от	1	1
47	том что в	1	1
48	как один из	1	1
49	в этих случаях	2	1
50	также и в	2	1
51	в средние века	1	1
52	что одним из	1	1
53	эта установка на	1	1
54	дело не только	1	1
55	не влечет за	2	1
56	как это было	1	1
57	и в чисто	1	1
58	но и в	1	1
59	и в дальнейшем	1	1
60	самого по себе	1	1
61	в лучшем случае	1	1
62	как он сам	1	1
63	в применении к	6	1
64	на этой почве	2	1
65	а не только	1	1
66	не входят в	1	1
67	о слове но	1	1
68	все это и	1	1
69	и не могут	2	1
70	не до конца	2	1
71	не только как	3	1
72	бы и не	1	1
73	в нем не	1	1
74	в них и	1	1
75	таково одно из	1	1
76	в целом ряде	2	1
77	с другой стороны	5	1
78	дошедшие до нас	1	1
79	в нем есть	1	1
80	тем или иным	1	1
81	все то что	1	1
82	в широком смысле	7	1
83	тем не менее	8	1
84	о том что	12	1
85	того или иного	1	1
86	а в том	1	1
87	в частности в	1	1
88	прежде всего он	1	1
89	вовсе не в	2	1
90	большей или меньшей	2	1
91	с самого начала	1	1
92	только о слове	1	1
93	но в этом	1	1
94	языка как такового	1	1
95	нужно сказать что	1	1
96	уже не только	1	1
97	тех или иных	3	1
98	в русском языке	1	1
99	в них не	1	1
100	все это не	1	1
101	свое выражение в	1	1
102	как мы видели	2	1
103	влечет за собой	2	1
104	идет уже не	1	1
