N	2gram	Bakhtin_Pr_5	Komedia
1	и в	35	22
2	v в	1	13
3	том что	3	12
4	в г	1	11
5	но и	14	11
6	в том	5	11
7	не только	10	10
8	в то	11	10
9	из них	3	10
10	как и	18	9
11	может быть	14	9
12	таким образом	7	8
13	о том	2	8
14	и его	14	8
15	в одном	6	8
16	и не	27	8
17	в этой	1	7
18	и других	1	7
19	то же	15	6
20	тому же	3	6
21	и по	2	6
22	не в	10	6
23	в отношении	9	6
24	ни в	2	6
25	в конце	5	6
26	что он	24	6
27	к тому	6	6
28	а в	7	6
29	в которой	2	6
30	что в	6	6
31	как в	5	5
32	то время	1	5
33	на его	4	5
34	при этом	2	5
35	во время	5	5
36	iv в	2	5
37	потому что	8	5
38	со своим	2	5
39	так и	8	5
40	еще в	4	5
41	и даже	5	5
42	между тем	4	5
43	один из	1	5
44	уже в	3	5
45	в его	21	5
46	прежде всего	12	5
47	с другой	4	5
48	все это	14	5
49	другой стороны	3	5
50	из его	2	4
51	время от	1	4
52	время как	2	4
53	что они	6	4
54	но в	19	4
55	в нем	16	4
56	и вот	4	4
57	в другом	12	4
58	на протяжении	5	4
59	известно что	1	4
60	участие в	1	4
61	точки зрения	7	4
62	в котором	3	4
63	в их	1	4
64	так как	4	4
65	как мы	8	4
66	на него	5	4
67	же время	10	4
68	так в	2	4
69	что и	3	4
70	действующих лиц	1	4
71	в качестве	1	4
72	мы можем	2	4
73	тем что	4	4
74	и особенно	1	4
75	в результате	1	4
76	конце концов	3	4
77	же в	1	4
78	к этому	1	4
79	мы не	1	3
80	и на	6	3
81	в чем	4	3
82	с одной	1	3
83	в этом	14	3
84	все же	8	3
85	хотя и	2	3
86	и как	2	3
87	в целом	3	3
88	главным образом	1	3
89	да и	5	3
90	он не	13	3
91	здесь мы	1	3
92	и с	12	3
93	его в	4	3
94	в них	4	3
95	и ее	1	3
96	вопрос о	2	3
97	не менее	2	3
98	однако в	2	3
99	на всю	2	3
100	даже в	5	3
101	по отношению	6	3
102	ничего не	3	3
103	за исключением	2	3
104	этом отношении	1	3
105	остаться в	1	3
106	и сам	7	3
107	после того	1	3
108	тот же	4	3
109	одной из	2	3
110	только в	6	3
111	и у	4	3
112	в виде	7	3
113	в начале	3	3
114	отношение к	6	3
115	у него	4	3
116	каждый из	2	3
117	как раз	4	3
118	к которому	1	3
119	все более	1	3
120	так же	7	3
121	по своему	4	3
122	не удалось	1	3
123	в любом	1	3
124	не мог	3	3
125	здесь в	2	3
126	всего в	1	3
127	его творчества	1	3
128	и все	15	3
129	отношению к	7	3
130	того же	1	2
131	тех же	1	2
132	здесь и	1	2
133	ту же	1	2
134	в доме	1	2
135	в сущности	14	2
136	слова о	4	2
137	он был	1	2
138	столь же	2	2
139	бы то	3	2
140	совсем не	3	2
141	отличие от	2	2
142	за пределы	3	2
143	чем же	1	2
144	несколько раз	2	2
145	независимо от	1	2
146	что касается	1	2
147	что по	1	2
148	что всего	1	2
149	в самом	6	2
150	раз в	2	2
151	в себе	5	2
152	не следует	1	2
153	в первой	1	2
154	на этом	2	2
155	то ни	3	2
156	на все	1	2
157	было бы	3	2
158	ни одной	1	2
159	этим и	1	2
160	мы видели	2	2
161	такой же	3	2
162	которую он	1	2
163	и без	4	2
164	всяком случае	4	2
165	почти не	1	2
166	и самого	1	2
167	но он	4	2
168	тем не	1	2
169	власть в	1	2
170	правда в	1	2
171	одна из	1	2
172	это еще	1	2
173	при всем	1	2
174	в форму	1	2
175	к ней	2	2
176	по своей	2	2
177	ему и	1	2
178	как будто	4	2
179	ли это	2	2
180	одному из	1	2
181	же самое	1	2
182	протяжении всего	4	2
183	для себя	7	2
184	с ее	3	2
185	на нем	1	2
186	всего этого	3	2
187	в себя	1	2
188	что у	6	2
189	времени и	2	2
190	мог бы	2	2
191	до начала	1	2
192	для этого	2	2
193	собой и	3	2
194	образом в	1	2
195	находится в	1	2
196	именно потому	2	2
197	нас в	1	2
198	и во	3	2
199	путь к	1	2
200	от них	1	2
201	в форме	3	2
202	и мир	2	2
203	еще не	7	2
204	в эти	2	2
205	для всех	1	2
206	из которых	1	2
207	а то	1	2
208	мы знаем	2	2
209	вовсе не	7	2
210	в других	1	2
211	точек зрения	2	2
212	и из	1	2
213	до сих	1	2
214	еще и	1	2
215	на которые	1	2
216	то и	1	2
217	до конца	4	2
218	у других	1	2
219	должна была	2	2
220	не может	18	2
221	вместе с	2	2
222	но не	6	2
223	к нему	13	2
224	сих пор	1	2
225	но это	6	2
226	или в	2	2
227	будто бы	2	2
228	только что	3	2
229	ни было	3	2
230	то что	10	2
231	в свою	1	2
232	где он	4	2
233	в своих	1	2
234	во всяком	4	2
235	а между	3	1
236	них он	2	1
237	женщины и	1	1
238	в применении	1	1
239	зависимость от	2	1
240	чтобы не	2	1
241	в этот	2	1
242	сам по	2	1
243	на самом	9	1
244	принципы построения	1	1
245	такое же	2	1
246	между двумя	2	1
247	его же	2	1
248	поэтому он	3	1
249	в нашу	1	1
250	и больше	1	1
251	высшей степени	3	1
252	уже по	1	1
253	по его	1	1
254	одним из	1	1
255	мы уже	8	1
256	той же	2	1
257	со всех	1	1
258	которым он	4	1
259	а уж	1	1
260	остается почти	1	1
261	героя нашего	1	1
262	же ты	2	1
263	совпадает с	2	1
264	ему в	1	1
265	то это	1	1
266	по замыслу	11	1
267	и заставляет	1	1
268	как впрочем	1	1
269	зависимости от	1	1
270	мы здесь	1	1
271	в мире	4	1
272	и он	2	1
273	всех сторон	1	1
274	в ней	2	1
275	проявляется в	1	1
276	в маске	1	1
277	собой в	1	1
278	вкратце остановиться	1	1
279	не найдем	1	1
280	быть в	2	1
281	создает в	1	1
282	служит для	1	1
283	во всех	3	1
284	но конечно	2	1
285	себе к	1	1
286	сказать и	1	1
287	он может	1	1
288	отказ от	1	1
289	к которой	1	1
290	друг на	2	1
291	не входит	1	1
292	он но	1	1
293	не все	1	1
294	ответ на	1	1
295	отнюдь не	1	1
296	вопросов которые	1	1
297	с этим	3	1
298	с собой	2	1
299	из уст	1	1
300	в своем	2	1
301	всей этой	1	1
302	смысле этого	2	1
303	когда он	3	1
304	говорит что	1	1
305	ему что	1	1
306	его к	3	1
307	и к	12	1
308	над собой	4	1
309	внешних признаков	1	1
310	то в	2	1
311	за собой	3	1
312	нему с	1	1
313	что это	4	1
314	тон в	1	1
