N	2gram	Voloshinov_2	EvropaiC
1	таким образом	14	32
2	в том	7	31
3	и в	19	24
4	том что	10	20
5	все эти	3	19
6	не может	18	18
7	то что	4	17
8	может быть	28	15
9	все же	5	15
10	точки зрения	17	13
11	самом деле	9	12
12	в своем	2	12
13	до сих	3	12
14	в этом	15	12
15	сих пор	3	12
16	с этим	3	11
17	между тем	6	11
18	все это	1	11
19	во всех	6	10
20	по отношению	8	10
21	так и	10	10
22	мы знаем	2	10
23	как бы	19	10
24	отношению к	8	10
25	того же	5	9
26	на то	4	9
27	при этом	9	9
28	как и	9	9
29	с другом	1	9
30	друг с	1	9
31	что в	2	9
32	в самом	6	8
33	касается до	1	8
34	с точки	13	8
35	не в	10	8
36	ясно что	1	8
37	если бы	11	8
38	так же	5	8
39	и все	6	8
40	на самом	7	7
41	из этих	1	7
42	из элементов	1	7
43	в силу	1	7
44	о которых	1	7
45	или менее	2	7
46	не менее	1	7
47	национальной культуры	1	7
48	в психике	1	7
49	того чтобы	6	7
50	к тому	6	7
51	о том	3	7
52	и что	1	7
53	что он	4	7
54	для того	6	7
55	но и	10	7
56	и не	19	7
57	более или	2	7
58	о котором	1	7
59	из этого	1	7
60	должна быть	4	6
61	начало и	1	6
62	еще не	3	6
63	и на	5	6
64	в этой	3	6
65	несмотря на	1	6
66	от друга	1	6
67	с ним	1	6
68	что и	3	6
69	народов и	1	6
70	того что	4	6
71	только в	8	6
72	все они	1	6
73	так что	1	6
74	так как	3	6
75	мы можем	6	6
76	к чужой	1	6
77	друг от	1	6
78	с другой	3	6
79	вместе с	2	6
80	у них	1	6
81	как на	2	6
82	между двумя	1	5
83	столь же	3	5
84	но в	7	5
85	в которой	1	5
86	что это	2	5
87	в целом	1	5
88	в себе	4	5
89	тому же	2	5
90	не только	13	5
91	и если	1	5
92	но все	1	5
93	не будет	3	5
94	что все	1	5
95	и с	2	5
96	на все	2	5
97	лишь в	14	5
98	его в	7	5
99	что с	1	5
100	в то	8	5
101	по сравнению	1	5
102	в его	5	5
103	потому что	1	5
104	и их	4	5
105	у него	2	5
106	именно в	2	5
107	далеко не	2	5
108	другой стороны	1	5
109	сравнению с	1	5
110	быть и	6	5
111	и для	7	5
112	и от	3	5
113	к этому	5	5
114	одним из	2	4
115	и то	3	4
116	то же	16	4
117	мы уже	6	4
118	из того	1	4
119	между собой	1	4
120	что его	1	4
121	данный момент	1	4
122	хотя и	1	4
123	он не	3	4
124	всех этих	1	4
125	из них	1	4
126	должно быть	3	4
127	и конец	1	4
128	в их	5	4
129	выше мы	1	4
130	тем не	1	4
131	что эта	1	4
132	и проч	1	4
133	связи с	13	4
134	никогда не	7	4
135	лишь при	2	4
136	и т.д	4	4
137	представление об	1	4
138	и у	2	4
139	если мы	6	4
140	не есть	3	4
141	в виде	2	4
142	не так	2	4
143	а с	2	4
144	которых мы	1	4
145	не могут	1	4
146	в течение	1	4
147	в состоянии	1	4
148	этом случае	1	4
149	мы должны	1	4
150	ибо в	1	4
151	хотя бы	6	4
152	совершенно не	5	4
153	в таком	7	4
154	как известно	1	3
155	слагается из	2	3
156	вопрос о	2	3
157	но по	2	3
158	в данном	5	3
159	в истории	3	3
160	и наконец	1	3
161	так или	1	3
162	в нашем	2	3
163	в тех	2	3
164	к которой	1	3
165	в нем	11	3
166	в совершенно	1	3
167	на этой	5	3
168	заключается в	1	3
169	это не	4	3
170	на почве	9	3
171	в жизни	2	3
172	с тем	1	3
173	и того	5	3
174	одного и	4	3
175	в этих	3	3
176	образом в	1	3
177	в разных	1	3
178	а лишь	1	3
179	за ними	1	3
180	от того	1	3
181	у нас	3	3
182	должны быть	2	3
183	что оно	3	3
184	как для	1	3
185	и это	3	3
186	то ни	5	3
187	и вообще	1	3
188	с одной	3	3
189	сомнению что	1	3
190	тот же	1	3
191	конечно не	4	3
192	в начале	2	3
193	и других	1	3
194	отличие от	3	3
195	является ли	1	3
196	или иначе	1	3
197	прежде всего	7	3
198	а наоборот	1	3
199	же не	1	3
200	в связи	7	3
201	ко всем	2	3
202	и потому	2	3
203	мы сказали	3	3
204	не подлежит	1	3
205	от него	2	3
206	бы в	4	3
207	тем более	5	3
208	только что	3	3
209	а в	3	3
210	культуры как	2	3
211	можно назвать	1	3
212	в котором	3	2
213	и до	3	2
214	что эти	1	2
215	входящих в	1	2
216	также и	1	2
217	теперь мы	2	2
218	почти все	1	2
219	в сущности	14	2
220	и ее	4	2
221	мы и	1	2
222	в ней	3	2
223	свою очередь	5	2
224	бы то	4	2
225	во всяком	3	2
226	но как	2	2
227	только тогда	1	2
228	вступают в	1	2
229	него с	1	2
230	что они	2	2
231	части в	1	2
232	есть в	1	2
233	и где	1	2
234	поколения в	1	2
235	то в	1	2
236	этот процесс	1	2
237	широком смысле	1	2
238	что она	1	2
239	не следует	2	2
240	однако при	1	2
241	о которой	1	2
242	из него	2	2
243	же касается	1	2
244	конечно в	3	2
245	то есть	2	2
246	как тот	1	2
247	только одно	1	2
248	в них	1	2
249	нет в	1	2
250	в общей	1	2
251	и особенно	2	2
252	мы видели	4	2
253	следует что	4	2
254	ответить на	1	2
255	точку зрения	2	2
256	и более	7	2
257	тому что	4	2
258	тогда когда	1	2
259	одна из	7	2
260	в процессе	18	2
261	в основе	9	2
262	говорить о	1	2
263	мы все	1	2
264	в самой	1	2
265	и весь	1	2
266	этих двух	1	2
267	в противоречие	1	2
268	ему и	1	2
269	если же	2	2
270	должен быть	2	2
271	как мы	15	2
272	только при	1	2
273	чтобы быть	1	2
274	в себя	1	2
275	на том	1	2
276	и сам	1	2
277	на нее	1	2
278	из одного	4	2
279	все его	2	2
280	сводится к	2	2
281	в другом	3	2
282	и поэтому	1	2
283	другими словами	2	2
284	чем их	1	2
285	же время	8	2
286	к нему	5	2
287	которой мы	2	2
288	было бы	4	2
289	но с	1	2
290	каждого человека	2	2
291	и так	1	2
292	они могут	2	2
293	жизни и	2	2
294	ни было	6	2
295	рано или	1	2
296	одно из	1	2
297	для него	9	2
298	всяком случае	2	2
299	вовсе не	11	2
300	к ним	1	2
301	из нее	1	2
302	и только	1	2
303	не было	3	2
304	или поздно	1	2
305	и из	1	2
306	себя и	1	2
307	одной стороны	3	2
308	отнюдь не	8	2
309	а всякое	1	2
310	во внимание	1	2
311	все то	2	2
312	него в	1	2
313	независимо от	2	2
314	но не	2	2
315	что же	1	2
316	из этой	1	2
317	этого слова	5	2
318	такой народ	1	2
319	в гораздо	1	2
320	при условии	1	2
321	к двум	1	2
322	приобщения к	1	2
323	но для	2	2
324	говорить что	1	2
325	с ними	4	2
326	между ними	2	2
327	работы и	1	2
328	не знает	2	2
329	в свою	6	2
330	они не	2	2
331	гораздо более	1	2
332	смысле слова	5	1
333	например в	1	1
334	предполагает что	1	1
335	науки о	2	1
336	это и	1	1
337	основан на	1	1
338	конечно невозможно	1	1
339	исходит из	3	1
340	все те	4	1
341	высшей степени	3	1
342	в зависимости	2	1
343	той же	3	1
344	отношения к	2	1
345	а как	4	1
346	на тех	1	1
347	из всего	2	1
348	мы не	2	1
349	случае за	1	1
350	сами же	1	1
351	имеет свою	1	1
352	чрезвычайно слабо	1	1
353	в учении	2	1
354	на себя	1	1
355	первобытных народов	1	1
356	что вопрос	1	1
357	сознании данной	1	1
358	группы и	2	1
359	социальной группы	6	1
360	образом оказывается	1	1
361	зависимости от	2	1
362	и самого	2	1
363	всем этим	2	1
364	иное как	2	1
365	в широком	1	1
366	в различных	3	1
367	так если	1	1
368	всю свою	1	1
369	с его	8	1
370	играет роль	1	1
371	бы не	2	1
372	а следовательно	1	1
373	подходить к	1	1
374	помимо этого	1	1
375	и другие	1	1
376	а только	1	1
377	если в	1	1
378	со стороны	1	1
379	мы дадим	1	1
380	в центре	1	1
381	как в	1	1
382	что именно	1	1
383	однако не	1	1
384	перед нами	3	1
385	кроме того	1	1
386	и как	6	1
387	его к	2	1
388	тем же	4	1
389	и хотя	1	1
390	в этот	1	1
391	не приходится	1	1
392	бы с	1	1
393	у каждого	1	1
394	является лишь	4	1
395	ни одна	1	1
396	отчасти и	1	1
397	нами в	3	1
398	не могла	1	1
399	чем сильнее	1	1
400	как оно	1	1
401	главным образом	1	1
402	но именно	1	1
403	являются лишь	2	1
404	силой и	2	1
405	перестает быть	1	1
406	весьма сложного	1	1
407	в узком	2	1
408	к одному	1	1
409	и вот	1	1
410	произведения в	1	1
411	лишь с	2	1
412	уже сказали	1	1
413	без исключения	2	1
414	одно и	3	1
415	этом последнем	2	1
416	в каждом	1	1
417	здесь мы	3	1
418	различие между	2	1
419	в каком-нибудь	1	1
420	является конечно	2	1
421	входит в	1	1
422	это было	2	1
423	с другими	3	1
424	у современных	1	1
425	уже знаем	2	1
426	он есть	1	1
427	лишь на	5	1
428	и тем	4	1
429	делает его	2	1
430	ведь если	4	1
431	кажется что	1	1
432	рядом с	2	1
433	разобранные нами	2	1
434	их взаимоотношения	1	1
435	этого не	1	1
436	которой он	1	1
437	с большою	1	1
438	такою же	1	1
439	остается в	1	1
440	нее и	1	1
441	бы на	1	1
442	в своей	3	1
443	соответствующие им	1	1
444	что такое	1	1
445	нас не	2	1
446	и помимо	1	1
447	бы к	1	1
448	социальная среда	1	1
449	большей степени	1	1
450	на первых	1	1
451	не к	3	1
452	иначе как	1	1
453	свой смысл	1	1
