N	3gram	Propp_Morf_1	Myshleni
1	с точки зрения	2	21
2	для того чтобы	2	18
3	в этом случае	8	14
4	в том что	3	13
5	с самого начала	1	7
6	к тому что	3	6
7	по своему строению	1	5
8	по отношению к	4	5
9	в данном случае	1	5
10	с одной стороны	1	5
11	не может быть	9	4
12	о том что	1	4
13	на то что	2	4
14	состоит в том	2	3
15	до сих пор	1	3
16	в этом отношении	1	3
17	в собственном смысле	3	3
18	одно и то	1	3
19	мы не можем	1	3
20	в первом случае	3	3
21	мы нашли что	1	3
22	и то же	1	3
23	тем не менее	4	3
24	во втором случае	1	3
25	можно сказать что	1	3
26	как и в	2	3
27	но то что	1	2
28	на самом деле	4	2
29	не представляет собой	1	2
30	том что он	1	2
31	в большинстве случаев	3	2
32	точно так же	1	2
33	чем перейти к	1	2
34	то время как	3	2
35	в то время	3	2
36	приводит к тому	1	2
37	в этом и	1	2
38	прежде чем перейти	1	2
39	друг с другом	1	2
40	к этому же	1	1
41	должно быть поставлено	1	1
42	и есть то	1	1
43	в обоих случаях	2	1
44	если в одном	1	1
45	подобно тому как	5	1
46	а не по	1	1
47	самого начала в	1	1
48	тем что она	1	1
49	во всей своей	1	1
50	как мы увидим	4	1
51	друг на друга	2	1
52	все же в	1	1
53	но если это	2	1
54	на первом месте	1	1
55	должны привести к	1	1
56	в одном случае	1	1
57	здесь как и	1	1
58	а затем о	1	1
59	в высшей степени	1	1
60	потому что в	1	1
61	с другой стороны	4	1
62	если это так	2	1
63	одновременно с этим	1	1
64	а во всех	1	1
65	не могут быть	2	1
66	она все же	1	1
67	приводят к тому	1	1
68	во всяком случае	2	1
69	вместо того чтобы	1	1
70	должно исходить из	1	1
71	что несмотря на	1	1
72	этом случае не	2	1
73	мысль о необходимости	1	1
74	и таким образом	2	1
75	к другу и	2	1
76	друг к другу	2	1
77	так например в	1	1
78	мы увидим ниже	5	1
79	из которых каждый	1	1
80	теперь перейти к	1	1
81	таким образом мы	5	1
82	того чтобы получить	1	1
83	это значит что	1	1
84	этом случае он	1	1
85	могут быть названы	1	1
86	так как эта	1	1
87	тот момент когда	1	1
88	может входить в	1	1
89	после того как	1	1
90	иначе чем это	1	1
91	но все же	3	1
92	с помощью этого	1	1
93	что и в	1	1
