N	2gram	Tiupa_Lite_1	StatiiOP
1	борисе годунове	1	32
2	и в	8	29
3	в борисе	1	28
4	том что	14	27
5	в том	16	27
6	в этом	12	21
7	не только	24	19
8	но и	17	19
9	что в	3	19
10	пушкина в	2	18
11	о том	2	17
12	пушкиным в	1	14
13	в его	7	13
14	что он	5	13
15	у пушкина	1	12
16	между прочим	1	12
17	в которой	1	11
18	то что	10	11
19	таким образом	3	10
20	к тому	2	10
21	в своем	11	9
22	он не	1	9
23	потому что	3	9
24	так и	4	9
25	этом отношении	2	9
26	и не	12	9
27	но в	3	8
28	как раз	4	8
29	по поводу	2	8
30	я не	7	7
31	в самом	3	7
32	так например	1	7
33	но все	1	7
34	в г	1	7
35	в своей	4	7
36	в котором	1	7
37	не столько	5	7
38	в виду	3	7
39	с тем	1	7
40	вместе с	1	7
41	одним из	5	6
42	вопрос о	1	6
43	и на	1	6
44	все же	4	6
45	вовсе не	1	6
46	и его	4	6
47	и что	1	6
48	в одном	1	6
49	до сих	1	6
50	было бы	2	5
51	точки зрения	6	5
52	в русской	10	5
53	была бы	1	5
54	того что	6	5
55	между тем	2	5
56	в качестве	17	5
57	своего рода	11	5
58	прежде всего	11	5
59	а не	16	5
60	в той	1	5
61	как бы	7	5
62	сих пор	1	5
63	если б	1	4
64	по словам	1	4
65	в нем	2	4
66	в другом	2	4
67	и с	1	4
68	не в	8	4
69	дело в	3	4
70	и о	1	4
71	связи с	6	4
72	в значении	1	4
73	для него	2	4
74	с другой	3	4
75	именно в	1	4
76	в частности	15	4
77	своего времени	2	4
78	а как	2	4
79	в романе	1	4
80	к этому	1	4
81	например в	3	3
82	же как	1	3
83	самом деле	2	3
84	на самом	1	3
85	идет о	1	3
86	в году	13	3
87	в их	3	3
88	хотя бы	2	3
89	здесь между	1	3
90	и он	1	3
91	не был	1	3
92	но не	4	3
93	могло быть	2	3
94	в общем	1	3
95	как в	5	3
96	не было	3	3
97	тому же	2	3
98	в начале	1	3
99	в россии	2	3
100	из них	4	3
101	самого пушкина	3	3
102	не мог	3	3
103	в эту	1	3
104	в этих	1	3
105	одном из	1	3
106	в поэме	1	3
107	не менее	7	3
108	на рубеже	3	3
109	самого начала	1	3
110	что ему	3	3
111	одной из	1	3
112	иметь в	1	3
113	не могло	2	3
114	никогда не	4	3
115	на себя	2	3
116	и по	1	3
117	тем что	2	3
118	с самого	1	3
119	на нее	1	3
120	столько же	1	3
121	и здесь	1	3
122	на вопрос	1	3
123	в пользу	1	3
124	наконец в	1	3
125	ср у	1	3
126	борьбы с	1	3
127	кажется что	1	3
128	всяком случае	2	3
129	и даже	3	3
130	еще и	3	3
131	а с	1	3
132	до конца	1	3
133	сколько в	1	3
134	xix века	6	3
135	другой стороны	1	3
136	не является	2	3
137	отношении к	1	3
138	во всяком	3	3
139	как известно	1	2
140	также и	3	2
141	до него	1	2
142	того же	2	2
143	только потому	1	2
144	тем же	3	2
145	из его	2	2
146	то же	5	2
147	поэзии и	2	2
148	для своего	2	2
149	в полной	1	2
150	это время	1	2
151	бы то	1	2
152	с его	5	2
153	и который	1	2
154	тогда как	13	2
155	отличие от	5	2
156	что они	1	2
157	на то	1	2
158	и я	6	2
159	в одной	1	2
160	и как	1	2
161	все эти	2	2
162	в этой	4	2
163	в себе	7	2
164	как он	2	2
165	в статье	1	2
166	при этом	19	2
167	если бы	1	2
168	тем не	2	2
169	не к	2	2
170	и более	1	2
171	значительной степени	1	2
172	том же	3	2
173	то ни	1	2
174	а затем	1	2
175	его в	3	2
176	это было	1	2
177	ее появления	1	2
178	на почве	2	2
179	в это	1	2
180	само собою	1	2
181	как и	6	2
182	несмотря на	3	2
183	в москве	2	2
184	в один	1	2
185	что такое	2	2
186	в отношении	1	2
187	с точки	2	2
188	в отличие	5	2
189	что я	2	2
190	не могли	1	2
191	даже в	2	2
192	xviii века	2	2
193	в то	5	2
194	в стихи	1	2
195	дело не	2	2
196	не имеет	1	2
197	не своей	1	2
198	это еще	1	2
199	и всегда	1	2
200	не может	5	2
201	только с	1	2
202	в области	3	2
203	в каком	1	2
204	например что	1	2
205	искусства и	5	2
206	поэт не	1	2
207	на это	2	2
208	в ее	1	2
209	этому поводу	1	2
210	и сам	6	2
211	еще в	4	2
212	он был	1	2
213	к подлинному	1	2
214	а также	5	2
215	другом месте	1	2
216	разумеется в	1	2
217	никак не	1	2
218	в значительной	1	2
219	борьба с	1	2
220	что и	1	2
221	примирения с	1	2
222	в заключительной	1	2
223	как например	1	2
224	чем он	1	2
225	в какой	1	2
226	только в	8	2
227	бы ни	1	2
228	по этому	2	2
229	очевидно что	1	2
230	в конце	4	2
231	так как	1	2
232	может быть	13	2
233	в них	1	2
234	в особенности	1	2
235	со стороны	4	2
236	с той	1	2
237	из таких	1	2
238	и др	3	2
239	в обращении	1	2
240	в некоторых	1	2
241	не на	2	2
242	ниже в	1	2
243	или с	1	2
244	если не	1	2
245	эти слова	1	2
246	как это	8	2
247	к своему	1	2
248	в данном	5	2
249	такого рода	10	2
250	по существу	1	2
251	это были	1	2
252	с этой	5	2
253	столько в	1	2
254	той мере	1	2
255	а к	1	2
256	годунове и	1	2
257	не должен	3	2
258	только что	1	2
259	во время	1	2
260	ни было	1	2
261	сказать что	1	2
262	совершенно не	1	2
263	они не	1	2
264	ту же	2	1
265	с жизнью	1	1
266	и то	2	1
267	к своей	2	1
268	всего это	1	1
269	которого является	1	1
270	отношения между	2	1
271	дело однако	1	1
272	своего романа	1	1
273	по преимуществу	4	1
274	для понимания	2	1
275	в зависимости	1	1
276	века в	3	1
277	той же	3	1
278	мы не	1	1
279	есть нечто	1	1
280	целый мир	2	1
281	в сущности	2	1
282	говорить о	1	1
283	на свою	1	1
284	из того	2	1
285	их не	2	1
286	которое в	1	1
287	романтизма не	1	1
288	еще не	4	1
289	он сам	1	1
290	в чем	1	1
291	совершенно особое	1	1
292	но как	1	1
293	нет не	2	1
294	было указано	1	1
295	в сторону	1	1
296	не удивительно	1	1
297	ответ на	1	1
298	по отношению	3	1
299	отношение к	1	1
300	с легкой	2	1
301	тут же	1	1
302	не просто	1	1
303	от ума	1	1
304	более чем	3	1
305	ю н	2	1
306	ему кажется	1	1
307	традиция в	1	1
308	в творчестве	1	1
309	целый ряд	1	1
310	за собой	1	1
311	к другому	1	1
312	а во-вторых	1	1
313	так или	8	1
314	представляет собой	4	1
315	к месту	1	1
316	в ответ	1	1
317	не оставляет	2	1
318	из этих	2	1
319	большей части	1	1
320	что к	1	1
321	с их	3	1
322	зависимости от	1	1
323	говорят о	1	1
324	и если	1	1
325	а то	1	1
326	подобные явления	1	1
327	вследствие этого	1	1
328	от которого	1	1
329	перестает быть	4	1
330	которой не	1	1
331	в понимании	1	1
332	свою собственную	1	1
333	в принципе	3	1
334	к одному	1	1
335	написанная в	1	1
336	не как	4	1
337	на этом	2	1
338	значение в	1	1
339	различие между	2	1
340	об этой	1	1
341	говорил что	1	1
342	а по	1	1
343	не умеет	1	1
344	евгения онегина	2	1
345	роль в	2	1
346	и тем	4	1
347	для них	2	1
348	на основании	1	1
349	а за	1	1
350	и уже	1	1
351	что начало	1	1
352	с такой	1	1
353	и некоторые	1	1
354	такой же	1	1
355	которую я	1	1
356	всякая иная	2	1
357	во второй	1	1
358	от своего	2	1
359	это делает	1	1
360	одним и	1	1
361	в условиях	1	1
362	прочим и	1	1
363	русской литературной	1	1
364	не писал	1	1
365	вплоть до	2	1
366	сам же	1	1
367	на реального	1	1
368	права на	1	1
369	который всегда	1	1
370	а молодой	1	1
371	и общества	1	1
372	имел в	1	1
373	освободиться от	2	1
374	в эпилоге	1	1
375	иной раз	1	1
376	на один	2	1
377	что есть	1	1
378	весь в	1	1
379	при всех	2	1
380	приемлемым в	1	1
381	можно указать	1	1
382	она не	1	1
383	одна из	3	1
384	к новым	1	1
385	кого из	1	1
386	у кого	1	1
387	на него	1	1
388	тех пор	1	1
389	в основе	3	1
390	о них	1	1
391	но только	1	1
392	же время	5	1
393	впрочем в	1	1
394	к концу	1	1
395	предполагать что	1	1
396	и ранее	2	1
397	в текст	2	1
398	для осуществления	1	1
399	другого но	1	1
400	маленькими трагедиями	1	1
401	как будто	2	1
402	в стиле	1	1
403	свое собственное	3	1
404	в момент	1	1
405	уже о	1	1
406	он и	3	1
407	в среде	1	1
408	и вполне	2	1
409	отличается от	1	1
410	что вы	1	1
411	в поле	2	1
412	признается что	1	1
413	этого рода	2	1
414	что при	1	1
415	для кого	1	1
416	отказаться от	1	1
417	как мы	1	1
418	свою очередь	1	1
419	данном случае	4	1
420	только при	1	1
421	х годов	2	1
422	средних веков	1	1
423	мысль о	1	1
