N	4gram	Propp_Morf_1	Dialekti
1	одно и то же	1	4
2	в то время как	3	3
3	это не значит что	2	2
4	в том что он	1	1
5	и независимо от того	1	1
6	что бы то ни	1	1
7	приводит к тому что	1	1
8	сомневаться в том что	1	1
9	говорить о том что	1	1
10	и т д все	1	1
11	можно сомневаться в том	1	1
12	и т д с	1	1
13	которые не могут быть	1	1
14	д с другой стороны	1	1
15	и т д в	2	1
16	это дает нам возможность	1	1
17	т д с другой	1	1
18	во что бы то	1	1
19	в связи с этим	4	1
20	то это значит что	1	1
21	бы то ни стало	1	1
22	все более и более	1	1
