N	3gram	Trubetskoy_1	Literetu
1	в то же	10	7
2	то же время	10	7
3	к тому же	1	5
4	в этом отношении	1	5
5	о том что	2	4
6	по отношению к	1	4
7	в том что	7	4
8	в данном случае	3	4
9	в том числе	1	3
10	не может быть	4	3
11	с точки зрения	9	3
12	и тем самым	2	2
13	и в частности	1	2
14	и вместе с	2	2
15	тем что он	1	2
16	то же самое	1	2
17	той или иной	3	2
18	в самом деле	1	2
19	бы то ни	4	2
20	которой она и	1	2
21	том числе и	1	2
22	в том чтобы	1	2
23	на то что	4	2
24	то ни было	1	2
25	состоит в том	1	2
26	не только для	1	1
27	это и есть	1	1
28	вопрос о том	1	1
29	в связи с	1	1
30	и только в	1	1
31	без того чтобы	1	1
32	лишь тогда когда	1	1
33	же время в	1	1
34	в другом месте	1	1
35	но и для	1	1
36	и только но	1	1
37	для того чтобы	6	1
38	в мире есть	1	1
39	самого себя и	3	1
40	в каждый данный	1	1
41	к тому что	2	1
42	оставаться самим собой	1	1
43	то что для	1	1
44	и не только	1	1
45	и следовало ожидать	1	1
46	на самом деле	6	1
47	и то что	3	1
48	в значительной степени	1	1
49	более или менее	4	1
50	самим собой не	1	1
51	к единой цели	2	1
52	как бы не	1	1
53	как и следовало	1	1
54	и вот в	1	1
55	содержат в себе	1	1
56	к богу не	1	1
57	жизни в котором	1	1
58	сама по себе	2	1
59	но при этом	1	1
60	только в том	2	1
61	и в том	2	1
62	в себе и	2	1
63	альфой и омегой	1	1
64	быть не может	1	1
65	друг от друга	2	1
66	вместе с тем	3	1
67	каждый данный момент	1	1
68	тем не менее	1	1
69	в свою очередь	1	1
70	в зависимость от	2	1
71	на первый взгляд	1	1
