N	2gram	Propp_Isto_5	IolandNe
1	и с	3	3
2	должен быть	2	2
3	и не	11	2
4	в этом	10	2
5	он не	4	2
6	что в	8	2
7	ничего не	2	2
8	себя в	6	1
9	все это	4	1
10	этим и	1	1
11	автор не	1	1
12	и др	3	1
13	и тот	1	1
14	и в	25	1
15	только что	1	1
16	и о	1	1
17	я не	1	1
18	то и	1	1
19	бы в	1	1
20	как только	1	1
21	комплекс в	1	1
22	того же	2	1
23	с другой	9	1
24	это было	2	1
25	а в	3	1
26	художественного творчества	1	1
27	того что	2	1
28	не дает	1	1
29	после смерти	3	1
30	в руки	1	1
31	свою жену	1	1
32	как о	1	1
33	на котором	1	1
34	а с	1	1
35	другой стороны	8	1
36	утверждает что	1	1
37	и еще	1	1
38	не так	1	1
39	для него	1	1
40	а также	1	1
41	в основе	1	1
42	что для	1	1
43	что при	3	1
44	и сам	2	1
45	отношению к	2	1
46	работы не	2	1
47	а если	2	1
48	отметим только	1	1
49	он с	1	1
50	его цель	1	1
51	от этого	4	1
52	литература о	1	1
53	того чтобы	3	1
54	во многом	1	1
55	никогда не	3	1
56	следующим образом	1	1
57	о ней	1	1
58	только для	1	1
59	жизни и	2	1
60	тех же	2	1
61	тем что	10	1
62	в целом	3	1
63	по отношению	2	1
64	очевидно что	2	1
65	все эти	8	1
66	но когда	3	1
67	по существу	2	1
68	и и	1	1
69	если бы	2	1
70	для того	3	1
