N	2gram	Tiupa_Hudo_1	BTomashe
1	у нас	1	3
2	и не	15	2
3	все это	2	2
4	литературных произведений	3	2
5	выпадает из	1	1
6	крайней мере	1	1
7	художественного произведения	3	1
8	за пределы	2	1
9	узко и	1	1
10	тем более	1	1
11	говорить о	3	1
12	книги в	1	1
13	об этом	2	1
14	и в	19	1
15	не вполне	2	1
16	и о	3	1
17	функцией в	1	1
18	что все	1	1
19	с другой	7	1
20	в своей	5	1
21	литературы как	3	1
22	на которой	1	1
23	как будто	1	1
24	не следует	4	1
25	точно и	1	1
26	было бы	1	1
27	свести к	1	1
28	между ними	4	1
29	было и	2	1
30	еще не	3	1
31	художественном произведении	1	1
32	и на	2	1
33	в пределах	3	1
34	теории литературы	2	1
35	одной из	2	1
36	в значительной	1	1
37	прежде всего	4	1
38	в данном	4	1
39	так и	11	1
40	не было	1	1
41	в композиции	1	1
42	далеко не	2	1
43	всего в	1	1
44	теорию литературы	2	1
45	нельзя не	1	1
46	а не	9	1
47	в научном	1	1
48	что в	6	1
49	в области	6	1
50	другой стороны	5	1
51	говорить об	1	1
52	и ее	3	1
53	не все	2	1
54	не уничтожается	1	1
55	ведет по	2	1
56	по крайней	1	1
57	отнюдь не	2	1
58	и меньше	1	1
59	таким образом	3	1
60	и более	2	1
61	и потому	2	1
62	не только	16	1
63	значительной степени	1	1
