N	3gram	Nazirov_Vr_1	Myslijsy
1	в том что	2	13
2	не может быть	2	9
3	тем не менее	1	6
4	и в этом	1	6
5	в нем самом	1	5
6	с другой стороны	1	5
7	в свою очередь	1	4
8	в этом смысле	1	4
9	а между тем	1	3
10	с точки зрения	2	3
11	и что в	2	3
12	то же время	4	3
13	в то же	4	3
14	по крайней мере	1	2
15	служит для него	1	2
16	не только не	1	2
17	а следовательно и	1	1
18	по объему и	1	1
19	в ответ на	1	1
20	с тех пор	1	1
21	не было бы	1	1
22	в этом отношении	1	1
23	до сих пор	1	1
24	что в нем	1	1
25	их и не	1	1
26	но это не	1	1
27	только при помощи	1	1
28	все что ни	1	1
29	так же как	1	1
30	не имело бы	1	1
31	и во всей	1	1
32	заключается в том	1	1
33	в связи с	3	1
34	но при этом	1	1
35	или по крайней	1	1
36	с тою же	1	1
37	во всяком случае	1	1
38	от того как	1	1
39	и все же	5	1
40	нет ничего общего	1	1
41	для нас весьма	1	1
42	в то время	1	1
43	о том что	1	1
44	имело бы смысла	1	1
45	на то что	1	1
46	не вдаваясь в	1	1
47	точно так же	1	1
