N	2gram	Trubetskoy_1	Problema
1	то есть	2	46
2	в его	5	43
3	и не	8	42
4	и в	23	38
5	и проч	4	28
6	не может	17	27
7	может быть	16	26
8	как бы	10	22
9	по отношению	9	21
10	отнюдь не	2	19
11	отношению к	9	19
12	и с	5	17
13	и его	1	16
14	в этом	12	15
15	в нем	3	15
16	только в	6	13
17	прежде всего	3	13
18	независимо от	2	13
19	но не	2	12
20	во всех	10	11
21	в области	4	11
22	и для	6	11
23	отношение к	4	10
24	таким образом	31	10
25	в их	4	10
26	к нему	2	10
27	не только	7	9
28	не имеет	1	9
29	его в	5	9
30	но и	9	9
31	и как	1	8
32	входит в	1	8
33	было бы	3	8
34	точки зрения	13	8
35	в том	30	8
36	художественное произведение	1	8
37	то что	18	8
38	еще не	5	7
39	в самом	8	7
40	как и	9	7
41	не в	8	7
42	как мы	2	7
43	с другой	6	7
44	между тем	12	7
45	совершенно не	3	7
46	в своей	1	7
47	что в	8	7
48	самом деле	12	6
49	и наконец	3	6
50	не к	1	6
51	с точки	8	6
52	в психике	7	6
53	не есть	2	6
54	можно только	1	6
55	ничего не	1	6
56	мы можем	6	6
57	все же	13	6
58	а в	3	6
59	высшей степени	1	5
60	тем как	1	5
61	отличие от	3	5
62	в своем	10	5
63	все эти	19	5
64	при этом	9	5
65	то же	4	5
66	это не	3	5
67	в них	2	5
68	рядом с	1	5
69	в высшей	1	5
70	далеко не	5	5
71	так и	10	5
72	произведения в	1	5
73	в основе	2	5
74	никогда не	4	5
75	с ним	6	5
76	конечно не	3	5
77	а не	1	5
78	могут быть	1	5
79	должно быть	4	5
80	все они	5	5
81	имеет место	2	5
82	на самом	7	4
83	должна быть	5	4
84	в виду	2	4
85	в ней	3	4
86	как в	1	4
87	но в	4	4
88	в нашем	3	4
89	в себе	5	4
90	перестает быть	1	4
91	в данном	3	4
92	не менее	7	4
93	тем самым	3	4
94	в то	6	4
95	должны быть	3	4
96	здесь не	1	4
97	данном случае	3	4
98	можно было	1	4
99	о том	7	4
100	которых мы	3	4
101	от всех	1	4
102	с ними	2	4
103	каждый момент	1	4
104	в других	1	4
105	и только	2	4
106	к которому	1	4
107	только по	1	4
108	и потому	3	4
109	в более	1	4
110	хотя бы	4	4
111	между ними	2	4
112	сказать что	1	4
113	другой стороны	5	4
114	также и	2	3
115	например в	1	3
116	которую мы	1	3
117	говорить о	2	3
118	произведение и	1	3
119	бы то	2	3
120	мы будем	3	3
121	нет и	1	3
122	проч все	1	3
123	помнить что	1	3
124	кроме того	1	3
125	и к	5	3
126	в целом	5	3
127	вследствие этого	2	3
128	он не	3	3
129	то ни	3	3
130	в мире	6	3
131	а как	1	3
132	с другими	1	3
133	и тем	1	3
134	несмотря на	6	3
135	том что	19	3
136	тем не	4	3
137	дело только	1	3
138	проч но	1	3
139	на него	2	3
140	же время	2	3
141	проч в	1	3
142	все то	2	3
143	и это	3	3
144	хотя и	4	3
145	и от	5	3
146	начало и	6	3
147	приводит к	1	3
148	в дальнейшем	2	3
149	ясно что	8	3
150	если бы	8	3
151	к действительности	1	3
152	на почве	3	3
153	но с	2	3
154	как нечто	1	3
155	с одной	3	3
156	вопроса о	1	3
157	и даже	1	3
158	себя и	2	3
159	одной стороны	2	3
160	и на	6	3
161	в тех	3	3
162	да и	1	3
163	от общей	1	3
164	все это	11	3
165	культуры и	9	3
166	и другими	1	3
167	у в	2	3
168	от него	3	3
169	и все	7	3
170	ни было	2	3
171	не знает	2	3
172	в таком	4	3
173	все что	9	3
174	они не	2	3
175	смысле слова	1	2
176	он может	1	2
177	и должны	1	2
178	в котором	2	2
