N	2gram	Medvedev_F_2	VeschiIm
1	не есть	3	49
2	т е	26	42
3	не может	14	33
4	не только	9	31
5	может быть	23	29
6	и не	20	28
7	и в	38	26
8	то что	6	24
9	и есть	1	23
10	и т	14	21
11	т д	5	20
12	а не	6	20
13	не просто	2	18
14	есть только	2	17
15	и следовательно	1	15
16	в смысле	1	15
17	только в	6	14
18	по себе	7	13
19	того что	3	13
20	и то	2	12
21	есть не	1	12
22	все же	8	12
23	вещи но	1	12
24	что это	3	12
25	было бы	6	12
26	и ее	6	12
27	но и	13	12
28	сказать что	2	12
29	таким образом	20	11
30	с нею	2	11
31	вещь и	1	11
32	что же	5	11
33	и больше	1	10
34	то же	6	10
35	в ней	6	10
36	как бы	4	10
37	потому что	2	10
38	уже не	7	10
39	бы то	1	9
40	в самом	16	9
41	то ни	2	9
42	и с	9	9
43	вещи не	1	9
44	в том	11	9
45	что не	4	9
46	прежде всего	15	9
47	что иное	1	8
48	иное как	1	8
49	в себе	1	8
50	на то	1	8
51	смысл и	2	8
52	и это	2	8
53	ничего не	4	8
54	но это	2	8
55	не что	1	8
56	говорить о	5	7
57	если она	1	7
58	в этом	27	7
59	не будет	2	7
60	его в	3	7
61	с другими	10	7
62	том что	2	7
63	в то	5	7
64	что оно	4	7
65	и их	3	7
66	так как	4	7
67	как раз	6	7
68	и пр	21	7
69	смысла и	2	7
70	е в	1	7
71	совершенно не	4	7
72	со стороны	2	6
73	что они	4	6
74	и как	3	6
75	но в	4	6
76	точки зрения	8	6
77	но если	1	6
78	по крайней	1	6
79	с ним	2	6
80	ее не	1	6
81	она не	2	6
82	отличается от	1	6
83	можно было	1	6
84	ясно что	1	6
85	должно быть	2	6
86	и только	5	6
87	крайней мере	1	6
88	а если	1	6
89	так что	1	6
90	если мы	5	6
91	для него	7	6
92	но что	1	6
93	в результате	6	6
94	жизни и	3	6
95	что в	7	6
96	того же	1	5
97	это и	5	5
98	и до	3	5
99	ведь и	1	5
100	и тут	1	5
101	в сущности	4	5
102	в чем	2	5
103	но не	2	5
104	отнюдь не	8	5
105	чем же	3	5
106	как к	3	5
107	должна быть	5	5
108	же это	2	5
109	это не	2	5
110	с тем	11	5
111	не в	15	5
112	тем не	1	5
113	не менее	1	5
114	только и	3	5
115	у нас	1	5
116	для себя	1	5
117	свою очередь	1	5
118	в ее	2	5
119	должны быть	1	5
120	если бы	5	5
121	для этого	2	5
122	отлично от	1	5
123	звук и	2	5
124	или не	1	5
125	что для	2	5
126	ни на	2	5
