N	2gram	Vinokur_Vv_1	Psycholo
1	то что	17	37
2	и в	27	30
3	в том	31	27
4	что в	11	24
5	и что	4	23
6	потому что	14	23
7	том что	26	21
8	того чтобы	21	20
9	таким образом	19	20
10	все время	1	20
11	для того	21	20
12	как бы	5	19
13	на то	1	17
14	что он	4	17
15	не только	21	16
16	в этом	34	14
17	в самом	12	14
18	как раз	4	13
19	так же	3	13
20	в сущности	3	12
21	с одной	4	12
22	одной стороны	4	12
23	вместе с	6	12
24	может быть	24	11
25	если бы	2	11
26	что мы	2	11
27	как на	11	11
28	о том	15	10
29	и то	5	9
30	никогда не	3	9
31	увидим что	1	9
32	так как	13	9
33	с другой	8	9
34	для этого	3	9
35	не может	13	9
36	сказать что	5	9
37	самом деле	6	8
38	мы имеем	3	8
39	на деле	1	8
40	что это	3	8
41	он должен	1	8
42	при этом	3	8
43	заключается в	4	8
44	с тем	6	8
45	не в	8	8
46	к тому	4	8
47	и это	6	8
48	тому что	2	8
49	того что	12	8
50	мы видим	1	8
51	а не	3	8
52	могут быть	4	8
53	и т	43	7
54	то же	8	7
55	зависимости от	1	7
56	но не	7	7
57	все же	8	7
58	и как	9	7
59	в нем	13	7
60	точки зрения	7	7
61	по себе	9	7
62	совершенно ясно	1	7
63	этих двух	1	7
64	мы можем	2	7
65	как это	5	7
66	в зависимости	1	6
67	мы уже	1	6
68	что если	2	6
69	в своем	3	6
70	говорит что	1	6
71	что она	3	6
72	на этом	3	6
73	факт что	1	6
74	что все	1	6
75	ясно что	9	6
76	как и	5	6
77	никак не	1	6
78	что с	3	6
79	и его	5	6
80	как будто	3	6
81	когда мы	2	6
82	или в	1	6
83	о котором	8	6
84	и тем	5	6
85	уже в	5	6
86	тем что	6	6
87	но и	5	6
88	именно в	8	6
89	и не	13	6
90	и для	4	6
91	что оно	2	6
92	совершенно не	1	6
93	жизни и	2	6
94	и есть	3	5
95	еще не	4	5
96	по этому	2	5
97	ответ на	3	5
98	что именно	2	5
99	в себе	4	5
100	в целом	5	5
101	в этой	3	5
102	материала и	1	5
103	было бы	5	5
104	рядом с	2	5
105	во внимание	2	5
106	несмотря на	2	5
107	сих пор	5	5
108	существует между	2	5
109	же самое	2	5
110	как мы	9	5
111	но в	10	5
112	искусства и	1	5
113	один из	6	5
114	дело с	6	5
115	только в	13	5
116	именно на	2	5
117	до сих	5	5
118	бы в	1	5
119	обратиться к	1	5
120	другой стороны	5	5
121	в своих	2	5
122	как только	1	4
123	то это	3	4
124	в виду	4	4
125	в ней	3	4
126	стороны и	3	4
127	и к	1	4
128	и заключается	4	4
129	в основу	2	4
130	есть не	3	4
131	в них	4	4
132	в своей	4	4
133	не могли	2	4
134	из которых	2	4
135	и именно	12	4
136	казалось бы	2	4
137	как она	4	4
138	заключает в	1	4
139	у нас	2	4
140	по сравнению	3	4
141	и совершенно	2	4
142	внимание на	4	4
143	этому поводу	2	4
144	в его	10	4
145	только что	4	4
146	этот вопрос	4	4
147	только на	3	4
148	содержания и	1	4
149	в конце	3	4
150	содержание и	1	4
151	должен был	4	4
152	от того	3	4
153	говорит о	3	4
154	прежде всего	8	4
155	которых мы	1	4
156	в частности	3	4
157	тот факт	1	4
158	о чем	4	4
159	сравнению с	3	4
160	именно это	1	4
161	искусства как	1	4
162	имеет дело	5	4
163	в результате	3	4
164	и все	1	4
165	а в	5	4
166	не есть	4	4
167	сам по	1	3
168	в их	11	3
169	по его	2	3
170	той же	4	3
171	смотреть на	4	3
172	мы не	2	3
173	и о	1	3
174	в учении	1	3
175	из того	2	3
176	в каждой	2	3
177	и на	3	3
178	в ее	11	3
179	как в	1	3
180	в которой	1	3
181	чем больше	2	3
182	из этих	5	3
183	на его	1	3
184	состоит в	2	3
185	не как	3	3
186	в силу	3	3
187	что ни	1	3
188	так например	6	3
189	находит себе	2	3
190	одно и	1	3
191	можно было	7	3
192	в другом	3	3
193	об этом	5	3
194	это не	8	3
195	т д	37	3
196	показывает что	1	3
197	и уже	3	3
198	в этих	3	3
199	вопрос о	8	3
200	но он	1	3
201	вовсе не	6	3
202	есть нечто	1	3
203	с теми	2	3
204	самого начала	1	3
205	одна из	2	3
206	он только	1	3
207	двоякого рода	2	3
208	находятся в	2	3
209	этом отношении	3	3
210	в каком	1	3
211	не могут	5	3
212	что при	1	3
213	данном случае	5	3
214	с самого	1	3
215	идет речь	2	3
216	котором мы	1	3
217	что у	1	3
218	так и	1	3
219	времени и	4	3
220	это только	4	3
221	что и	3	3
222	что здесь	2	3
223	тот же	1	3
224	так что	5	3
225	с двумя	1	3
226	для него	1	3
227	т п	5	3
228	у него	1	3
229	из двух	2	3
230	что на	1	3
231	со стороны	12	3
232	на этот	4	3
233	и составляет	1	3
234	в данном	11	3
235	в той	7	3
236	искусстве и	1	3
237	это есть	2	3
238	лучшем случае	1	3
239	заставляет нас	1	3
240	не существует	2	3
241	мы должны	1	3
242	хотя бы	5	3
243	в свою	1	3
244	в лучшем	1	3
245	и сейчас	2	3
