N	2gram	Voloshinov_1	Tvorches
1	у достоевского	1	30
2	и в	38	20
3	в романе	1	15
4	не только	27	13
5	никогда не	7	11
6	как бы	28	11
7	таким образом	7	10
8	в его	6	10
9	в то	9	10
10	и не	14	9
11	и его	7	9
12	и с	5	8
13	прежде всего	21	8
14	при этом	9	8
15	в том	2	8
16	но и	13	8
17	в этом	10	8
18	может быть	13	8
19	же время	7	7
20	не может	12	7
21	потому что	5	7
22	что в	1	7
23	то же	14	7
24	это не	3	7
25	наряду с	1	7
26	как и	10	6
27	так и	6	6
28	в конце	6	6
29	в своей	2	6
30	у него	1	6
31	в целом	4	6
32	именно в	1	6
33	все это	4	6
34	а не	6	6
35	что он	2	6
36	в основном	1	6
37	но не	2	5
38	все же	7	5
39	еще не	3	5
40	так же	4	5
41	то есть	4	5
42	если он	3	5
43	героев достоевского	1	5
44	например в	1	5
45	и сам	2	5
46	и на	6	5
47	в этой	6	5
48	в мире	2	5
49	и даже	3	5
50	о том	4	5
51	но это	2	5
52	все эти	2	4
53	на его	5	4
54	отнюдь не	10	4
55	не в	6	4
56	тем самым	7	4
57	мы не	9	4
58	первой части	1	4
59	об этом	3	4
60	а в	5	4
61	если не	3	4
62	хотя и	3	4
63	как в	2	4
64	в дальнейшем	2	4
65	в душе	2	4
66	за собой	1	4
67	что у	3	4
68	в чем	1	4
69	и от	7	4
70	и потому	2	4
71	ничего не	8	4
72	если бы	4	4
73	когда он	1	4
74	мы видим	3	4
75	но в	5	4
76	том что	3	4
77	одним из	1	3
78	в себе	9	3
79	место в	2	3
80	одна из	1	3
81	до сих	1	3
82	в нем	4	3
83	в их	1	3
84	для него	3	3
85	его в	4	3
86	одной из	2	3
87	вместе с	5	3
88	с ним	2	3
89	превращается в	1	3
90	с этой	1	3
91	но зато	1	3
92	в начале	3	3
93	в таком	1	3
94	а затем	1	3
95	между тем	3	3
96	человека и	1	3
97	х годов	1	3
98	в одной	1	3
99	один из	4	3
100	он не	2	3
101	так например	1	3
102	тем что	2	3
103	по самой	1	3
104	уже не	4	3
105	то что	8	3
106	в котором	3	3
107	же как	1	3
108	сих пор	2	3
109	в самом	4	3
110	человека в	2	3
111	нет ничего	2	3
112	в своих	2	3
113	самой своей	1	3
114	и это	7	3
115	в которых	2	3
116	к этому	2	3
117	не является	5	3
118	но уже	1	3
119	так как	7	3
120	а с	5	3
121	этот вопрос	2	3
122	быть может	3	3
123	в которой	7	2
124	несравненно более	1	2
125	что его	1	2
126	процессы в	1	2
127	и наконец	5	2
128	говорить о	1	2
129	однако эти	1	2
130	в литературе	1	2
131	характер в	1	2
132	другой стороны	1	2
133	крайней мере	1	2
134	не было	2	2
135	не менее	1	2
136	со своими	1	2
137	зависит от	2	2
138	вовсе не	2	2
139	связь с	2	2
140	в устах	1	2
141	в виде	1	2
142	и вообще	2	2
143	для определения	1	2
144	его и	3	2
145	к которому	1	2
146	себя в	4	2
147	не так	3	2
148	роман и	1	2
149	бы не	2	2
150	так что	1	2
151	и без	4	2
152	с другими	2	2
153	что я	1	2
154	и есть	1	2
155	ли не	2	2
156	которой он	1	2
157	в одном	3	2
158	человеческой культуры	1	2
159	или даже	2	2
160	сильнее и	1	2
161	в ее	3	2
162	особое место	1	2
163	но если	1	2
164	нет и	3	2
165	с генералом	3	2
166	к миру	2	2
167	что этот	1	2
168	на наш	2	2
169	на него	4	2
170	все время	5	2
171	у нас	4	2
172	и лишь	1	2
173	при виде	1	2
174	и поэтому	3	2
175	тому же	2	2
176	в руки	1	2
177	в истории	1	2
178	всякого рода	1	2
179	только в	6	2
180	в основе	2	2
181	это прежде	1	2
182	с ними	1	2
183	друг друга	2	2
184	точку зрения	3	2
185	по крайней	1	2
186	том же	1	2
187	не мешает	1	2
188	так сказать	4	2
189	действующих лиц	1	2
190	и он	2	2
191	и если	1	2
192	и что	1	2
193	в процессе	6	2
194	роль в	3	2
195	их в	3	2
196	при помощи	1	2
197	я не	1	2
198	но ведь	6	2
199	с другой	1	2
200	а скорее	1	2
201	относится и	1	2
202	наш взгляд	1	2
203	в частности	3	2
204	в первой	2	2
205	на этот	1	2
206	самом деле	4	2
207	более всего	1	2
208	то у	1	2
209	но эта	2	2
210	это уже	1	2
211	уже в	5	2
212	из них	3	2
213	ни к	2	2
214	и тогда	2	2
215	в русской	1	2
216	в литературном	1	2
217	сознание как	1	1
218	то мы	3	1
219	и диалога	1	1
220	являются как	1	1
221	дальнейшем мы	1	1
222	должен быть	2	1
223	главным образом	3	1
224	со всех	2	1
225	что однако	1	1
226	и здесь	3	1
227	не значит	1	1
228	человек был	1	1
229	не знает	3	1
230	она не	1	1
231	будет иметь	2	1
232	для нас	3	1
233	своего права	1	1
234	и вот	3	1
235	в другом	1	1
236	в связи	2	1
237	от всех	1	1
238	поэтому в	1	1
239	в поле	1	1
240	незадолго до	1	1
241	в противоположность	1	1
242	только как	1	1
243	это чувство	1	1
244	и ни	2	1
245	его с	1	1
246	не из	1	1
247	когда в	1	1
248	даже не	1	1
249	предположить что	1	1
250	нет в	1	1
251	и для	3	1
252	прямом и	1	1
253	не вошел	1	1
254	суждения о	1	1
255	его но	1	1
256	нас не	2	1
257	о своем	3	1
258	можно говорить	1	1
259	писателя что	1	1
260	по мере	1	1
261	не к	3	1
262	лишь из	1	1
263	для настоящего	1	1
264	это как	1	1
265	для них	2	1
266	связи с	3	1
267	но при	3	1
268	перед ним	3	1
269	был бы	1	1
270	думать что	1	1
271	с ней	2	1
272	и их	5	1
273	души и	1	1
274	разговоре с	1	1
275	говорить лишь	1	1
276	к которым	1	1
277	писателя не	1	1
278	на то	1	1
279	то он	3	1
280	и эту	2	1
281	языком с	1	1
282	в жизни	2	1
283	руки и	1	1
284	приближается к	2	1
285	но почему	1	1
286	в обществе	4	1
287	в сцене	1	1
288	в сознании	3	1
289	автора с	1	1
290	в большинстве	1	1
291	и эти	1	1
292	это еще	1	1
293	как нечто	2	1
294	связан с	1	1
295	и до	1	1
296	у себя	2	1
297	а к	2	1
298	дает нам	1	1
299	считаю долгом	1	1
300	и другие	1	1
301	значит это	1	1
302	этом не	1	1
303	к самой	1	1
304	как это	5	1
305	или его	1	1
306	на улице	1	1
307	ясной и	1	1
308	в голову	3	1
309	что это	4	1
310	если в	1	1
311	превращался в	1	1
312	во всех	6	1
313	другом месте	1	1
314	по себе	1	1
315	таким же	1	1
316	только его	1	1
317	указывать на	1	1
318	то или	4	1
319	того или	5	1
320	несколько лиц	1	1
321	эти слова	8	1
322	влияние на	4	1
323	жизнь не	1	1
324	ответ на	2	1
325	русской жизни	1	1
326	приходит к	1	1
327	выражений нет	1	1
328	как видно	1	1
329	в мысли	1	1
330	нуждается в	2	1
331	общественной жизни	10	1
332	и такие	1	1
333	что же	8	1
334	оба эти	1	1
335	мы наблюдаем	1	1
336	из всего	2	1
337	из мертвых	1	1
338	между собой	2	1
339	нет это	1	1
340	на вечере	2	1
341	при всем	2	1
342	в журнале	1	1
343	это связано	1	1
344	отношение к	2	1
345	похож на	1	1
346	совершенно не	3	1
347	между ними	3	1
348	литература и	1	1
349	в таких	1	1
350	в себя	1	1
351	о которой	1	1
352	он ни	1	1
353	должны были	2	1
354	к тому	4	1
355	мы видели	5	1
356	действительности он	2	1
357	еще более	2	1
358	своим собственным	1	1
359	наук в	1	1
360	значение имеет	1	1
361	что для	1	1
362	в диалоге	1	1
363	в середине	2	1
364	и о	1	1
365	переход от	1	1
366	может не	1	1
367	в этих	2	1
368	каждым из	1	1
369	на вопрос	1	1
370	мысли и	1	1
371	сознания не	3	1
372	однако в	2	1
373	и к	4	1
374	которой не	1	1
375	не остается	1	1
376	может как	1	1
377	она должна	1	1
378	происходящее в	1	1
379	виду что	1	1
380	теперь же	2	1
381	культуры и	1	1
382	возможно что	1	1
383	быта и	1	1
384	мог бы	1	1
385	развития в	2	1
386	теперь не	1	1
387	это сделать	1	1
388	он будет	1	1
389	с человеком	1	1
390	как мы	9	1
391	ведь в	3	1
392	из этих	1	1
393	или иное	4	1
394	это и	1	1
395	того времени	4	1
396	в свою	6	1
397	зрения и	1	1
398	но как	2	1
399	конечном счете	1	1
400	в идеологическом	1	1
401	лишь в	4	1
402	тот же	2	1
403	даже если	1	1
404	содержанием и	1	1
405	в канцелярии	1	1
406	представляет собой	2	1
407	своей творческой	1	1
408	стал бы	1	1
409	в силу	1	1
