N	3gram	Losev_Dial_2	Istorich
1	с другой стороны	4	8
2	и т д	15	8
3	с одной стороны	1	7
4	в том что	6	5
5	до сих пор	2	4
6	не только в	2	4
7	о том что	4	4
8	о том как	1	3
9	вместе с тем	1	3
10	в данном случае	2	3
11	так как это	2	3
12	то время как	3	3
13	в то время	3	3
14	не может быть	3	3
15	потому что он	2	2
16	уже знаем что	1	2
17	том что в	1	2
18	но и в	1	2
19	только то что	4	2
20	что в нем	2	2
21	точно так же	1	2
22	т е в	3	2
23	в некоторых случаях	1	2
24	сих пор мы	1	2
25	во всяком случае	2	2
26	но все же	1	2
27	это еще не	1	2
28	но мы уже	1	2
29	мы уже знаем	3	2
30	что и в	1	2
31	перед нами как	1	2
32	том что она	1	1
33	если он не	1	1
34	что иное как	3	1
35	другой стороны эта	1	1
36	в обоих случаях	1	1
37	только потому что	1	1
38	в египетской религии	1	1
39	это то что	1	1
40	предстала перед нами	1	1
41	того что в	1	1
42	как только мы	1	1
43	то это значит	1	1
44	мере того как	1	1
45	смотря по тому	1	1
46	есть и такие	1	1
47	более или менее	2	1
48	он вступает в	1	1
49	том что он	1	1
50	по мере того	1	1
51	новые и новые	1	1
52	того или другого	1	1
53	ли сказать что	1	1
54	одной стороны и	1	1
55	же как и	1	1
56	можно ли сказать	1	1
57	никогда не будет	1	1
58	мы находим в	1	1
59	то и другое	1	1
60	и не может	1	1
61	и то и	1	1
62	в таком случае	3	1
63	в зависимости от	2	1
64	т д мы	1	1
65	что в одном	1	1
66	миф не есть	19	1
67	есть одно и	1	1
68	но это не	2	1
69	а не потому	1	1
70	на первый взгляд	1	1
71	со всех сторон	1	1
72	то или иное	4	1
73	и то что	1	1
74	одно и то	4	1
75	это может быть	1	1
76	все же есть	1	1
77	так же как	1	1
78	не потому что	6	1
79	на эти вопросы	1	1
80	отличается тем что	1	1
81	на своем месте	1	1
82	на задний план	1	1
83	но при этом	1	1
84	и то же	4	1
85	так как они	1	1
86	и не могу	1	1
87	так или иначе	2	1
88	все же не	1	1
89	но ничего специфически	1	1
90	это не значит	2	1
91	мы уже говорили	1	1
92	т д все	1	1
93	значит что она	1	1
94	и эти два	1	1
95	и в том	1	1
96	в том смысле	4	1
97	в свое время	1	1
98	есть не что	2	1
99	надо сказать что	1	1
100	независимо от того	1	1
101	от того что	2	1
102	все новые и	1	1
103	том смысле что	3	1
104	и вместе с	1	1
105	не забудем что	1	1
106	но это только	1	1
107	и вот мы	1	1
108	это значит что	8	1
109	к выводу что	1	1
110	подобно тому как	1	1
111	речь идет о	1	1
112	не менее в	1	1
113	несмотря на все	1	1
114	можно сказать что	3	1
115	еще никогда не	1	1
116	не значит что	3	1
117	не что иное	3	1
118	тем не менее	2	1
119	друг с другом	1	1
120	но как только	1	1
121	и как будто	1	1
122	это мы уже	1	1
123	т д в	1	1
124	мы только что	1	1
