N	3gram	Savitsky_E_1	Vvedenie
1	и т д	1	36
2	для того чтобы	5	20
3	в том что	6	12
4	но также и	1	9
5	в этом смысле	3	8
6	не может быть	2	8
7	в применении к	3	6
8	то же время	14	6
9	в то же	15	6
10	с другой стороны	2	5
11	с течением времени	2	5
12	в этом отношении	3	4
13	можно было бы	3	4
14	на этот вопрос	1	4
15	в данном случае	2	4
16	не только в	4	4
17	и в этом	4	4
18	по сравнению с	2	4
19	во всяком случае	3	4
20	само по себе	4	4
21	с одной стороны	8	4
22	также и в	1	3
23	одной стороны и	6	3
24	с тем что	1	3
25	но в то	2	3
26	в известном смысле	3	3
27	заключается в том	2	3
28	большей или меньшей	1	3
29	можно сказать что	3	3
30	как мы видели	2	3
31	что в этом	1	2
32	дело в том	1	2
33	не говоря уже	2	2
34	во второй половине	2	2
35	в соответствии с	1	2
36	что же касается	1	2
37	с точки зрения	16	2
38	хотя бы и	3	2
39	может быть и	1	2
40	можно представить себе	1	2
41	в значительной мере	1	2
42	и со стороны	2	2
43	смысле этого слова	1	2
44	не могут быть	1	2
45	в связи с	1	2
46	а также и	1	2
47	вовсе не в	1	2
48	сильнее чем в	1	2
49	той или иной	4	2
50	и для того	1	1
51	и того же	1	1
52	не может не	1	1
53	следует толковать в	1	1
54	между ними и	2	1
55	по себе не	2	1
56	в той или	3	1
57	сказать что в	2	1
58	того что в	2	1
59	этот вопрос мы	1	1
60	которая как мы	1	1
61	прежде всего в	2	1
62	его историческом и	1	1
63	более или менее	1	1
64	в разных отраслях	1	1
65	том что обе	1	1
66	что из числа	1	1
67	имеют дело с	1	1
68	т е не	1	1
69	во многих случаях	1	1
70	в том же	1	1
71	он мог бы	1	1
72	то или иное	1	1
73	в лучшем случае	1	1
74	говоря уже о	1	1
75	представление о том	1	1
76	в отличие от	1	1
77	но и в	1	1
78	только в том	2	1
79	в гораздо большей	1	1
80	заключает в себе	3	1
81	или иной степени	1	1
82	в ряде случаев	1	1
83	в определенном смысле	2	1
84	с этой точки	5	1
85	и не в	1	1
86	ту или иную	3	1
87	в духовной жизни	1	1
88	своих потребностей в	1	1
89	так же как	5	1
90	это может быть	1	1
91	то ни было	4	1
92	в самом процессе	1	1
93	все эти области	1	1
94	науки с этой	1	1
95	в большей или	1	1
96	или меньшей степени	1	1
97	бы то ни	4	1
98	о котором мы	1	1
99	прошлом и настоящем	1	1
100	по своему характеру	2	1
101	этой точки зрения	5	1
102	в частности в	2	1
103	но какой бы	1	1
104	несомненно представляет собой	1	1
105	значение только в	1	1
106	говорить о том	1	1
107	при помощи которого	1	1
108	в свою очередь	2	1
109	со стороны тех	1	1
110	та или иная	1	1
111	связи с этим	1	1
112	прежде всего к	2	1
113	того или иного	4	1
114	уже и сейчас	1	1
115	не быть в	1	1
116	и прежде всего	3	1
117	при известных условиях	1	1
118	именно потому что	1	1
119	только тогда когда	1	1
120	в их развитии	1	1
121	одного и того	1	1
122	же время в	1	1
123	в известных пределах	2	1
124	на то или	1	1
125	в европе и	1	1
126	к тому что	1	1
127	а именно в	1	1
128	из того что	2	1
129	в качестве примера	1	1
