N	3gram	Bakhtin_Pr_3	Poddanst
1	в то же	12	7
2	то же время	12	7
3	в отношении к	7	5
4	в том что	1	4
5	с точки зрения	4	3
6	и в то	5	2
7	заключает в себе	1	2
8	в тот же	1	2
9	как она есть	1	1
10	в этом смысле	4	1
11	или хотя бы	1	1
12	и в этом	2	1
13	и не может	2	1
14	хотя бы и	2	1
15	в отличие от	2	1
16	за то что	1	1
17	что дело идет	1	1
18	вместе с тем	2	1
19	и пр в	1	1
20	и то что	1	1
21	с ними как	1	1
22	там где он	2	1
23	в противоречии с	1	1
24	по всему лицу	1	1
25	но в общем	2	1
26	во всяком случае	5	1
27	в творчестве достоевского	3	1
28	с другой стороны	3	1
29	не может быть	6	1
30	но в то	3	1
31	именно потому что	2	1
32	в большинстве случаев	2	1
33	друг с другом	2	1
34	большинстве случаев только	1	1
35	для того чтобы	1	1
36	но в этом	1	1
37	и т д	2	1
