N	2gram	Propp_Isto_6	BTomashe
1	у нас	5	3
2	и не	10	2
3	больше чем	1	2
4	все это	1	2
5	в ней	5	2
6	можно было	2	2
7	изучение и	1	1
8	же не	2	1
9	тем более	1	1
10	также что	1	1
11	будто бы	1	1
12	об этом	1	1
13	и в	26	1
14	не вполне	2	1
15	и о	1	1
16	к ней	1	1
17	что все	1	1
18	с другой	10	1
19	в своей	3	1
20	на которой	1	1
21	как будто	3	1
22	и нет	1	1
23	было бы	2	1
24	все же	8	1
25	всяком случае	2	1
26	кроме того	3	1
27	никак не	1	1
28	между ними	1	1
29	еще не	9	1
30	и на	12	1
31	стоит на	2	1
32	одной из	1	1
33	должна быть	3	1
34	прежде всего	4	1
35	для которой	1	1
36	в данном	3	1
37	если таким	1	1
38	так и	5	1
39	не было	3	1
40	в книге	4	1
41	его не	2	1
42	далеко не	3	1
43	этой книги	1	1
44	а не	2	1
45	что в	12	1
46	в области	1	1
47	другой стороны	8	1
48	меньшей мере	1	1
49	также не	2	1
50	и ее	3	1
51	не все	1	1
52	чем на	1	1
53	таким образом	12	1
54	вопрос о	3	1
55	и более	1	1
56	не только	10	1
57	во всяком	2	1
