N	3gram	Tiupa_Narr_1	Literetu
1	в том что	5	11
2	состоит в том	2	5
3	в отличие от	2	5
4	в хх веке	1	5
5	то же время	4	5
6	в то же	4	5
7	в данном случае	8	4
8	не только в	6	4
9	в связи с	2	4
10	в конечном счете	1	4
11	в русской литературе	1	3
12	не сводится к	2	3
13	в е годы	1	2
14	дело в том	2	2
15	по этой причине	1	2
16	по отношению к	3	2
17	подобно тому как	3	2
18	дело не только	1	2
19	все та же	1	2
20	с точки зрения	1	2
21	дамы с собачкой	2	2
22	в этом отношении	3	2
23	из того что	1	2
24	и то что	1	2
25	в повестях белкина	1	2
26	не могло быть	1	2
27	с одной стороны	1	2
28	но при этом	1	2
29	жизни не только	1	2
30	во всяком случае	2	2
31	с легкой руки	1	2
32	я в мире	1	2
33	еще в году	1	2
34	о том что	2	2
35	и тем самым	4	2
36	тем не менее	3	2
37	друг для друга	2	2
38	в чем он	1	1
39	это уже не	1	1
40	классика xix столетия	1	1
41	только потому что	1	1
42	а не в	1	1
43	на самом деле	1	1
44	в этом последнем	1	1
45	на то что	2	1
46	в ответ на	1	1
47	в соответствии с	4	1
48	так и не	2	1
49	и не только	1	1
50	предлагаемой вниманию читателя	1	1
51	как это было	1	1
52	в зависимости от	2	1
53	в первой главе	1	1
54	бы то ни	1	1
55	во многих его	1	1
56	перед нами не	2	1
57	а во второй	1	1
58	по крайней мере	1	1
59	не подлежит сомнению	1	1
60	человеческого я в	1	1
61	в этой связи	1	1
62	в значительной степени	1	1
63	в конечном итоге	1	1
64	между двумя или	2	1
65	литературная классика xix	1	1
66	по сути своей	1	1
67	мы узнаем о	1	1
68	в самом деле	2	1
69	жизни но и	1	1
70	как один из	1	1
71	в равной степени	2	1
72	по большей части	3	1
73	как будет сказано	1	1
74	а с другой	1	1
75	и не слышат	1	1
76	какой бы то	1	1
77	в одну из	1	1
78	в этом и	3	1
79	с другой стороны	1	1
80	в творчестве чехова	1	1
81	не может быть	4	1
82	едва ли не	1	1
83	тем более не	1	1
84	не мог бы	1	1
85	только то что	1	1
86	в финале рассказа	1	1
87	в войне и	2	1
88	в свою очередь	2	1
89	и того же	1	1
90	до сих пор	2	1
91	войне и мире	2	1
92	собственно говоря и	1	1
93	не только на	2	1
94	двумя или несколькими	2	1
95	но и от	2	1
96	но все же	1	1
97	то ни было	1	1
98	одного и того	1	1
99	в целом как	1	1
100	то есть от	1	1
101	в том числе	1	1
102	в тексте не	1	1
103	в исторической жизни	1	1
104	не только от	2	1
105	мы имеем дело	2	1
106	бы не было	1	1
107	к тому же	5	1
108	текста но и	1	1
