N	2gram	Tiupa_Lite_3	Problemy
1	и не	22	31
2	и в	16	29
3	в его	6	24
4	может быть	12	24
5	в этом	14	22
6	а не	12	22
7	в нем	2	19
8	точки зрения	7	19
9	как бы	8	19
10	для него	2	18
11	не только	14	15
12	то что	12	15
13	то же	9	14
14	не как	2	14
15	и его	6	14
16	но и	14	14
17	с точки	3	13
18	уже не	3	13
19	как и	5	12
20	не может	8	12
21	в самом	3	10
22	в то	9	10
23	только в	7	10
24	в одном	4	10
25	там где	3	10
26	героя и	1	10
27	с его	6	9
28	все же	2	9
29	это не	5	9
30	если бы	2	9
31	в единство	1	9
32	же время	7	9
33	о нем	2	9
34	но не	4	9
35	в романе	3	9
36	по отношению	4	8
37	последнее слово	1	8
38	что в	2	8
39	по себе	2	8
40	в каждом	1	8
41	в том	12	8
42	что он	5	8
43	потому что	3	8
44	до конца	4	8
45	в своем	1	8
46	в своей	7	8
47	отношению к	4	8
48	и на	2	7
49	за пределы	1	7
50	и как	3	7
51	но в	3	7
52	в себе	6	7
53	входит в	4	7
54	с другими	1	7
55	том что	8	7
56	не в	10	7
57	вовсе не	1	7
58	она не	1	7
59	так и	9	7
60	лишь как	1	7
61	прежде всего	3	7
62	мира и	2	7
63	а в	5	7
64	одним из	4	6
65	самом деле	3	6
66	так же	2	6
67	как в	5	6
68	в целом	5	6
69	в мире	16	6
70	его в	2	6
71	несмотря на	2	6
72	к нему	1	6
73	в единстве	3	6
74	был бы	1	6
75	в конце	2	6
76	так как	1	6
77	как раз	2	6
78	и потому	2	6
79	все это	1	6
80	на самом	1	5
81	это и	1	5
82	той же	3	5
83	у него	1	5
84	перед нами	1	5
85	он не	1	5
86	было бы	2	5
87	он и	2	5
88	автора и	2	5
89	не становится	3	5
90	мысли и	1	5
91	художественного мира	1	5
92	и о	1	5
93	еще не	6	5
94	между тем	3	5
95	именно в	5	5
96	более того	3	5
97	мира в	3	5
98	сознания и	2	5
99	и т	1	4
100	идет о	1	4
101	так чтобы	2	4
102	тем как	1	4
103	сознания не	1	4
104	и наконец	3	4
105	бы и	3	4
106	в этой	8	4
107	так сказать	1	4
108	человека в	2	4
109	должно быть	4	4
110	что было	1	4
111	даже в	4	4
112	как мы	2	4
113	в процессе	1	4
114	в основе	5	4
115	личности в	3	4
116	и с	2	4
117	в свете	1	4
118	в литературе	1	4
119	тем что	2	4
120	что и	2	4
121	превращается в	1	4
122	не было	1	4
123	не на	1	4
124	художественной воли	1	4
125	но это	1	4
126	и для	4	4
127	они не	1	4
128	отношения к	3	3
129	отношении к	1	3
130	например в	3	3
131	я не	2	3
132	он сам	1	3
133	он в	2	3
134	себе и	1	3
135	в художественном	1	3
136	уже в	1	3
137	и до	1	3
138	ее как	1	3
139	подобно тому	2	3
140	лишь на	2	3
141	далеко не	2	3
142	художественного творчества	2	3
143	в их	1	3
144	тому что	1	3
145	никогда не	4	3
146	как будто	4	3
147	этом отношении	5	3
148	точке зрения	1	3
149	для его	3	3
150	оно не	2	3
151	с другой	6	3
152	в них	1	3
153	ним и	1	3
154	человека из	1	3
155	но с	2	3
156	романа и	2	3
157	бытия в	2	3
158	от автора	1	3
159	и у	1	3
160	за ним	2	3
161	т п	1	3
162	друг друга	1	3
163	автора как	1	3
164	в человеке	1	3
165	целом ряде	1	3
166	тому как	3	3
167	по существу	4	3
168	и одновременно	2	3
169	бы в	1	3
170	не знает	2	3
171	сказать что	1	3
172	другой стороны	2	3
173	была бы	1	3
174	себе самому	3	3
175	в своих	2	3
176	как на	3	3
177	и есть	1	2
178	по преимуществу	1	2
179	из его	1	2
180	все те	1	2
181	мы уже	1	2
182	бы уже	1	2
183	для своего	2	2
184	вопрос о	2	2
185	совпадает с	1	2
186	в кругозоре	2	2
187	на себя	2	2
188	и со	1	2
189	в ней	1	2
190	одного человека	1	2
191	бы то	2	2
192	отношение к	2	2
193	его личного	1	2
194	так что	1	2
195	в истории	1	2
196	в той	1	2
197	с этим	1	2
198	однако не	3	2
199	могли бы	2	2
200	и к	3	2
201	в противоположность	2	2
202	вследствие этого	2	2
203	на его	3	2
204	он все	2	2
205	сознания но	1	2
206	в россии	1	2
207	здесь мы	1	2
208	то ни	2	2
209	мы его	1	2
210	при этом	15	2
211	в музыке	1	2
212	в жизни	8	2
213	кажется что	1	2
214	со своими	2	2
215	и уже	1	2
216	чем в	1	2
217	в точку	1	2
218	ряде других	1	2
219	в отношении	1	2
220	в котором	1	2
221	но он	1	2
222	друг другу	1	2
223	произведения в	3	2
224	однако в	4	2
225	с которой	2	2
226	мысли в	1	2
227	чтобы в	1	2
228	жизни не	2	2
229	а лишь	2	2
230	связи с	2	2
231	входят в	1	2
232	уже и	1	2
233	к себе	8	2
234	для себя	2	2
235	говорит сам	1	2
236	данном случае	4	2
237	самим собою	1	2
238	сознания с	2	2
239	и сам	2	2
240	он писал	1	2
241	на вопрос	1	2
242	во всей	2	2
243	непосредственно в	1	2
244	наконец в	3	2
245	в художественной	1	2
246	по своим	1	2
247	как например	2	2
248	один из	2	2
249	хотя бы	1	2
250	и ее	2	2
251	именно на	1	2
252	и души	1	2
253	к идее	2	2
254	конечно не	1	2
255	то и	1	2
256	ни было	2	2
257	человеческого духа	3	2
258	в последний	1	2
259	или даже	1	2
260	одно из	4	2
261	с собою	1	2
262	лишь один	1	2
263	и даже	2	2
264	все время	3	2
265	себя и	2	2
266	социальной жизни	1	2
267	к более	1	2
268	на этот	1	2
269	него не	2	2
270	не об	1	2
271	нет ни	1	2
272	в данном	4	2
273	в первой	2	2
274	и идеи	1	2
275	в контексте	1	2
276	с этой	2	2
277	на пути	1	2
278	романа с	1	2
279	нисколько не	1	2
280	из тех	1	2
281	и от	1	2
282	и человек	1	2
283	человек и	1	2
284	и перед	2	2
285	себя самого	1	2
286	ибо в	1	2
287	и земли	1	2
288	же в	2	2
289	не есть	1	2
290	героя как	2	2
291	жизни а	2	2
292	есть и	1	2
293	жизни и	3	2
294	и наиболее	1	1
295	от этой	1	1
