N	2gram	Trubetskoy_1	VrazhdaK
1	не только	10	9
2	в этом	15	8
3	и в	26	8
4	и что	4	8
5	но и	9	7
6	и все	2	7
7	то что	7	7
8	что в	9	7
9	все же	6	6
10	но в	7	6
11	в нем	4	6
12	как и	1	6
13	в котором	4	6
14	и с	10	6
15	в начале	2	6
16	и даже	3	6
17	то же	4	5
18	в то	4	5
19	же время	2	5
20	между тем	2	5
21	у него	1	5
22	не было	2	5
23	в россии	2	5
24	и не	8	5
25	в ней	1	4
26	что он	4	4
27	целый ряд	4	4
28	при этом	3	4
29	это не	1	4
30	несмотря на	6	4
31	все это	6	4
32	в виду	2	4
33	с ним	1	4
34	о том	6	4
35	уже в	2	4
36	отцов и	1	4
37	может быть	10	4
38	как бы	12	4
39	в своих	1	4
40	так же	5	4
41	речь идет	1	3
42	одним из	2	3
43	в чем	1	3
44	с его	2	3
45	в своем	3	3
46	и как	3	3
47	в этот	1	3
48	на то	2	3
49	его в	1	3
50	он не	4	3
51	далеко не	4	3
52	том что	7	3
53	и его	1	3
54	связи с	9	3
55	человека в	1	3
56	и о	3	3
57	и во	1	3
58	в его	5	3
59	в том	11	3
60	давно уже	1	3
61	и у	8	3
62	чтобы он	1	3
63	в конце	6	3
64	тем что	1	3
65	в связи	3	3
66	эти слова	1	3
67	считал что	1	3
68	к этому	3	3
69	отношения к	1	2
70	в русских	2	2
71	же как	3	2
72	он сам	1	2
73	тогда как	1	2
74	в той	1	2
75	в этой	4	2
76	что к	1	2
77	в себе	6	2
78	время и	1	2
79	в нашей	1	2
80	их в	1	2
81	таким образом	22	2
82	в одну	1	2
83	в мире	5	2
84	в глазах	2	2
85	в них	2	2
86	а с	7	2
87	мы знаем	1	2
88	в эту	2	2
89	во время	4	2
90	точки зрения	13	2
91	в своей	1	2
92	и ее	1	2
93	с точки	6	2
94	место в	1	2
95	он тоже	1	2
96	не менее	3	2
97	том же	1	2
98	никогда не	5	2
99	и далее	1	2
100	в момент	1	2
101	его с	1	2
102	на это	1	2
103	бесы в	1	2
104	время он	2	2
105	и это	2	2
106	еще не	2	2
107	а также	2	2
108	личные отношения	1	2
109	тем более	1	2
110	после смерти	10	2
111	уже не	3	2
112	при помощи	1	2
113	из них	7	2
114	могли быть	1	2
115	для него	3	2
116	отношение к	5	2
117	к ним	3	2
118	как раз	1	2
119	о чем	1	2
120	начиная с	2	2
121	в честь	1	2
122	не может	4	2
123	вместе с	15	2
124	в среде	2	2
125	но это	1	2
126	же в	1	2
127	а в	4	2
128	в свою	2	2
129	себя как	1	1
130	а между	1	1
131	как известно	1	1
132	от этой	1	1
133	к людям	1	1
134	вряд ли	1	1
135	можно говорить	1	1
136	этого в	1	1
137	человека и	1	1
138	того же	6	1
139	к своей	1	1
140	это и	1	1
141	идет о	1	1
142	и есть	1	1
143	имя его	2	1
144	в их	1	1
145	из всех	3	1
146	той же	1	1
147	что уже	1	1
148	именно к	1	1
149	он как	1	1
150	начинается с	1	1
151	совпадает с	1	1
152	в разные	1	1
153	ему в	2	1
154	а другие	1	1
155	одном из	1	1
156	на них	1	1
157	по своему	2	1
158	а следовательно	1	1
159	совсем не	1	1
160	но не	8	1
161	в сторону	1	1
162	если в	3	1
163	и т.д	6	1
164	что они	1	1
165	к сожалению	3	1
166	даже некоторые	1	1
167	как по	1	1
168	из которого	3	1
169	и чувств	1	1
170	как в	1	1
171	с этим	1	1
172	для создания	1	1
173	для всех	2	1
174	некоторое время	1	1
175	как к	1	1
176	сходство между	1	1
177	и наконец	2	1
178	себе не	1	1
179	и отчасти	1	1
180	то в	1	1
181	в самом	4	1
182	предстоит еще	1	1
183	что это	3	1
184	не был	1	1
185	за это	1	1
186	тому же	5	1
187	не могла	2	1
188	да и	1	1
189	которой не	1	1
190	всех этих	1	1
191	чем у	1	1
192	на первое	1	1
193	в силу	5	1
194	из него	2	1
195	и этот	1	1
196	людей и	2	1
197	однако в	1	1
198	никто из	2	1
199	их и	1	1
200	говорить не	1	1
201	это было	1	1
202	заключается в	1	1
203	было бы	1	1
204	и разрыв	1	1
205	в жизни	1	1
206	из первых	1	1
207	одним лишь	1	1
208	соответствии с	1	1
209	не всегда	2	1
210	во внимание	1	1
211	восходят к	1	1
212	не противоречат	1	1
213	такой же	1	1
214	одного и	1	1
215	в этих	4	1
216	или вообще	1	1
217	эта была	1	1
218	и их	1	1
219	рядом деталей	1	1
220	что о	2	1
221	всяком случае	6	1
222	учиться у	2	1
223	человеком и	1	1
224	представление о	6	1
225	далее в	1	1
226	тем не	3	1
227	по крайней	5	1
228	не могли	1	1
229	для россии	1	1
230	всех их	1	1
231	на три	1	1
232	вплоть до	2	1
233	но они	1	1
234	не имеет	5	1
235	русский народ	3	1
236	в процессе	2	1
237	как о	3	1
238	героев и	2	1
239	в уме	1	1
240	только не	2	1
241	следовательно и	1	1
242	ничего не	1	1
243	того как	1	1
244	и лишь	1	1
245	по своей	2	1
246	это слово	1	1
247	потому что	7	1
248	видную роль	1	1
249	никуда не	1	1
250	этом отношении	2	1
251	эту сторону	1	1
252	в каком	1	1
253	ли это	2	1
254	среди них	2	1
255	только от	1	1
256	этот факт	2	1
257	и дал	1	1
258	могут быть	1	1
259	вошли в	1	1
260	похож на	2	1
261	ли не	1	1
262	сама жизнь	1	1
263	отличается от	2	1
264	мы начали	1	1
265	этого и	1	1
266	по всем	1	1
267	не есть	1	1
268	ничего общего	2	1
269	не совсем	1	1
270	с ее	1	1
271	и образ	1	1
272	свою очередь	1	1
273	но при	2	1
274	в ее	1	1
275	не могло	2	1
276	пробел в	1	1
277	то время	1	1
278	роль в	1	1
279	к смерти	1	1
280	этот период	2	1
281	так и	6	1
282	на нее	3	1
283	не с	2	1
284	ясно что	3	1
285	было в	1	1
286	живет в	1	1
287	так называемую	2	1
288	чем все	2	1
289	в оскорблении	1	1
290	под руку	1	1
291	том как	1	1
292	на востоке	2	1
293	во всяком	6	1
294	до сих	5	1
