1	о том что	5	9
2	с точки зрения	14	8
3	в том что	3	8
4	в связи с	1	7
5	тем не менее	10	5
6	с другой стороны	2	5
7	по крайней мере	5	4
8	и в частности	1	3
9	что иное как	6	3
10	в сравнении с	3	3
11	далеко не всегда	1	3
12	не что иное	6	3
13	на первом плане	1	3
14	то время как	4	3
15	только тогда когда	3	3
16	точно так же	2	3
17	с одной стороны	3	3
18	в то время	4	3
19	может быть только	1	3
20	до сих пор	1	2
21	для нас в	2	2
22	но и о	1	2
23	во всяком случае	2	2
24	чем иным как	1	2
25	не может быть	6	2
26	но даже и	2	2
27	в данном случае	1	2
28	на то что	3	2
29	в таком случае	10	2
30	бы то ни	1	2
31	и никогда не	1	2
32	не чем иным	1	2
33	при всем своем	1	2
34	тех или иных	1	2
35	никак не могут	1	2
36	с тех пор	2	1
37	мира и жизни	1	1
38	говоря уже о	2	1
39	ни в чем	1	1
40	а не от	1	1
41	одному тому что	2	1
42	и что она	2	1
43	или по крайней	1	1
44	жизнь и смерть	1	1
45	друг на друга	1	1
46	от того что	1	1
47	содержит в себе	1	1
48	а мы как	1	1
49	в том смысле	1	1
50	не просто о	1	1
51	и есть подлинное	2	1
52	то ни было	1	1
53	мира в виде	1	1
54	не характерны для	1	1
55	все что угодно	1	1
56	а так как	1	1
57	вовсе не в	1	1
58	в других областях	1	1
59	и таким образом	1	1
60	по одному тому	2	1
61	и миф о	1	1
62	и как бы	1	1
63	уже по одному	2	1
64	хотя и не	2	1
65	что этот миф	1	1
66	кого бы то	1	1
67	не только о	2	1
68	в такой же	1	1
69	имеется в виду	3	1
70	что у него	1	1
71	сама по себе	4	1
72	уже не просто	1	1
73	как раз и	3	1
74	на точке зрения	1	1
75	если она не	1	1
76	и т д	23	1
77	с этой точки	2	1
78	не содержится в	1	1
79	и является наиболее	1	1
80	себя самого и	1	1
81	для мифа о	1	1
82	сам по себе	5	1
83	который хотя и	1	1
84	в этом отношении	1	1
85	не говоря уже	2	1
86	бога так что	1	1
87	и без всяких	1	1
88	и все прочие	1	1
89	мы как раз	2	1
90	к тому же	2	1
91	в то же	1	1
92	выдерживает никакой критики	1	1
93	не выдерживает никакой	1	1
94	что он должен	1	1
95	этой точки зрения	2	1
96	том смысле что	1	1
97	так или иначе	2	1
98	на самом деле	1	1
99	что в ней	1	1
100	в самом деле	5	1
101	не в силах	1	1
102	с этой стороны	1	1
103	говорит о себе	1	1
104	не менее в	1	1
105	и в том	1	1
106	не больше чем	1	1
107	связи с этим	1	1
108	так что в	1	1
109	крайней мере в	3	1
110	вы не знаете	1	1
111	точки зрения в	1	1
112	но еще и	1	1
113	такой же мере	1	1
114	то же время	1	1
115	но и самого	1	1
116	это и есть	2	1
117	только потому что	1	1
118	той или иной	2	1
119	точки зрения истории	1	1
120	уже о том	1	1
121	и в этом	2	1
122	вот тут-то и	1	1
123	тот факт что	1	1
