N	3gram	Voloshinov_1	StatiiOP
1	в том что	2	16
2	в этом отношении	1	9
3	для того чтобы	1	5
4	к тому что	1	5
5	иметь в виду	1	3
6	в г в	2	3
7	так же как	1	3
8	с другой стороны	2	3
9	с самого начала	2	3
10	в другом месте	1	2
11	том что в	1	2
12	только потому что	1	2
13	с точки зрения	5	2
14	в отличие от	1	2
15	то что в	1	2
16	собою разумеется что	1	2
17	более или менее	1	2
18	в самом деле	2	2
19	само собою разумеется	1	2
20	на то что	1	2
21	в предисловии к	1	2
22	тем не менее	1	2
23	в пределах данной	2	1
24	что в этом	1	1
25	там где нет	1	1
26	в виду что	1	1
27	на самом деле	1	1
28	но столь же	1	1
29	и пр на	1	1
30	и в области	1	1
31	но одно дело	1	1
32	в зависимости от	2	1
33	одно и то	3	1
34	нужно отметить еще	1	1
35	в чем же	1	1
36	в данном случае	2	1
37	и то же	2	1
38	и вместе с	1	1
39	в связи с	1	1
40	потому что они	1	1
41	по отношению к	3	1
42	то же время	1	1
43	ничего общего с	2	1
44	нужно сказать что	1	1
45	в то же	1	1
46	что в ней	1	1
47	пр на самом	1	1
