N	3gram	Voloshinov_1	Problemy
1	на самом деле	4	10
2	с самого начала	4	8
3	не может быть	3	6
4	во всяком случае	3	5
5	в этом смысле	3	4
6	бы то ни	1	4
7	то ни было	1	4
8	и прежде всего	1	4
9	с точки зрения	6	4
10	его отношение к	1	4
11	в самом деле	2	3
12	может быть даже	1	3
13	в высшей степени	1	3
14	по крайней мере	3	3
15	о том что	2	2
16	подобно тому как	1	2
17	на всю жизнь	1	2
18	так и в	1	2
19	в большинстве случаев	3	2
20	друг с другом	1	2
21	мы увидим что	1	2
22	и в этом	2	2
23	друг на друга	2	2
24	а может быть	1	2
25	в его целом	2	2
26	по ту сторону	4	2
27	то что я	1	2
28	как мы знаем	1	2
29	в чем не	3	2
30	той или иной	1	2
31	ни в чем	3	2
32	но в общем	2	2
33	вместе с тем	1	2
34	мы можем сказать	2	1
35	на этом моменте	1	1
36	в другом человеке	1	1
37	но оно в	1	1
38	и столь же	1	1
39	мы говорили что	1	1
40	ни в ком	1	1
41	можем сказать что	1	1
42	всяком случае не	1	1
43	рано или поздно	1	1
44	что может быть	1	1
45	что я в	1	1
46	мы еще не	1	1
47	если бы он	1	1
48	для того чтобы	1	1
49	хотя и с	1	1
50	до сих пор	3	1
51	как мы сказали	1	1
52	и тех же	1	1
53	конечно не случайно	1	1
54	обратим внимание на	1	1
55	в том что	1	1
56	в нем и	1	1
57	только себя и	1	1
58	и того же	1	1
59	можно сказать что	3	1
60	и к другим	1	1
61	это последнее слово	1	1
62	сих пор еще	1	1
63	б я не	1	1
64	если б я	1	1
65	чем иным как	1	1
66	в этот момент	1	1
67	и ни в	1	1
68	с чрезвычайною ясностью	1	1
69	одних и тех	1	1
70	всех без исключения	1	1
71	один из моментов	1	1
72	чтобы пробиться к	1	1
73	одного и того	1	1
74	в нем нет	2	1
75	по его мнению	1	1
76	и со всеми	1	1
77	но даже и	1	1
78	с ним и	1	1
79	со всех сторон	1	1
80	или во всяком	1	1
81	в этом отношении	1	1
82	не чем иным	1	1
83	и лишь в	1	1
84	из одного плана	1	1
85	а вместе с	1	1
86	и что он	1	1
87	в данном случае	1	1
88	на них мы	1	1
89	и пр в	1	1
