N	2gram	Propp_Isto_2	Psycholo
1	то что	12	37
2	и в	15	30
3	в том	6	27
4	что в	12	24
5	и что	6	23
6	потому что	9	23
7	том что	7	21
8	того чтобы	2	20
9	таким образом	7	20
10	как бы	6	19
11	на то	3	17
12	что он	24	17
13	не только	18	16
14	если мы	1	16
15	в этом	11	14
16	в самом	1	14
17	так же	13	13
18	показать что	2	12
19	в сущности	2	12
20	с одной	4	12
21	одной стороны	3	12
22	вместе с	7	12
23	может быть	17	11
24	что мы	3	11
25	о том	3	10
26	и то	2	9
27	никогда не	15	9
28	увидим что	3	9
29	и когда	2	9
30	так как	14	9
31	с другой	2	9
32	не может	5	9
33	сказать что	2	9
34	мы увидим	8	9
35	самом деле	2	8
36	мы имеем	15	8
37	что это	6	8
38	он должен	2	8
39	при этом	4	8
40	с тем	9	8
41	не в	7	8
42	к тому	5	8
43	и это	3	8
44	того что	3	8
45	мы видим	8	8
46	а не	5	8
47	могут быть	2	8
48	и т	19	7
49	то же	10	7
50	зависимости от	1	7
51	но не	2	7
52	все же	9	7
53	и как	1	7
54	в нем	7	7
55	по себе	1	7
56	совершенно ясно	2	7
57	этих двух	1	7
58	мы можем	8	7
59	как это	3	7
60	в зависимости	1	6
61	мы уже	6	6
62	говорит что	3	6
63	и если	2	6
64	что она	5	6
65	как и	2	6
66	и его	3	6
67	как будто	3	6
68	когда мы	2	6
69	в совершенно	1	6
70	или в	2	6
71	и здесь	9	6
72	о котором	1	6
73	уже в	2	6
74	тем что	4	6
75	но и	14	6
76	именно в	2	6
77	и не	11	6
78	и для	2	6
79	и есть	5	5
80	еще не	9	5
81	по этому	1	5
82	о смерти	1	5
83	ответ на	1	5
84	что они	10	5
85	когда он	3	5
86	в себе	4	5
87	в целом	1	5
88	в этой	4	5
89	было бы	5	5
90	несмотря на	1	5
91	был бы	2	5
92	сих пор	7	5
93	стоит только	1	5
94	только не	1	5
95	как мы	1	5
96	но в	6	5
97	сводится к	1	5
98	один из	8	5
99	в двух	1	5
100	только в	6	5
101	именно на	1	5
102	до сих	6	5
103	а с	2	5
104	и потому	1	5
105	другой стороны	2	5
106	как только	1	4
107	то это	6	4
108	в виду	2	4
109	в ней	4	4
110	как говорит	1	4
111	и к	1	4
112	в основу	1	4
113	есть не	1	4
114	в них	1	4
115	в своей	1	4
116	что эта	2	4
117	и именно	2	4
118	действующие лица	2	4
119	казалось бы	1	4
120	как она	4	4
121	у нас	1	4
