N	3gram	Losev_Dial_3	formyVre
1	то же время	1	9
2	в то же	1	6
3	и в то	1	5
4	в связи с	1	5
5	до сих пор	1	3
6	в этом отношении	1	3
7	может быть только	1	3
8	одно и то	2	3
9	не может быть	6	3
10	в то время	4	3
11	и то же	2	3
12	в этом мире	1	2
13	мы уже сказали	1	2
14	и в особенности	1	2
15	одной стороны и	1	2
16	же как и	1	2
17	как раз и	3	2
18	с точки зрения	14	2
19	и не только	3	2
20	друг на друга	1	2
21	ни в чем	1	2
22	и в частности	1	2
23	то время как	4	2
24	так же как	2	2
25	с одной стороны	3	2
26	в нем нет	1	2
27	связи с этим	1	2
28	но все эти	1	2
29	и прежде всего	3	2
30	той или иной	2	2
31	в том что	3	2
32	как и в	3	2
33	к тому же	2	2
34	а следовательно и	1	1
35	же в этом	1	1
36	и во всех	1	1
37	том что в	1	1
38	ровно ничего не	3	1
39	в виду что	1	1
40	и во всяком	1	1
41	имеем в виду	1	1
42	том что все	1	1
43	в самом деле	5	1
44	и по существу	1	1
45	этим мы еще	1	1
46	что из нее	1	1
47	и вот когда	1	1
48	на первый план	4	1
49	в других областях	1	1
50	не знает отсюда	1	1
51	в зависимости от	2	1
52	сами по себе	3	1
53	не о чем	1	1
54	есть одна из	1	1
55	в своем движении	1	1
56	личности и ее	1	1
57	в данном случае	1	1
58	тот факт что	1	1
59	и в этом	2	1
60	не могут быть	2	1
61	и как бы	1	1
62	для себя и	1	1
63	во всяком случае	2	1
64	когда мы говорим	1	1
65	в частности от	1	1
66	и в том	1	1
67	переходим ко второму	1	1
68	одной из них	1	1
69	и проч поэтому	1	1
70	о том что	5	1
71	одна из форм	1	1
72	и в котором	1	1
73	что он должен	1	1
74	мы имеем в	1	1
75	приводит не к	1	1
76	и все прочие	1	1
77	с которой он	1	1
78	сама по себе	4	1
79	все это не	1	1
80	в себе не	1	1
